<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLE.US,D,20240920,000000,5.15,5.24,4.17,4.18,1029400,0
GLE.US,D,20240923,000000,4.25,5.16,4.25,4.54,1267533,0
GLE.US,D,20240924,000000,4.82,4.87,4.42,4.55,552444,0
GLE.US,D,20240925,000000,4.52,4.745,4.4,4.42,233931,0
GLE.US,D,20240926,000000,4.42,4.8797,4.42,4.5451,78734,0
GLE.US,D,20240927,000000,4.57,4.76,4.45,4.55,291994,0
GLE.US,D,20240930,000000,4.49,4.6499,4.2201,4.59,252486,0
GLE.US,D,20241001,000000,4.64,4.68,4.45,4.4601,39292,0
GLE.US,D,20241002,000000,4.45,4.54,4.42,4.4259,38333,0
GLE.US,D,20241003,000000,4.6,4.6,4.45,4.57,78657,0
GLE.US,D,20241004,000000,4.57,4.67,4.5012,4.61,70277,0
GLE.US,D,20241007,000000,4.69,4.75,4.4604,4.55,138197,0
GLE.US,D,20241008,000000,4.55,4.6709,3.75,3.89,146825,0
GLE.US,D,20241009,000000,3.81,4.4,3.81,4.2274,90007,0
GLE.US,D,20241010,000000,4.2,4.67,4.2,4.395,233454,0
GLE.US,D,20241011,000000,4.55,4.56,4.06,4.56,43944,0
GLE.US,D,20241014,000000,4.6,4.6907,4.19,4.52,38752,0
GLE.US,D,20241015,000000,4.5,4.52,4.04,4.25,58274,0
GLE.US,D,20241016,000000,4.2,4.4,4.2,4.32,49224,0
GLE.US,D,20241017,000000,4.19,4.39,4.0006,4.28,76423,0
GLE.US,D,20241018,000000,4.35,4.508,4.28,4.508,109019,0
GLE.US,D,20241021,000000,4.6,4.6457,4.4,4.4741,167011,0
GLE.US,D,20241022,000000,4.45,4.5797,4.4157,4.43,17904,0
GLE.US,D,20241023,000000,4.53,4.6,4.4,4.4096,15345,0
GLE.US,D,20241024,000000,4.54,4.54,3.95,4.15,85840,0
GLE.US,D,20241025,000000,4.1649,4.35,4.06,4.14,31734,0
GLE.US,D,20241028,000000,4.08,4.14,3.85,3.85,17058,0
GLE.US,D,20241029,000000,3.91,4.1683,3.85,3.86,39025,0
