<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPATU.US,D,20240509,000000,10.06,10.09,10.06,10.09,22692246,0
GPATU.US,D,20240510,000000,10.07,10.085,10.07,10.07,1345825,0
GPATU.US,D,20240513,000000,10.07,10.08,10.07,10.075,71097,0
GPATU.US,D,20240514,000000,10.07,10.08,10.05,10.05,1529603,0
GPATU.US,D,20240515,000000,10.07,10.07,10.06,10.07,86237,0
GPATU.US,D,20240516,000000,10.08,10.08,10.05,10.07,505756,0
GPATU.US,D,20240517,000000,10.06,10.07,10.06,10.07,135091,0
GPATU.US,D,20240520,000000,10.07,10.07,10.06,10.07,104253,0
GPATU.US,D,20240521,000000,10.07,10.07,10.07,10.07,352,0
GPATU.US,D,20240522,000000,10.07,10.07,10.07,10.07,7138,0
GPATU.US,D,20240523,000000,10.06,10.08,10.06,10.08,1369064,0
GPATU.US,D,20240528,000000,10.07,10.08,10.07,10.08,300956,0
GPATU.US,D,20240529,000000,10.08,10.08,10.07,10.08,600,0
GPATU.US,D,20240530,000000,10.08,10.08,10.075,10.08,3301,0
GPATU.US,D,20240531,000000,10.07,10.07,10.065,10.07,144236,0
GPATU.US,D,20240603,000000,10.08,10.08,10.06,10.08,8103,0
GPATU.US,D,20240604,000000,10.07,10.08,10.06,10.08,180511,0
GPATU.US,D,20240605,000000,10.08,10.09,10.08,10.08,695613,0
GPATU.US,D,20240606,000000,10.08,10.08,10.08,10.08,245,0
GPATU.US,D,20240607,000000,10.08,10.08,10.08,10.08,500,0
GPATU.US,D,20240611,000000,10.07,10.07,10.04,10.05,11165,0
GPATU.US,D,20240612,000000,10.06,10.06,10.06,10.06,115627,0
GPATU.US,D,20240613,000000,10.06,10.06,10.04,10.05,261433,0
GPATU.US,D,20240614,000000,10.05,10.05,10.04,10.04,18119,0
GPATU.US,D,20240617,000000,10.04,10.05,10.0196,10.05,48781,0
GPATU.US,D,20240620,000000,10.04,10.045,10.03,10.04,260858,0
GPATU.US,D,20240624,000000,10.04,10.04,10.04,10.04,58973,0
GPATU.US,D,20240625,000000,10.05,10.05,10.05,10.05,20150,0
GPATU.US,D,20240626,000000,10.03,10.035,10.02,10.02,50860,0
GPATU.US,D,20240627,000000,10.0199,10.03,10.0199,10.02,103373,0
GPATU.US,D,20240628,000000,10.025,10.03,10.025,10.03,2337,0
GPATU.US,D,20240701,000000,10.05,10.05,10.05,10.05,3177,0
GPATU.US,D,20240702,000000,10.05,10.06,10.05,10.05,138710,0
GPATU.US,D,20240703,000000,10.05,10.06,10.05,10.06,4900,0
GPATU.US,D,20240708,000000,10.065,10.08,10.0589,10.08,1433,0
GPATU.US,D,20240712,000000,10.05,10.06,10.05,10.06,1980,0
GPATU.US,D,20240715,000000,10.05,10.0501,10.05,10.0501,850,0
GPATU.US,D,20240717,000000,10.05,10.05,10.05,10.05,301,0
GPATU.US,D,20240718,000000,10.055,10.055,10.055,10.055,1204,0
GPATU.US,D,20240719,000000,10.05,10.0627,10.05,10.05,508,0
GPATU.US,D,20240722,000000,10.05,10.05,10.05,10.05,3024,0
GPATU.US,D,20240723,000000,10.0699,10.07,10.0699,10.07,700,0
GPATU.US,D,20240724,000000,10.0502,10.07,10.05,10.06,8271,0
GPATU.US,D,20240725,000000,10.08,10.08,10.08,10.08,200,0
GPATU.US,D,20240726,000000,10.08,10.08,10.08,10.08,2005,0
GPATU.US,D,20240729,000000,10.09,10.09,10.09,10.09,1988,0
GPATU.US,D,20240805,000000,10.08,10.08,10.08,10.08,113,0
GPATU.US,D,20240806,000000,10.08,10.08,10.08,10.08,400000,0
GPATU.US,D,20240808,000000,10.1,10.1,10.1,10.1,300,0
GPATU.US,D,20240813,000000,10.1,10.1,10.1,10.1,555,0
GPATU.US,D,20240821,000000,10.06,10.06,10.06,10.06,100,0
GPATU.US,D,20240827,000000,10.08,10.08,10.08,10.08,1535,0
GPATU.US,D,20240828,000000,10.06,10.06,10.06,10.06,49950,0
GPATU.US,D,20240904,000000,10.06,10.06,10.04,10.04,10906,0
GPATU.US,D,20240905,000000,10.04,10.04,10.04,10.04,182,0
GPATU.US,D,20240919,000000,10.08,10.08,10.08,10.08,100,0
GPATU.US,D,20240925,000000,10.1,10.5,10.1,10.2,8725,0
GPATU.US,D,20241001,000000,10.89,10.99,10.89,10.99,711,0
GPATU.US,D,20241004,000000,10.2,10.2,10.15,10.2,987,0
GPATU.US,D,20241007,000000,10.2,10.2,10.2,10.2,281,0
GPATU.US,D,20241011,000000,10.2,10.77,10.2,10.77,4753,0
GPATU.US,D,20241014,000000,11,11.99,10.3,10.5,8345,0
GPATU.US,D,20241016,000000,10.3,10.93,10.21,10.21,1801,0
GPATU.US,D,20241017,000000,10.7,11.6,10.27,10.3,13756,0
GPATU.US,D,20241018,000000,10.21,10.49,10.12,10.21,5520,0
GPATU.US,D,20241021,000000,11.19,11.19,10.24,10.4,9014,0
GPATU.US,D,20241022,000000,10.88,10.88,10.15,10.16,9351,0
GPATU.US,D,20241023,000000,10.11,10.15,10.11,10.11,10796,0
GPATU.US,D,20241024,000000,11.1,11.1,10.11,10.11,8851,0
GPATU.US,D,20241025,000000,10.11,10.11,10.11,10.11,1000,0
GPATU.US,D,20241029,000000,10.19,10.19,10.19,10.19,426,0
