<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GQQQ.US,D,20241003,000000,25.0101,25.059,24.975,25.0297,2529,0
GQQQ.US,D,20241004,000000,25.18,25.22,25.0493,25.21,7983,0
GQQQ.US,D,20241007,000000,25.1596,25.1596,24.95,24.9594,8245,0
GQQQ.US,D,20241008,000000,25.07,25.28,25.07,25.2751,7585,0
GQQQ.US,D,20241009,000000,25.3,25.4367,25.3,25.4367,74988,0
GQQQ.US,D,20241010,000000,25.34,25.43,25.31,25.3431,2343,0
GQQQ.US,D,20241011,000000,25.43,25.4863,25.43,25.4863,5789,0
GQQQ.US,D,20241014,000000,25.71,25.755,25.67,25.755,2275,0
GQQQ.US,D,20241015,000000,25.61,25.61,25.47,25.4849,1212,0
GQQQ.US,D,20241016,000000,25.47,25.5662,25.47,25.5662,417,0
GQQQ.US,D,20241017,000000,25.61,25.61,25.4907,25.4907,398,0
GQQQ.US,D,20241018,000000,25.58,25.64,25.58,25.6106,76015,0
GQQQ.US,D,20241021,000000,25.58,25.58,25.48,25.4966,2117,0
GQQQ.US,D,20241022,000000,25.4396,25.4654,25.4,25.4654,2761,0
GQQQ.US,D,20241023,000000,25.41,25.41,25.2055,25.2055,1750,0
GQQQ.US,D,20241024,000000,25.23,25.27,25.23,25.2582,885,0
GQQQ.US,D,20241025,000000,25.43,25.43,25.19,25.1952,183614,0
GQQQ.US,D,20241028,000000,25.3,25.3,25.2463,25.2463,303,0
GQQQ.US,D,20241029,000000,25.3499,25.3499,25.3499,25.3499,9614,0
