<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRI.US,D,20210210,000000,1892.1,2079,1575,1579.2,16162.442700367,0
GRI.US,D,20210211,000000,1619.1,1656.9,1432.2,1596,1786.7904588586,0
GRI.US,D,20210212,000000,1606.5,1659,1501.5,1644.3,991.92856180686,0
GRI.US,D,20210216,000000,1669.5,1671.6,1543.5,1606.5,709.45713597541,0
GRI.US,D,20210217,000000,1627.5,1648.5,1543.5,1566.6,582.60951815821,0
GRI.US,D,20210218,000000,1600.2,1600.2,1425.9,1543.5,610.00475598772,0
GRI.US,D,20210219,000000,1514.1,1536.74,1457.4,1478.4,378.82380584922,0
GRI.US,D,20210222,000000,1478.4,1478.4,1362.9,1365,805.70951599414,0
GRI.US,D,20210223,000000,1362.9,1365,1220.31,1314.6,387.08571053098,0
GRI.US,D,20210224,000000,1268.4,1463.7,1268.4,1446.9,286.73809245674,0
GRI.US,D,20210225,000000,1444.8,1444.8,1285.2,1285.2,190.25237910693,0
GRI.US,D,20210226,000000,1331.4,1362.9,1283.1,1283.1,92.238094343386,0
GRI.US,D,20210301,000000,1312.5,1364.98,1302,1302,92.352380056563,0
GRI.US,D,20210302,000000,1281,1323,1239,1255.8,174.06666497822,0
GRI.US,D,20210303,000000,1257.9,1266.3,1207.5,1218,337.77618719976,0
GRI.US,D,20210304,000000,1220.1,1220.1,1094.1,1113,237.43809293495,0
GRI.US,D,20210305,000000,1134,1142.4,1029.17,1050.21,346.76666330303,0
GRI.US,D,20210308,000000,1092,1148.7,1092,1102.5,115.76190363901,0
GRI.US,D,20210309,000000,1123.5,1140.3,1087.8,1087.8,187.06666485212,0
GRI.US,D,20210310,000000,1087.8,1155,1087.8,1100.4,193.11904574579,0
GRI.US,D,20210311,000000,1113,1255.8,1100.74,1239,236.43333103993,0
GRI.US,D,20210312,000000,1232.7,1232.7,1157.1,1167.6,150.79999853724,0
GRI.US,D,20210315,000000,1228.5,1249.5,1167.6,1222.2,301.3952351717,0
GRI.US,D,20210316,000000,1211.36,1239,1141.35,1144.5,201.92856946986,0
GRI.US,D,20210317,000000,1186.5,1218,1075.2,1140.3,251.41428327557,0
GRI.US,D,20210318,000000,1134,1152.9,1113.57,1115.1,120.45237978399,0
GRI.US,D,20210319,000000,1134,1182.3,1054.2,1054.2,278.83809253337,0
GRI.US,D,20210322,000000,1073.1,1182.3,1073.1,1081.5,79.890475415539,0
GRI.US,D,20210323,000000,1113,1133.98,1031.1,1045.8,237.22856912745,0
GRI.US,D,20210324,000000,1071,1071,907.2,907.2,306.5142827411,0
GRI.US,D,20210325,000000,970.2,970.2,903,919.8,248.97618806112,0
GRI.US,D,20210326,000000,987,987,903,926.1,104.6666656514,0
GRI.US,D,20210329,000000,903,1005.9,903,991.2,202.53333136876,0
GRI.US,D,20210330,000000,976.5,976.5,924,945,110.23809416879,0
GRI.US,D,20210331,000000,966,1037.38,931.035,974.4,221.9380930853,0
GRI.US,D,20210401,000000,987,1032.15,970.221,1024.8,211.92856937286,0
GRI.US,D,20210405,000000,1033.2,1045.63,980.7,980.7,98.528570472844,0
GRI.US,D,20210406,000000,963.9,972.3,934.92,947.1,487.13809051286,0
GRI.US,D,20210407,000000,1029,1035.3,959.7,1024.8,354.31428227744,0
GRI.US,D,20210408,000000,1031.41,1031.41,947.1,966,183.45237917289,0
GRI.US,D,20210409,000000,970.221,991.2,951.321,978.6,42.123809115209,0
GRI.US,D,20210412,000000,961.8,961.8,924,932.4,2239.1666449468,0
GRI.US,D,20210413,000000,1003.8,1081.48,966,1075.2,1199.2523693196,0
GRI.US,D,20210414,000000,1064.7,1081.5,991.2,1022.7,214.79999791644,0
GRI.US,D,20210415,000000,1005.9,1005.9,919.8,974.4,202.45237898859,0
GRI.US,D,20210416,000000,959.7,980.679,945.189,955.5,34.96666632749,0
GRI.US,D,20210419,000000,938.7,969.087,920.052,921.9,100.69523711849,0
GRI.US,D,20210420,000000,917.7,917.7,905.1,907.2,61.352380357263,0
GRI.US,D,20210421,000000,907.2,961.8,907.2,926.1,544.68094709755,0
GRI.US,D,20210422,000000,919.8,963.9,917.7,959.7,131.39047491599,0
GRI.US,D,20210423,000000,966,976.5,928.473,942.9,416.36666262791,0
GRI.US,D,20210426,000000,942.9,982.8,934.5,978.579,126.96190353037,0
GRI.US,D,20210427,000000,957.6,966,945,952.35,96.242856209301,0
GRI.US,D,20210428,000000,945,945,907.2,932.4,139.40952245725,0
GRI.US,D,20210429,000000,942.165,957.6,915.6,921.9,102.28095138883,0
GRI.US,D,20210430,000000,917.7,930.3,882,898.8,126.44285591636,0
GRI.US,D,20210503,000000,890.4,903,865.2,865.2,64.519046993213,0
GRI.US,D,20210504,000000,814.8,861,800.1,812.7,477.13332870514,0
GRI.US,D,20210505,000000,827.4,913.5,823.2,850.5,404.86666273946,0
GRI.US,D,20210506,000000,835.8,840,804.3,814.8,139.62380816946,0
GRI.US,D,20210507,000000,835.8,858.081,810.6,856.8,70.53333264916,0
GRI.US,D,20210510,000000,856.779,882,829.5,854.7,115.12380840711,0
GRI.US,D,20210511,000000,837.879,848.4,806.4,829.5,68.247618385617,0
GRI.US,D,20210512,000000,816.9,835.8,787.5,787.5,112.37142748143,0
GRI.US,D,20210513,000000,777,795.9,758.1,779.1,95.357141932179,0
GRI.US,D,20210514,000000,777,798,760.2,768.6,130.7571415888,0
GRI.US,D,20210517,000000,768.6,804.3,768.6,774.9,156.07142705754,0
GRI.US,D,20210518,000000,782.712,798,774.669,785.4,57.995237532684,0
GRI.US,D,20210519,000000,774.9,804.3,771.834,798,37.223809162739,0
GRI.US,D,20210520,000000,806.379,806.379,768.6,793.8,157.79047465991,0
GRI.US,D,20210521,000000,801.36,829.5,789.6,804.3,86.238094401586,0
GRI.US,D,20210524,000000,802.2,814.8,780.99,794.85,87.161903916434,0
GRI.US,D,20210525,000000,808.5,872.55,789.6,869.4,205.17618848598,0
GRI.US,D,20210526,000000,861,1037.4,820.05,915.6,828.75237291348,0
GRI.US,D,20210527,000000,905.1,974.4,873.6,947.1,173.76666498113,0
GRI.US,D,20210528,000000,976.5,976.5,819,840,464.46190025662,0
GRI.US,D,20210601,000000,856.8,916.65,846.3,861,113.54285604149,0
GRI.US,D,20210602,000000,850.5,875.7,840,840,82.523808723329,0
GRI.US,D,20210603,000000,845.649,869.4,840,856.8,73.995237377484,0
GRI.US,D,20210604,000000,867.3,874.23,840,846.3,358.43809176125,0
GRI.US,D,20210607,000000,877.8,921.9,867.321,909.3,276.62380684056,0
GRI.US,D,20210608,000000,911.4,913.5,881.307,882,93.257141952549,0
GRI.US,D,20210609,000000,882,921.9,882,909.3,144.22380812484,0
GRI.US,D,20210610,000000,919.8,1362.9,919.8,1029,8632.3856305516,0
GRI.US,D,20210611,000000,1008.73,1133.98,987,1045.8,1404.6380816131,0
GRI.US,D,20210614,000000,1050,1075.2,998.235,1057.35,289.49523528713,0
GRI.US,D,20210615,000000,1058.4,1058.4,1003.8,1029,293.17618763238,0
GRI.US,D,20210616,000000,1018.5,1018.5,945,970.2,465.46666215164,0
GRI.US,D,20210617,000000,963.9,1033.18,963.9,1005.9,240.39047385869,0
GRI.US,D,20210618,000000,999.6,1146.45,989.1,1121.4,1929.7618860432,0
GRI.US,D,20210621,000000,1155,1155,1077.3,1077.3,267.06666407612,0
GRI.US,D,20210622,000000,1073.1,1094.08,1041.6,1071,266.2428545603,0
GRI.US,D,20210623,000000,1066.8,1127.7,1033.2,1113,160.94285558171,0
GRI.US,D,20210624,000000,1104.6,1211.7,1100.4,1121.4,468.25713831505,0
GRI.US,D,20210625,000000,1138.2,1215.9,1119.3,1136.1,492.1523761785,0
GRI.US,D,20210628,000000,1125.6,1234.8,1125.6,1224.3,409.97618649942,0
GRI.US,D,20210629,000000,1234.8,1234.8,1140.3,1199.1,190.87142671998,0
GRI.US,D,20210630,000000,1178.1,1180.2,1140.32,1142.4,69.73333265692,0
GRI.US,D,20210701,000000,1136.1,1163.4,1092,1131.9,103.82857042143,0
GRI.US,D,20210702,000000,1134,1140.3,1089.9,1140.3,89.357141990379,0
GRI.US,D,20210706,000000,1123.5,1150.8,1096.2,1108.8,170.98095072244,0
GRI.US,D,20210707,000000,1100.4,1115.1,1057.45,1098.3,96.719046680873,0
GRI.US,D,20210708,000000,1064.7,1115.1,1064.7,1104.6,57.061904208404,0
GRI.US,D,20210709,000000,1066.8,1142.4,1066.8,1104.6,75.23333260357,0
GRI.US,D,20210712,000000,1115.1,1146.6,1097.08,1144.5,63.69999938211,0
GRI.US,D,20210713,000000,1125.6,1299.88,1075.2,1127.7,751.36665937841,0
GRI.US,D,20210714,000000,1127.7,1197,1106.43,1130.85,322.09999687563,0
GRI.US,D,20210715,000000,1123.5,1123.5,1092,1094.1,53.957142333759,0
GRI.US,D,20210716,000000,1104.6,1104.6,1071,1073.1,76.723808779589,0
GRI.US,D,20210719,000000,1075.2,1079.4,1022.7,1029,188.00476008112,0
GRI.US,D,20210720,000000,1033.2,1033.2,993.3,1010.1,134.8476177396,0
GRI.US,D,20210721,000000,1081.5,1081.5,1008,1014.3,128.24761780362,0
GRI.US,D,20210722,000000,1061.34,1061.34,1016.4,1016.4,72.13333263364,0
GRI.US,D,20210723,000000,1033.2,1075.2,999.6,999.6,612.56189882005,0
GRI.US,D,20210726,000000,997.248,1018.5,968.1,976.5,79.076189709151,0
GRI.US,D,20210727,000000,976.5,976.5,877.8,879.9,278.01904492226,0
GRI.US,D,20210728,000000,886.2,898.8,824.943,844.2,221.3333311864,0
GRI.US,D,20210729,000000,844.2,1039.5,844.2,963.9,351.35713944898,0
GRI.US,D,20210730,000000,973.35,989.1,947.1,963.9,125.16190354783,0
GRI.US,D,20210802,000000,919.8,984.879,915.6,951.3,38.43333296053,0
GRI.US,D,20210803,000000,936.6,1047.9,915.6,945,460.53332886616,0
GRI.US,D,20210804,000000,898.8,1026.88,867.3,919.8,255.08094990667,0
GRI.US,D,20210805,000000,905.1,999.579,882,942.9,416.28571024774,0
GRI.US,D,20210806,000000,888.321,993.279,888.321,938.7,210.30475986481,0
GRI.US,D,20210809,000000,945,966,907.221,926.1,259.14285462917,0
GRI.US,D,20210810,000000,945,978.327,880.362,913.5,170.00476025572,0
GRI.US,D,20210811,000000,913.5,963.9,903,940.8,395.34761521275,0
GRI.US,D,20210812,000000,939.099,945,857.199,877.8,821.19523012964,0
GRI.US,D,20210813,000000,872.76,895.23,859.53,863.1,131.40952253485,0
GRI.US,D,20210816,000000,863.1,900.417,808.5,808.5,348.27618709791,0
GRI.US,D,20210817,000000,812.7,890.4,804.321,848.4,308.46190176982,0
GRI.US,D,20210818,000000,867.3,921.333,808.5,871.5,994.67618082783,0
GRI.US,D,20210819,000000,858.9,890.568,812.721,819,481.79999532654,0
GRI.US,D,20210820,000000,814.8,882,811.125,842.1,573.87142300488,0
GRI.US,D,20210823,000000,871.5,923.979,858.9,882,341.00475859702,0
GRI.US,D,20210824,000000,886.2,995.4,884.121,938.7,1087.9714180181,0
GRI.US,D,20210825,000000,945,964.089,928.2,955.5,183.13333155694,0
