<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GROM.US,D,20210618,000000,1782,1884,1734,1824,597.4299940257,0
GROM.US,D,20210621,000000,1878,1878,1704,1752,366.7266629994,0
GROM.US,D,20210622,000000,1722,1752,1632,1734,294.00166372665,0
GROM.US,D,20210623,000000,1782,1782,1674,1710,227.9066643876,0
GROM.US,D,20210624,000000,1770,1830,1632,1650,1911.2583142207,0
GROM.US,D,20210625,000000,1752,2448,1656,2058,7822.7499217725,0
GROM.US,D,20210628,000000,1998,2670,1986,2382,6899.251597674,0
GROM.US,D,20210629,000000,2293.98,2820,2280,2460,4631.9649536804,0
GROM.US,D,20210630,000000,2508,2556,2040,2100,2074.1433125919,0
GROM.US,D,20210701,000000,2100,2142,1770,1896,1708.2499829175,0
GROM.US,D,20210702,000000,1848,2040,1776,1986,1451.9749854803,0
GROM.US,D,20210706,000000,1896,2256,1872,2154,2134.6966453197,0
GROM.US,D,20210707,000000,2094,2694,2084.1,2430,6993.038263403,0
GROM.US,D,20210708,000000,2256.6,2586,2250,2364,2140.0216452664,0
GROM.US,D,20210709,000000,2274,2442,2052,2136,1227.399987726,0
GROM.US,D,20210712,000000,2172,2436,2136,2268,2519.6449748036,0
GROM.US,D,20210713,000000,2442,2964,2250,2370,14631.248187021,0
GROM.US,D,20210714,000000,2346,2400,2052,2088,2236.5783109675,0
GROM.US,D,20210715,000000,2154,2214,2016,2172,1083.4916558317,0
GROM.US,D,20210716,000000,2124,2213.7,1920,1962,779.7699922023,0
GROM.US,D,20210719,000000,1932,1995,1836,1908,439.4833289385,0
GROM.US,D,20210720,000000,1860,1941,1764,1824,637.6766602899,0
GROM.US,D,20210721,000000,1830,1944,1710,1776,1243.1983209014,0
GROM.US,D,20210722,000000,1782,1817.94,1710,1740,535.35832797975,0
GROM.US,D,20210723,000000,1698,1763.4,1620,1656,1021.1416564553,0
GROM.US,D,20210726,000000,1650,1692,1554,1560,635.933326974,0
GROM.US,D,20210727,000000,1590,1734,1410,1662,1070.4899892951,0
GROM.US,D,20210728,000000,1614,1697.94,1555.8,1638,261.2366640543,0
GROM.US,D,20210729,000000,1626,1740,1626,1686,450.0633288327,0
GROM.US,D,20210730,000000,1650,1704,1596,1642.8,188.933331444,0
GROM.US,D,20210802,000000,1680,1723.38,1620,1704,176.28166490385,0
GROM.US,D,20210803,000000,1680,1755,1620,1632,185.9233314741,0
GROM.US,D,20210804,000000,1644,1650,1590,1602,359.48166307185,0
