<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOND.US,D,20241011,000000,9.96,9.97,9.96,9.96,252278,0
HOND.US,D,20241014,000000,9.9686,9.9686,9.9686,9.9686,323,0
HOND.US,D,20241015,000000,9.96,9.97,9.9598,9.965,733654,0
HOND.US,D,20241016,000000,9.96,9.97,9.96,9.96,54089,0
HOND.US,D,20241017,000000,9.97,9.97,9.96,9.97,249745,0
HOND.US,D,20241018,000000,9.96,9.97,9.96,9.97,745093,0
HOND.US,D,20241021,000000,9.96,9.97,9.96,9.97,859762,0
HOND.US,D,20241022,000000,9.97,9.99,9.96,9.97,485752,0
HOND.US,D,20241023,000000,9.97,9.98,9.97,9.975,865543,0
HOND.US,D,20241024,000000,9.985,9.985,9.97,9.97,11015,0
HOND.US,D,20241025,000000,9.99,9.99,9.97,9.97,59106,0
HOND.US,D,20241028,000000,9.98,9.98,9.98,9.98,378,0
HOND.US,D,20241029,000000,9.9799,10.01,9.97,10.01,164524,0
