<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HONDU.US,D,20240819,000000,10,10,9.98,10,1411675,0
HONDU.US,D,20240820,000000,9.99,10,9.98,9.99,433428,0
HONDU.US,D,20240821,000000,10.05,10.05,10,10,15651,0
HONDU.US,D,20240822,000000,9.995,9.995,9.995,9.995,469,0
HONDU.US,D,20240823,000000,10,10,9.99,9.99,919316,0
HONDU.US,D,20240826,000000,10,10,10,10,1330120,0
HONDU.US,D,20240827,000000,9.99,9.995,9.98,9.98,52826,0
HONDU.US,D,20240828,000000,9.9901,10.02,9.98,9.98,3364,0
HONDU.US,D,20240829,000000,10,10,9.99,9.995,15739,0
HONDU.US,D,20240830,000000,10,10,10,10,1289,0
HONDU.US,D,20240903,000000,10,10,10,10,800,0
HONDU.US,D,20240904,000000,9.9961,10.095,9.9961,10.01,1687,0
HONDU.US,D,20240905,000000,10.03,10.05,9.99,9.99,571,0
HONDU.US,D,20240906,000000,10,10.01,10,10.01,13335,0
HONDU.US,D,20240909,000000,9.97,10.03,9.97,10,53862,0
HONDU.US,D,20240910,000000,9.99,10,9.98,9.995,107948,0
HONDU.US,D,20240911,000000,9.99,10,9.99,9.99,18464,0
HONDU.US,D,20240912,000000,10,10,9.98,9.99,72750,0
HONDU.US,D,20240913,000000,10,10,9.98,9.98,917,0
HONDU.US,D,20240916,000000,10,10,9.97,9.97,10912,0
HONDU.US,D,20240919,000000,9.9999,9.9999,9.98,9.98,868,0
HONDU.US,D,20240920,000000,9.99,9.99,9.98,9.98,14111,0
HONDU.US,D,20240924,000000,9.9801,9.9867,9.98,9.9867,1140,0
HONDU.US,D,20240926,000000,10,10,9.985,9.985,1012,0
HONDU.US,D,20240927,000000,9.9979,10.06,9.98,10.06,28814,0
HONDU.US,D,20240930,000000,9.99,10.5395,9.99,10.01,12446,0
HONDU.US,D,20241001,000000,10,10.02,9.98,10.01,11846,0
HONDU.US,D,20241002,000000,9.98,9.98,9.98,9.98,1846,0
HONDU.US,D,20241003,000000,10.01,10.01,10.01,10.01,432,0
HONDU.US,D,20241004,000000,10.01,10.01,10.01,10.01,482,0
HONDU.US,D,20241007,000000,9.98,10,9.98,9.99,1992,0
HONDU.US,D,20241009,000000,10,10,10,10,20501,0
HONDU.US,D,20241010,000000,10.01,10.01,10.005,10.01,177574,0
HONDU.US,D,20241011,000000,10.025,10.025,10.0001,10.0001,356,0
HONDU.US,D,20241015,000000,10,10.0001,10,10,17503,0
HONDU.US,D,20241017,000000,10.0099,10.01,10.0099,10.01,2600,0
HONDU.US,D,20241021,000000,10,10,10,10,149,0
HONDU.US,D,20241022,000000,10,10,10,10,2016,0
HONDU.US,D,20241028,000000,10.04,10.04,10.01,10.01,3874,0
HONDU.US,D,20241029,000000,10.01,11.01,10.01,10.53,5117,0
