<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRTS.US,D,20231124,000000,26.64,26.9683,26.64,26.89,19291,0
HRTS.US,D,20231127,000000,26.89,26.89,26.67,26.7,15291,0
HRTS.US,D,20231128,000000,26.63,26.63,26.38,26.4852,389506,0
HRTS.US,D,20231129,000000,26.61,26.932,26.61,26.7366,15709,0
HRTS.US,D,20231130,000000,26.82,27.139,26.79,26.79,10842,0
HRTS.US,D,20231201,000000,26.63,27.31,26.62,27.31,3958,0
HRTS.US,D,20231204,000000,27.31,27.74,27.31,27.61,19455,0
HRTS.US,D,20231205,000000,27.52,27.68,27.3682,27.525,9349,0
HRTS.US,D,20231206,000000,27.74,27.88,27.59,27.61,8184,0
HRTS.US,D,20231207,000000,27.6158,27.94,27.6158,27.86,10560,0
HRTS.US,D,20231208,000000,27.89,27.95,27.55,27.6,15074,0
HRTS.US,D,20231211,000000,27.65,27.65,27.1,27.43,4958,0
HRTS.US,D,20231212,000000,27.54,27.82,27.5,27.81,3435,0
HRTS.US,D,20231213,000000,28,28.89,28,28.89,3825,0
HRTS.US,D,20231214,000000,29.22,29.479,29.07,29.3191,7161,0
HRTS.US,D,20231215,000000,29.3458,29.3458,29,29.2328,3940,0
HRTS.US,D,20231218,000000,29.3,29.3,29,29.08,14281,0
HRTS.US,D,20231219,000000,29.3,29.68,29.3,29.68,5815,0
HRTS.US,D,20231220,000000,29.72,29.72,29.01,29.0394,22715,0
HRTS.US,D,20231221,000000,29.11,29.37,29.11,29.37,10479,0
HRTS.US,D,20231222,000000,30,30.25,29.76,30.15,11748,0
HRTS.US,D,20231226,000000,30.17,30.5099,30.17,30.26,8131,0
HRTS.US,D,20231227,000000,30.69,31.38,30.6,30.945,18812,0
HRTS.US,D,20231228,000000,33.56,33.56,30.79,30.79,27132,0
HRTS.US,D,20231229,000000,30.99,30.99,30.61,30.61,6710,0
HRTS.US,D,20240102,000000,30.61,31.0313,30.28,30.6544,16356,0
HRTS.US,D,20240103,000000,30.7,30.7,30.15,30.27,7823,0
HRTS.US,D,20240104,000000,30.3,30.7251,30.2594,30.63,27073,0
HRTS.US,D,20240105,000000,30.51,30.67,30.27,30.5789,8627,0
HRTS.US,D,20240108,000000,30.7,31.75,30.57,31.75,10176,0
HRTS.US,D,20240109,000000,31.59,31.905,31.59,31.8601,98796,0
HRTS.US,D,20240110,000000,31.77,31.7991,31.5,31.7063,10239,0
HRTS.US,D,20240111,000000,31.84,31.84,31.2,31.6238,12520,0
HRTS.US,D,20240112,000000,31.9296,31.9296,31.25,31.48,11389,0
HRTS.US,D,20240116,000000,31.5,31.5,31,31.19,18035,0
HRTS.US,D,20240117,000000,31.05,31.05,30.775,30.9805,7272,0
HRTS.US,D,20240118,000000,30.92,30.95,30.5216,30.7941,15739,0
HRTS.US,D,20240119,000000,30.77,31.08,30.4788,31.02,89552,0
HRTS.US,D,20240122,000000,31.15,31.55,31.15,31.4206,16965,0
HRTS.US,D,20240123,000000,31.42,31.4399,31.04,31.4092,12244,0
HRTS.US,D,20240124,000000,31.57,31.59,31.0701,31.1,57107,0
HRTS.US,D,20240125,000000,31.23,31.35,31.08,31.35,181338,0
HRTS.US,D,20240126,000000,31.3,31.5,31.25,31.34,27380,0
HRTS.US,D,20240129,000000,31.3,31.9926,31.12,31.9926,11874,0
HRTS.US,D,20240130,000000,31.84,31.84,31.3701,31.47,14563,0
HRTS.US,D,20240131,000000,31.51,31.83,31.21,31.2752,17055,0
HRTS.US,D,20240201,000000,31.31,31.88,31.01,31.7991,11793,0
HRTS.US,D,20240202,000000,31.72,31.765,31.2833,31.735,48707,0
HRTS.US,D,20240205,000000,31.63,31.846,31.5,31.7949,10017,0
HRTS.US,D,20240206,000000,31.79,32.05,31.63,32.05,9986,0
HRTS.US,D,20240207,000000,32.1,32.1,31.69,31.69,13477,0
HRTS.US,D,20240208,000000,32.38,32.38,32.025,32.19,10968,0
HRTS.US,D,20240209,000000,32.28,32.7014,31.86,32.62,16935,0
HRTS.US,D,20240212,000000,32.62,33.07,32.62,33.07,13329,0
HRTS.US,D,20240213,000000,32.58,32.58,32,32.17,23009,0
HRTS.US,D,20240214,000000,32.34,32.75,32.27,32.61,21750,0
HRTS.US,D,20240215,000000,32.53,32.8265,32.34,32.67,15557,0
HRTS.US,D,20240216,000000,32.73,33.235,32.69,32.91,19358,0
HRTS.US,D,20240220,000000,33.11,33.11,32.52,32.64,23480,0
HRTS.US,D,20240221,000000,32.64,32.64,32.23,32.53,23705,0
HRTS.US,D,20240222,000000,32.62,33.06,32.5,32.89,7101,0
HRTS.US,D,20240223,000000,32.91,33.18,32.81,32.98,16207,0
HRTS.US,D,20240226,000000,33.14,33.7,32.99,33.39,87181,0
HRTS.US,D,20240227,000000,33.83,34.8,33.795,34.72,21555,0
HRTS.US,D,20240228,000000,35.02,35.0596,34.45,34.5918,44000,0
HRTS.US,D,20240229,000000,34.73,35.29,33.83,33.83,46706,0
HRTS.US,D,20240301,000000,34.02,35.0101,34.02,34.89,36048,0
HRTS.US,D,20240304,000000,35.58,35.58,34.5415,34.63,53788,0
HRTS.US,D,20240305,000000,34.63,34.71,33.85,34.05,30914,0
HRTS.US,D,20240306,000000,34.28,34.5,34.13,34.35,22337,0
HRTS.US,D,20240307,000000,34.52,34.56,34.26,34.28,35722,0
HRTS.US,D,20240308,000000,34.28,34.8008,34.12,34.32,29451,0
HRTS.US,D,20240311,000000,34.32,34.32,33.48,33.48,26476,0
HRTS.US,D,20240312,000000,33.69,33.8496,33.5,33.78,17032,0
HRTS.US,D,20240313,000000,33.77,33.92,33.5,33.62,36402,0
HRTS.US,D,20240314,000000,33.4,33.4,32.59,33.04,30500,0
HRTS.US,D,20240315,000000,33.13,33.33,32.89,32.95,28501,0
HRTS.US,D,20240318,000000,33.13,33.245,32.72,33.03,12250,0
HRTS.US,D,20240319,000000,33.12,33.3997,32.85,33.275,11049,0
HRTS.US,D,20240320,000000,33.28,33.44,32.82,33.39,122708,0
HRTS.US,D,20240321,000000,33.53,33.68,33.2,33.2,35904,0
HRTS.US,D,20240322,000000,33.32,33.39,33.0319,33.12,19769,0
HRTS.US,D,20240325,000000,33.22,33.4591,33.187,33.26,37340,0
HRTS.US,D,20240326,000000,33.38,33.92,33.02,33.56,43153,0
HRTS.US,D,20240327,000000,33.71,33.96,33.426,33.96,29887,0
HRTS.US,D,20240328,000000,33.99,34.36,33.9825,34.18,30022,0
HRTS.US,D,20240401,000000,34.18,34.48,33.58,33.82,31818,0
HRTS.US,D,20240402,000000,33.51,33.51,32.89,33.01,21887,0
HRTS.US,D,20240403,000000,33.01,33.1639,32.9,33.13,26114,0
HRTS.US,D,20240404,000000,33.39,33.45,32.5501,32.66,27334,0
HRTS.US,D,20240405,000000,32.54,33.17,32.2,33.05,30614,0
HRTS.US,D,20240408,000000,33.14,33.15,32.8,33.04,17141,0
HRTS.US,D,20240409,000000,33.12,33.16,32.88,33.16,11887,0
HRTS.US,D,20240410,000000,32.68,32.68,32.33,32.6,23038,0
HRTS.US,D,20240411,000000,32.75,32.9262,32.5286,32.76,26046,0
HRTS.US,D,20240412,000000,33,33,31.77,31.97,43682,0
HRTS.US,D,20240415,000000,32.06,32.06,31.41,31.51,21033,0
