<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRYU.US,D,20230801,000000,9.5,9.5,7.5,7.8,365785,0
HRYU.US,D,20230802,000000,7.9,8.3,6.6,6.93,259250,0
HRYU.US,D,20230803,000000,6.48,7.1,5.67,7.09,64592,0
HRYU.US,D,20230804,000000,6.64,6.89,5.8,6.0001,42641,0
HRYU.US,D,20230807,000000,5.8,5.8988,5.29,5.2901,39170,0
HRYU.US,D,20230808,000000,4.85,5.4699,4.5,4.87,80421,0
HRYU.US,D,20230809,000000,4.73,5,4,4.24,67271,0
HRYU.US,D,20230810,000000,4.27,5,4.27,4.88,51676,0
HRYU.US,D,20230811,000000,4.64,5.04,4.6,4.67,19874,0
HRYU.US,D,20230814,000000,4.67,7.78,4.67,6.77,8566071,0
HRYU.US,D,20230815,000000,6.85,6.85,5.0506,5.17,745351,0
HRYU.US,D,20230816,000000,5.16,5.4814,3.65,4.27,341391,0
HRYU.US,D,20230817,000000,4.25,5.63,4.2001,5.619,470150,0
HRYU.US,D,20230818,000000,5.1,5.7813,4.9,5.07,61186,0
HRYU.US,D,20230821,000000,5.09,5.25,4.7,4.715,39074,0
HRYU.US,D,20230822,000000,4.96,4.96,4.53,4.56,33543,0
HRYU.US,D,20230823,000000,4.58,4.75,4.16,4.2,59034,0
HRYU.US,D,20230824,000000,4.37,4.49,4.02,4.1,52943,0
HRYU.US,D,20230825,000000,4.2044,4.34,3.74,3.9,27732,0
HRYU.US,D,20230828,000000,3.86,4.1617,3.86,3.92,16237,0
HRYU.US,D,20230829,000000,3.88,4.15,3.41,3.52,184181,0
HRYU.US,D,20230830,000000,3.68,4.3,3.55,3.5928,88455,0
HRYU.US,D,20230831,000000,3.78,4.08,3.75,3.92,71393,0
HRYU.US,D,20230901,000000,4.26,5.35,4.12,4.69,147834,0
HRYU.US,D,20230905,000000,4.26,4.92,4.1001,4.92,628414,0
HRYU.US,D,20230906,000000,4.9,5.32,4.52,5.01,72023,0
HRYU.US,D,20230907,000000,4.86,5.4,4.81,5.27,27705,0
HRYU.US,D,20230908,000000,5.48,5.57,5.14,5.51,32272,0
HRYU.US,D,20230911,000000,5.44,5.69,5.3777,5.65,59768,0
HRYU.US,D,20230912,000000,5.83,6.34,5.6243,6.17,343223,0
HRYU.US,D,20230913,000000,6.42,6.42,6,6.12,161411,0
HRYU.US,D,20230914,000000,6.22,6.22,5.92,6.1,56467,0
HRYU.US,D,20230915,000000,6.39,6.6999,6.16,6.2488,147772,0
HRYU.US,D,20230918,000000,6.44,6.6,6.02,6.21,75163,0
