<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HSPOR.US,D,20240510,000000,0.0857,0.0857,0.0857,0.0857,111,0
HSPOR.US,D,20240516,000000,0.104,0.1041,0.097251,0.097251,2001,0
HSPOR.US,D,20240521,000000,0.0908,0.091,0.0876,0.0876,1000,0
HSPOR.US,D,20240529,000000,0.2125,0.2125,0.0959,0.1001,38050,0
HSPOR.US,D,20240530,000000,0.0901,0.0951,0.0901,0.0951,1200,0
HSPOR.US,D,20240603,000000,0.1297,0.182,0.085,0.11,32991,0
HSPOR.US,D,20240604,000000,0.0851,0.11,0.0851,0.11,250,0
HSPOR.US,D,20240606,000000,0.085,0.0977,0.085,0.085,1496,0
HSPOR.US,D,20240607,000000,0.085,0.085,0.085,0.085,851,0
HSPOR.US,D,20240610,000000,0.081,0.0885,0.081,0.081,424,0
HSPOR.US,D,20240612,000000,0.0801,0.11,0.0801,0.0835,2310,0
HSPOR.US,D,20240613,000000,0.0811,0.1028,0.0811,0.0834,15149,0
HSPOR.US,D,20240617,000000,0.0851,0.11,0.0851,0.11,1500,0
HSPOR.US,D,20240620,000000,0.09,0.11,0.0851,0.11,1100,0
HSPOR.US,D,20240625,000000,0.0901,0.0901,0.0851,0.0901,749,0
HSPOR.US,D,20240626,000000,0.09,0.09,0.0875,0.0898,42351,0
HSPOR.US,D,20240627,000000,0.085,0.085,0.085,0.085,749,0
HSPOR.US,D,20240702,000000,0.0885,0.100058,0.085,0.085,849,0
HSPOR.US,D,20240715,000000,0.0854,0.11,0.0851,0.11,1518,0
HSPOR.US,D,20240719,000000,0.0851,0.0851,0.0851,0.0851,759,0
HSPOR.US,D,20240722,000000,0.0851,0.095788,0.085,0.085,2178,0
HSPOR.US,D,20240730,000000,0.0851,0.0851,0.0851,0.0851,100,0
HSPOR.US,D,20240801,000000,0.085,0.085,0.085,0.085,100,0
HSPOR.US,D,20240827,000000,0.09,0.09,0.0882,0.09,170847,0
HSPOR.US,D,20240828,000000,0.0843,0.0865,0.08,0.0811,148659,0
HSPOR.US,D,20240903,000000,0.0801,0.0801,0.0801,0.0801,749,0
HSPOR.US,D,20240917,000000,0.1,0.1076,0.0938,0.1076,50300,0
HSPOR.US,D,20240919,000000,0.1506,0.1506,0.0899,0.0911,47731,0
HSPOR.US,D,20240926,000000,0.0801,0.0801,0.08,0.08,1000,0
HSPOR.US,D,20241007,000000,0.085,0.0851,0.0801,0.084,1496,0
HSPOR.US,D,20241008,000000,0.0853,0.0985,0.076,0.0985,32635,0
HSPOR.US,D,20241011,000000,0.103,0.1031,0.103,0.103,600,0
HSPOR.US,D,20241029,000000,0.1032,0.1032,0.1032,0.1032,2490,0
