<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HTLM.US,D,20241001,000000,4.51,4.7,3.88,4.02,295900,0
HTLM.US,D,20241002,000000,4.1,4.1,4.02,4.02,26900,0
HTLM.US,D,20241003,000000,3.89,4.05,3.89,4.05,21083,0
HTLM.US,D,20241004,000000,4.03,4.1,4.02,4.03,14496,0
HTLM.US,D,20241007,000000,4.05,4.05,3.9701,4,23618,0
HTLM.US,D,20241008,000000,3.97,4.6999,3.9271,4.25,206457,0
HTLM.US,D,20241009,000000,4.5,4.5,4.1,4.29,52330,0
HTLM.US,D,20241010,000000,4.3,4.3,4.02,4.28,16127,0
HTLM.US,D,20241011,000000,4.1047,4.23,4.1,4.16,1410,0
HTLM.US,D,20241014,000000,4.1,4.21,4,4.09,6457,0
HTLM.US,D,20241015,000000,4.1,4.3,4,4.15,44492,0
HTLM.US,D,20241016,000000,4.2068,4.24,4.03,4.06,3400,0
HTLM.US,D,20241017,000000,4.06,4.37,4.03,4.21,61936,0
HTLM.US,D,20241018,000000,4.3165,4.34,4.11,4.1569,6957,0
HTLM.US,D,20241021,000000,4.3,4.66,4.29,4.48,45598,0
HTLM.US,D,20241022,000000,4.48,4.48,4.45,4.45,5523,0
HTLM.US,D,20241023,000000,4.4,4.48,4.168,4.44,82346,0
HTLM.US,D,20241024,000000,4.3645,4.43,4.24,4.25,81612,0
HTLM.US,D,20241025,000000,4.25,4.44,4.21,4.25,47302,0
HTLM.US,D,20241028,000000,4.2996,4.32,4,4.01,78835,0
HTLM.US,D,20241029,000000,4.02,4.28,4.02,4.11,96505,0
