<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYZN.US,D,20201215,000000,10.5,10.5,10.11,10.125,27545,0
HYZN.US,D,20201216,000000,10.25,10.495,10.01,10.29,133460,0
HYZN.US,D,20201217,000000,10.15,10.35,10.15,10.28,110694,0
HYZN.US,D,20201218,000000,10.27,10.3999,10.2,10.3499,176242,0
HYZN.US,D,20201221,000000,10.44,10.62,10.2,10.41,409543,0
HYZN.US,D,20201222,000000,10.5,10.67,10.45,10.48,117698,0
HYZN.US,D,20201223,000000,10.6919,10.7,10.48,10.52,139582,0
HYZN.US,D,20201224,000000,10.89,10.9,10.48,10.6,343792,0
HYZN.US,D,20201228,000000,10.7,10.7,10.585,10.7,207476,0
HYZN.US,D,20201229,000000,10.69,10.98,10.54,10.6,82889,0
HYZN.US,D,20201230,000000,10.89,10.99,10.6,10.65,54514,0
HYZN.US,D,20201231,000000,10.75,10.75,10.57,10.6,58188,0
HYZN.US,D,20210104,000000,10.75,10.75,10.55,10.56,27907,0
HYZN.US,D,20210105,000000,10.75,10.75,10.47,10.49,94349,0
HYZN.US,D,20210106,000000,10.5501,10.65,10.43,10.51,15078,0
HYZN.US,D,20210107,000000,10.55,10.65,10.4,10.61,132399,0
HYZN.US,D,20210108,000000,10.74,10.74,10.51,10.7,188349,0
HYZN.US,D,20210111,000000,10.69,11,10.64,10.8,747892,0
HYZN.US,D,20210112,000000,10.85,11.65,10.8295,11.51,911572,0
HYZN.US,D,20210113,000000,11.95,12.34,11.77,12.07,1453250,0
HYZN.US,D,20210114,000000,12.25,12.47,12.075,12.29,578152,0
HYZN.US,D,20210115,000000,12.33,12.4421,11.86,12,196717,0
HYZN.US,D,20210119,000000,12.09,12.48,11.75,12.47,423320,0
HYZN.US,D,20210120,000000,12.5,12.5,12.1,12.26,288652,0
HYZN.US,D,20210121,000000,12.3,12.4999,12.15,12.35,560839,0
HYZN.US,D,20210122,000000,12.5,13.77,12.44,13.68,655333,0
HYZN.US,D,20210125,000000,13.8,14.54,13.45,13.88,463024,0
HYZN.US,D,20210126,000000,14,14.27,13.63,13.92,247055,0
HYZN.US,D,20210127,000000,13.38,13.8,12.51,12.83,800580,0
HYZN.US,D,20210128,000000,12.82,13.0299,12.3,12.59,440531,0
HYZN.US,D,20210129,000000,12.58,12.97,12.4,12.6,284738,0
HYZN.US,D,20210201,000000,12.75,13.27,12.68,13.1,602037,0
HYZN.US,D,20210202,000000,13.15,13.7,13.15,13.58,496399,0
HYZN.US,D,20210203,000000,13.58,15,13.58,14,648490,0
HYZN.US,D,20210204,000000,14.3,14.96,13.64,13.74,427489,0
HYZN.US,D,20210205,000000,16.35,17.3,16.02,16.5,5290414,0
HYZN.US,D,20210208,000000,18.04,19.95,17.18,17.76,3557668,0
HYZN.US,D,20210209,000000,16.99,17.25,16.04,16.04,9701070,0
