<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBACR.US,D,20240506,000000,0.09,0.105,0.075,0.1021,404428,0
IBACR.US,D,20240507,000000,0.1023,0.1023,0.0875,0.0875,17593,0
IBACR.US,D,20240508,000000,0.09,0.1023,0.0875,0.1023,80116,0
IBACR.US,D,20240509,000000,0.0875,0.0875,0.0875,0.0875,764,0
IBACR.US,D,20240510,000000,0.0876,0.0997,0.085,0.0997,113636,0
IBACR.US,D,20240513,000000,0.085,0.0999,0.0805,0.0805,71446,0
IBACR.US,D,20240514,000000,0.075,0.095,0.061,0.075,114284,0
IBACR.US,D,20240515,000000,0.075,0.0899,0.075,0.0899,3174,0
IBACR.US,D,20240516,000000,0.0895,0.094,0.0895,0.0895,1055,0
IBACR.US,D,20240517,000000,0.085,0.0851,0.075,0.08,9390,0
IBACR.US,D,20240520,000000,0.08,0.08,0.075,0.079984,175211,0
IBACR.US,D,20240522,000000,0.075,0.085105,0.075,0.085105,6126,0
IBACR.US,D,20240523,000000,0.0605,0.085,0.0605,0.085,822,0
IBACR.US,D,20240524,000000,0.0805,0.09,0.0805,0.09,21900,0
IBACR.US,D,20240528,000000,0.0949,0.0949,0.0949,0.0949,250,0
IBACR.US,D,20240529,000000,0.095,0.0973,0.094984,0.095,118400,0
IBACR.US,D,20240530,000000,0.08485,0.08485,0.08485,0.08485,800,0
IBACR.US,D,20240531,000000,0.09,0.09,0.09,0.09,100,0
IBACR.US,D,20240604,000000,0.0995,0.0995,0.0995,0.0995,2450,0
IBACR.US,D,20240605,000000,0.0917,0.095,0.087601,0.095,6832,0
IBACR.US,D,20240606,000000,0.1,0.1099,0.09,0.1,55250,0
IBACR.US,D,20240607,000000,0.09,0.1,0.09,0.1,4710,0
IBACR.US,D,20240614,000000,0.1018,0.1099,0.1018,0.1099,3300,0
IBACR.US,D,20240617,000000,0.1,0.1,0.1,0.1,1979,0
IBACR.US,D,20240618,000000,0.11,0.1194,0.11,0.11,52234,0
IBACR.US,D,20240620,000000,0.11,0.115,0.1099,0.1099,51600,0
IBACR.US,D,20240621,000000,0.1075,0.1075,0.1075,0.1075,51801,0
IBACR.US,D,20240625,000000,0.1075,0.10875,0.0999,0.1,593192,0
IBACR.US,D,20240626,000000,0.1,0.5862,0.0753,0.08,249560,0
IBACR.US,D,20240627,000000,0.0755,0.087751,0.0755,0.087751,1101,0
IBACR.US,D,20240628,000000,0.08,0.0881,0.0756,0.0756,2052,0
IBACR.US,D,20240702,000000,0.092751,0.092751,0.092751,0.092751,295,0
IBACR.US,D,20240708,000000,0.08,0.095,0.08,0.095,11650,0
IBACR.US,D,20240709,000000,0.0799,0.1,0.0799,0.1,1320,0
IBACR.US,D,20240710,000000,0.08,0.08,0.08,0.08,694,0
IBACR.US,D,20240711,000000,0.08,0.08,0.08,0.08,2394,0
IBACR.US,D,20240712,000000,0.08,0.08,0.08,0.08,1918,0
IBACR.US,D,20240716,000000,0.08,0.086751,0.08,0.086751,8180,0
IBACR.US,D,20240723,000000,0.085,0.09,0.085,0.09,10762,0
IBACR.US,D,20240731,000000,0.08,0.08,0.08,0.08,571,0
IBACR.US,D,20240801,000000,0.08,0.11,0.08,0.1099,11998,0
IBACR.US,D,20240802,000000,0.08,0.11,0.08,0.081,192891,0
IBACR.US,D,20240806,000000,0.08,0.08,0.0755,0.0755,1000,0
IBACR.US,D,20240812,000000,0.0751,0.11,0.0751,0.11,900,0
IBACR.US,D,20240813,000000,0.0751,0.11,0.075,0.075,3622,0
IBACR.US,D,20240815,000000,0.08547,0.08547,0.08547,0.08547,814,0
IBACR.US,D,20240816,000000,0.092451,0.1099,0.0701,0.0701,1395,0
IBACR.US,D,20240820,000000,0.07,0.07,0.07,0.07,911,0
IBACR.US,D,20240821,000000,0.0701,0.0701,0.0701,0.0701,479,0
IBACR.US,D,20240822,000000,0.07,0.07,0.07,0.07,1168,0
IBACR.US,D,20240827,000000,0.07,0.07,0.07,0.07,465,0
IBACR.US,D,20240828,000000,0.0709,0.0709,0.07,0.07,6277,0
IBACR.US,D,20240829,000000,0.0701,0.0701,0.0701,0.0701,202,0
IBACR.US,D,20240903,000000,0.0701,0.0701,0.0701,0.0701,2870,0
IBACR.US,D,20240905,000000,0.0701,0.1099,0.0701,0.0879,10252,0
IBACR.US,D,20240906,000000,0.0801,0.0801,0.0801,0.0801,5000,0
IBACR.US,D,20240909,000000,0.08,0.0801,0.0702,0.0702,2421,0
IBACR.US,D,20240910,000000,0.0702,0.0702,0.0702,0.0702,383,0
IBACR.US,D,20240911,000000,0.0737,0.0737,0.0701,0.0702,6601,0
IBACR.US,D,20240913,000000,0.079251,0.0884,0.079251,0.0884,4563,0
IBACR.US,D,20240916,000000,0.11,0.11,0.07,0.07,6870,0
IBACR.US,D,20240917,000000,0.07,0.07,0.07,0.07,551,0
IBACR.US,D,20240918,000000,0.0702,0.0723,0.0701,0.0701,1464,0
IBACR.US,D,20240919,000000,0.07,0.07,0.07,0.07,400,0
IBACR.US,D,20240920,000000,0.0715,0.088,0.07,0.07,10300,0
IBACR.US,D,20240924,000000,0.07,0.1,0.07,0.0701,16380,0
IBACR.US,D,20240925,000000,0.07,0.07,0.07,0.07,1153,0
IBACR.US,D,20240926,000000,0.07,0.0701,0.07,0.0701,3436,0
IBACR.US,D,20241007,000000,0.0791,0.08,0.0791,0.08,800,0
IBACR.US,D,20241008,000000,0.072,0.08,0.07,0.08,8856,0
IBACR.US,D,20241010,000000,0.0832,0.0832,0.07,0.07,5244,0
IBACR.US,D,20241014,000000,0.0702,0.074,0.0702,0.0729,539,0
IBACR.US,D,20241015,000000,0.074,0.074,0.0739,0.074,972,0
