<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICON.US,D,20240712,000000,3.8,3.85,3.12,3.7,390300,0
ICON.US,D,20240715,000000,3.5,3.6,3.15,3.52,58377,0
ICON.US,D,20240716,000000,3.4999,3.7852,3.414,3.78,43798,0
ICON.US,D,20240717,000000,3.78,3.78,3.5776,3.65,31963,0
ICON.US,D,20240718,000000,3.54,3.65,3.45,3.5,29505,0
ICON.US,D,20240719,000000,3.5,3.69,3.5,3.57,6114,0
ICON.US,D,20240722,000000,3.69,3.69,3.5019,3.57,24613,0
ICON.US,D,20240723,000000,3.44,3.6899,3.44,3.53,12241,0
ICON.US,D,20240724,000000,3.39,3.6,3.21,3.3545,30387,0
ICON.US,D,20240725,000000,3.36,3.5154,3.23,3.46,6603,0
ICON.US,D,20240726,000000,3.4,3.55,3.4,3.5,4491,0
ICON.US,D,20240729,000000,3.46,3.52,3.42,3.5,9103,0
ICON.US,D,20240730,000000,3.51,3.55,3.46,3.49,7534,0
ICON.US,D,20240731,000000,3.403,3.5,3.23,3.31,64378,0
ICON.US,D,20240801,000000,3.22,3.3,2.76,2.92,20343,0
ICON.US,D,20240802,000000,2.8,2.99,2.7,2.75,6865,0
ICON.US,D,20240805,000000,2.55,2.68,2.5,2.57,3970,0
ICON.US,D,20240806,000000,2.61,2.78,2.58,2.58,2288,0
ICON.US,D,20240807,000000,2.7,3.1,2.61,2.69,51458,0
ICON.US,D,20240808,000000,2.67,2.785,2.602,2.61,5125,0
ICON.US,D,20240809,000000,2.66,2.66,2.4,2.4,3808,0
ICON.US,D,20240812,000000,2.4,2.95,2.2,2.28,86736,0
ICON.US,D,20240813,000000,2.36,2.54,2.33,2.37,59467,0
ICON.US,D,20240814,000000,2.47,2.6086,2.35,2.35,167726,0
ICON.US,D,20240815,000000,2.365,2.5,2.1,2.1,208178,0
ICON.US,D,20240816,000000,2.3,2.42,2.16,2.215,192339,0
ICON.US,D,20240819,000000,2.27,2.52,2.17,2.24,25028,0
ICON.US,D,20240820,000000,2.26,2.6302,2.1,2.1,31464,0
ICON.US,D,20240821,000000,2.13,2.15,2.1,2.1,11536,0
ICON.US,D,20240822,000000,2.1,2.11,2.03,2.05,11826,0
ICON.US,D,20240823,000000,2.17,2.19,2.11,2.13,15734,0
ICON.US,D,20240826,000000,2.13,2.1539,2.13,2.1539,1893,0
ICON.US,D,20240827,000000,2.265,2.99,2.25,2.47,52015,0
ICON.US,D,20240828,000000,2.54,2.97,2.54,2.8,34418,0
ICON.US,D,20240829,000000,3.09,3.09,2.66,2.66,22484,0
ICON.US,D,20240830,000000,3.0841,3.0841,2.5001,2.67,12185,0
ICON.US,D,20240903,000000,2.808,2.81,2.39,2.4384,13084,0
ICON.US,D,20240904,000000,2.44,2.4414,2.36,2.37,6610,0
ICON.US,D,20240905,000000,2.58,2.69,2.38,2.535,4215,0
ICON.US,D,20240906,000000,2.53,2.7758,2.4201,2.5532,42173,0
