<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILIT.US,D,20230627,000000,24.4599,24.5176,24.4599,24.5176,459,0
ILIT.US,D,20230628,000000,24.35,24.35,24.23,24.3,505,0
ILIT.US,D,20230629,000000,24.06,24.35,24.06,24.29,786,0
ILIT.US,D,20230630,000000,24.61,24.98,24.61,24.8266,2338,0
ILIT.US,D,20230703,000000,25.17,25.525,25.17,25.515,1219,0
ILIT.US,D,20230705,000000,25.52,25.52,25.2,25.2,1356,0
ILIT.US,D,20230706,000000,24.62,24.62,24.2462,24.473,770,0
ILIT.US,D,20230707,000000,24.63,25.25,24.63,25.0199,3222,0
ILIT.US,D,20230710,000000,25,25.35,25,25.28,339,0
ILIT.US,D,20230711,000000,25.63,25.69,25.463,25.65,3716,0
ILIT.US,D,20230712,000000,25.82,25.82,25.82,25.82,55,0
ILIT.US,D,20230713,000000,26.33,26.33,26.15,26.1884,426,0
ILIT.US,D,20230714,000000,26.02,26.02,25.75,25.78,2683,0
ILIT.US,D,20230717,000000,25.43,25.75,25.34,25.63,4357,0
ILIT.US,D,20230718,000000,25.67,25.75,25.45,25.62,2251,0
ILIT.US,D,20230719,000000,25.53,25.53,25.2902,25.2902,1693,0
ILIT.US,D,20230720,000000,25.16,25.24,25.0337,25.0337,564,0
ILIT.US,D,20230721,000000,24.79,24.79,24.2215,24.275,2752,0
ILIT.US,D,20230724,000000,23.74,23.74,23.376,23.376,3523,0
ILIT.US,D,20230725,000000,23.78,23.9654,23.78,23.9654,229,0
ILIT.US,D,20230726,000000,24.29,24.29,24.1483,24.1483,237,0
ILIT.US,D,20230727,000000,23.95,23.95,23.2838,23.2838,1094,0
ILIT.US,D,20230728,000000,23.59,23.6531,23.59,23.6531,771,0
ILIT.US,D,20230731,000000,23.7585,23.91,23.68,23.7624,3009,0
ILIT.US,D,20230801,000000,23.4896,23.4896,23.27,23.3464,1168,0
ILIT.US,D,20230802,000000,23.23,23.23,22.76,22.9216,3536,0
ILIT.US,D,20230803,000000,23.19,23.19,23.0816,23.0816,107,0
ILIT.US,D,20230804,000000,23.07,23.2531,23.005,23.005,905,0
ILIT.US,D,20230807,000000,22.797,22.797,22.797,22.797,98,0
ILIT.US,D,20230808,000000,22.4606,22.4606,22.4606,22.4606,66,0
ILIT.US,D,20230809,000000,22.27,22.3465,22.27,22.3465,406,0
ILIT.US,D,20230810,000000,22.48,22.48,22.44,22.44,697,0
ILIT.US,D,20230811,000000,22.21,22.21,22.0462,22.0462,304,0
ILIT.US,D,20230814,000000,21.58,21.58,21.58,21.58,129,0
ILIT.US,D,20230815,000000,21.19,21.19,20.89,20.9418,1012,0
ILIT.US,D,20230816,000000,20.66,20.74,20.4699,20.4699,1722,0
ILIT.US,D,20230817,000000,20.59,20.59,20.3878,20.3878,206,0
ILIT.US,D,20230818,000000,20.11,20.19,20.11,20.19,856,0
ILIT.US,D,20230821,000000,20.5,20.6332,20.5,20.6332,508,0
ILIT.US,D,20230822,000000,20.57,20.57,20.4993,20.4993,143,0
ILIT.US,D,20230823,000000,20.76,20.76,20.71,20.71,420,0
ILIT.US,D,20230824,000000,20.59,20.59,20.48,20.4802,908,0
ILIT.US,D,20230825,000000,20.2496,20.2496,20.2496,20.2496,207,0
ILIT.US,D,20230828,000000,19.95,20.04,19.8924,19.8924,944,0
ILIT.US,D,20230829,000000,20.5001,20.62,20.5001,20.6072,8936,0
ILIT.US,D,20230830,000000,20.42,20.47,20.42,20.47,256,0
ILIT.US,D,20230831,000000,20.35,20.38,20.35,20.3586,740,0
ILIT.US,D,20230901,000000,20.37,20.43,20.37,20.43,234,0
ILIT.US,D,20230905,000000,20.5298,20.65,20.4898,20.549,1140,0
ILIT.US,D,20230906,000000,20.5,20.5,20.07,20.1596,807,0
ILIT.US,D,20230907,000000,19.9423,19.9423,19.9423,19.9423,242,0
ILIT.US,D,20230908,000000,19.82,19.82,19.5859,19.622,740,0
ILIT.US,D,20230911,000000,19.74,19.74,19.715,19.715,123,0
