<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMAQU.US,D,20240401,000000,11.01,11.01,11.01,11.01,100,0
IMAQU.US,D,20240411,000000,11.01,11.01,11.01,11.01,100,0
IMAQU.US,D,20240507,000000,12.11,12.11,12.11,12.11,100,0
IMAQU.US,D,20240610,000000,12.15,14.29,12.12,12.7,6277,0
IMAQU.US,D,20240611,000000,13.99,14,13.2,13.27,1951,0
IMAQU.US,D,20240620,000000,13,13,12.34,12.34,355,0
IMAQU.US,D,20240625,000000,11.06,11.06,11.06,11.06,104,0
IMAQU.US,D,20240708,000000,11.38,12,11.38,12,790,0
IMAQU.US,D,20240709,000000,11.99,16.34,11.5,11.56,11156,0
IMAQU.US,D,20240715,000000,10.41,11.45,10.41,11.45,573,0
IMAQU.US,D,20240805,000000,11.48,11.5,11.48,11.48,2033,0
