<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INDH.US,D,20240510,000000,39.8,39.8,39.6466,39.6466,1244,0
INDH.US,D,20240513,000000,40.03,40.05,39.9486,39.9486,13392,0
INDH.US,D,20240514,000000,40.08,40.255,40.08,40.2219,1674,0
INDH.US,D,20240515,000000,40.27,40.3117,40.27,40.3117,359,0
INDH.US,D,20240516,000000,40.54,40.55,40.4673,40.4673,994,0
INDH.US,D,20240517,000000,40.7,40.75,40.6492,40.6931,1847,0
INDH.US,D,20240520,000000,40.78,40.87,40.78,40.7939,1805,0
INDH.US,D,20240521,000000,40.81,40.87,40.7592,40.7592,1190,0
INDH.US,D,20240522,000000,40.7725,40.97,40.7725,40.8412,929538,0
INDH.US,D,20240523,000000,41.45,41.46,41.23,41.2941,16925,0
INDH.US,D,20240524,000000,41.58,41.6,41.5368,41.5368,3963,0
INDH.US,D,20240528,000000,41.22,41.22,41.0155,41.126,9495,0
INDH.US,D,20240529,000000,40.92,40.98,40.7701,40.89,10980,0
INDH.US,D,20240530,000000,40.5881,40.72,40.5881,40.716,995,0
INDH.US,D,20240531,000000,40.67,40.67,40.49,40.571,1524,0
INDH.US,D,20240603,000000,41.78,41.819,41.6799,41.7434,2770,0
INDH.US,D,20240604,000000,39.47,39.97,39.25,39.7071,151441,0
INDH.US,D,20240605,000000,40.45,40.7688,40.4,40.7688,5825,0
INDH.US,D,20240606,000000,41.06,41.1,41.0277,41.0277,3240,0
INDH.US,D,20240607,000000,41.85,41.85,41.61,41.7099,7866,0
INDH.US,D,20240610,000000,41.745,41.86,41.745,41.7891,3188,0
INDH.US,D,20240611,000000,41.72,41.81,41.63,41.7943,14603,0
INDH.US,D,20240612,000000,42.12,42.159,41.9601,42.0677,1839,0
INDH.US,D,20240613,000000,42.05,42.1,41.87,42.0225,1005,0
INDH.US,D,20240614,000000,42.1301,42.43,42.1301,42.4204,2563,0
INDH.US,D,20240617,000000,42.38,42.52,42.37,42.4619,3741,0
INDH.US,D,20240618,000000,42.61,42.62,42.42,42.5597,3280,0
INDH.US,D,20240620,000000,42.37,42.51,42.2,42.3373,3825,0
