<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INV.US,D,20241004,000000,12.5,15.21,12.0886,12.69,60277,0
INV.US,D,20241007,000000,12,12.6,11.01,11.36,38565,0
INV.US,D,20241008,000000,11.78,11.89,8.55,10.3001,23488,0
INV.US,D,20241009,000000,10.5,12.12,10.15,10.79,16389,0
INV.US,D,20241010,000000,10.7,12.48,10.7,11.61,11252,0
INV.US,D,20241011,000000,11.97,12.21,11.06,11.85,19174,0
INV.US,D,20241014,000000,12.58,12.7,11.4388,12.69,15476,0
INV.US,D,20241015,000000,12.97,12.97,12,12.37,5852,0
INV.US,D,20241016,000000,12.8,12.8,10.69,11.77,9388,0
INV.US,D,20241017,000000,11.38,12.35,11.38,12.27,4554,0
INV.US,D,20241018,000000,12.26,14.4842,11.57,12.58,16897,0
INV.US,D,20241021,000000,12.185,12.49,11,11.9,8896,0
INV.US,D,20241022,000000,11.05,11.88,11.05,11.5,5425,0
INV.US,D,20241023,000000,11.5,11.9495,10.78,11.2,23217,0
INV.US,D,20241024,000000,11.31,11.5,10.61,10.61,11222,0
INV.US,D,20241025,000000,10.86,11.4,10.31,10.73,44383,0
INV.US,D,20241028,000000,11.04,12.1,11,12.1,11829,0
INV.US,D,20241029,000000,11.425,12.1,11.275,12,31661,0
