<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPXXW.US,D,20230718,000000,0.27,0.29,0.22,0.23,9816,0
IPXXW.US,D,20230719,000000,0.221,0.221,0.18,0.18,649413,0
IPXXW.US,D,20230720,000000,0.24,0.24,0.195,0.24,2511,0
IPXXW.US,D,20230721,000000,0.2,0.25,0.2,0.22,13337,0
IPXXW.US,D,20230724,000000,0.214,0.215,0.199,0.199,2750,0
IPXXW.US,D,20230725,000000,0.18,0.1801,0.1793,0.18,52275,0
IPXXW.US,D,20230726,000000,0.199,0.2,0.181,0.181,4106,0
IPXXW.US,D,20230727,000000,0.18,0.18,0.18,0.18,11194,0
IPXXW.US,D,20230731,000000,0.1801,0.1801,0.1801,0.1801,411,0
IPXXW.US,D,20230801,000000,0.2,0.2,0.18,0.18,201008,0
IPXXW.US,D,20230802,000000,0.17,0.23,0.17,0.23,2677,0
IPXXW.US,D,20230804,000000,0.24,0.24,0.1217,0.196341,2327,0
IPXXW.US,D,20230808,000000,0.18,0.18,0.18,0.18,1195,0
IPXXW.US,D,20230809,000000,0.18,0.18,0.18,0.18,575000,0
IPXXW.US,D,20230811,000000,0.16001,0.2,0.16001,0.2,1501,0
IPXXW.US,D,20230814,000000,0.22,0.22,0.2,0.2,700,0
IPXXW.US,D,20230815,000000,0.1601,0.18,0.1601,0.18,1238,0
IPXXW.US,D,20230817,000000,0.19,0.19,0.19,0.19,879,0
IPXXW.US,D,20230821,000000,0.2061,0.2061,0.2061,0.2061,503,0
IPXXW.US,D,20230822,000000,0.17,0.17,0.16,0.16,386354,0
IPXXW.US,D,20230823,000000,0.18,0.18,0.18,0.18,791,0
IPXXW.US,D,20230824,000000,0.1601,0.165001,0.16,0.163351,105217,0
IPXXW.US,D,20230829,000000,0.17,0.1704,0.1601,0.17,78859,0
IPXXW.US,D,20230830,000000,0.170201,0.2398,0.170201,0.2398,3154,0
IPXXW.US,D,20230831,000000,0.17,0.17,0.17,0.17,100,0
IPXXW.US,D,20230901,000000,0.18,0.2,0.1601,0.2,12801,0
IPXXW.US,D,20230905,000000,0.24,0.24,0.22,0.24,5886,0
IPXXW.US,D,20230906,000000,0.24,0.3409,0.205,0.29,7397,0
IPXXW.US,D,20230911,000000,0.26,0.27,0.24,0.24,4022,0
IPXXW.US,D,20230913,000000,0.22,0.22,0.22,0.22,168,0
IPXXW.US,D,20230915,000000,0.245,0.245,0.245,0.245,153,0
IPXXW.US,D,20230918,000000,0.18,0.18,0.18,0.18,627,0
IPXXW.US,D,20230919,000000,0.198,0.23,0.198,0.23,504,0
IPXXW.US,D,20230920,000000,0.22,0.3734,0.21,0.21,8278,0
IPXXW.US,D,20230922,000000,0.21,0.2199,0.21,0.2199,672,0
IPXXW.US,D,20230926,000000,0.22,0.22,0.1601,0.1601,32800,0
IPXXW.US,D,20230927,000000,0.1703,0.1703,0.165,0.165,898,0
IPXXW.US,D,20230929,000000,0.208,0.208,0.167,0.172,1159,0
IPXXW.US,D,20231010,000000,0.22,0.22,0.18,0.18,1069,0
IPXXW.US,D,20231012,000000,0.166,0.166,0.166,0.166,265,0
IPXXW.US,D,20231016,000000,0.17,0.1999,0.17,0.1999,99854,0
IPXXW.US,D,20231018,000000,0.21,0.21,0.21,0.21,201,0
IPXXW.US,D,20231020,000000,0.21,0.4775,0.19,0.2,10215,0
IPXXW.US,D,20231023,000000,0.2277,0.28,0.21,0.21,5804,0
IPXXW.US,D,20231024,000000,0.2334,0.2363,0.16,0.1963,11820,0
IPXXW.US,D,20231025,000000,0.1939,0.1939,0.16,0.1601,115396,0
IPXXW.US,D,20231026,000000,0.1659,0.1659,0.1601,0.1601,869,0
IPXXW.US,D,20231031,000000,0.1898,0.21,0.1898,0.21,912,0
IPXXW.US,D,20231101,000000,0.16,0.18,0.16,0.18,97640,0
IPXXW.US,D,20231108,000000,0.15,0.175051,0.15,0.1501,5082,0
IPXXW.US,D,20231109,000000,0.16,0.16,0.15,0.15,106513,0
IPXXW.US,D,20231117,000000,0.15,0.15,0.15,0.15,200,0
IPXXW.US,D,20231121,000000,0.16,0.16,0.15,0.15,48401,0
IPXXW.US,D,20231122,000000,0.175,0.175,0.175,0.175,172,0
IPXXW.US,D,20231124,000000,0.18,0.185,0.15,0.15,1114,0
IPXXW.US,D,20231127,000000,0.16,0.16,0.15,0.15,7501,0
IPXXW.US,D,20231128,000000,0.1694,0.1861,0.15,0.15,50359,0
IPXXW.US,D,20231204,000000,0.1632,0.1632,0.15,0.150001,634422,0
IPXXW.US,D,20231206,000000,0.165,0.165,0.165,0.165,500,0
IPXXW.US,D,20231207,000000,0.15,0.15,0.15,0.15,3650,0
IPXXW.US,D,20231208,000000,0.182399,0.1996,0.18,0.19,7731,0
IPXXW.US,D,20231211,000000,0.150201,0.175051,0.150201,0.175051,1002,0
IPXXW.US,D,20231212,000000,0.174651,0.174651,0.1504,0.1504,3200,0
IPXXW.US,D,20231213,000000,0.13,0.15,0.13,0.15,817347,0
IPXXW.US,D,20231214,000000,0.1,0.12,0.1,0.12,450,0
IPXXW.US,D,20231215,000000,0.14,0.15,0.13,0.13,6161,0
IPXXW.US,D,20231218,000000,0.15,0.15,0.036249,0.036249,177229,0
IPXXW.US,D,20231219,000000,0.09,0.1001,0.09,0.1,4950,0
IPXXW.US,D,20231220,000000,0.068,0.068,0.0501,0.0501,463513,0
IPXXW.US,D,20231221,000000,0.0916,0.1019,0.0562,0.0562,1000,0
IPXXW.US,D,20231222,000000,0.0701,0.0701,0.0701,0.0701,201,0
IPXXW.US,D,20231226,000000,0.076,0.076,0.0759,0.0759,400,0
IPXXW.US,D,20231227,000000,0.08,0.08,0.08,0.08,300,0
IPXXW.US,D,20231228,000000,0.08,0.08,0.08,0.08,153,0
IPXXW.US,D,20231229,000000,0.09,0.1,0.09,0.09,2100,0
IPXXW.US,D,20240102,000000,0.1021,0.12,0.1001,0.12,4709,0
IPXXW.US,D,20240103,000000,0.12,0.1265,0.12,0.12,4653,0
IPXXW.US,D,20240104,000000,0.1004,0.11,0.1004,0.1039,27478,0
IPXXW.US,D,20240105,000000,0.1048,0.13,0.1047,0.13,353,0
IPXXW.US,D,20240108,000000,0.11,0.13,0.11,0.13,50634,0
IPXXW.US,D,20240110,000000,0.14,0.14,0.1201,0.1201,3350,0
IPXXW.US,D,20240111,000000,0.1102,0.1102,0.1102,0.1102,2999,0
IPXXW.US,D,20240119,000000,0.115,0.15,0.115,0.122,21050,0
IPXXW.US,D,20240124,000000,0.115,0.115,0.115,0.115,13000,0
IPXXW.US,D,20240126,000000,0.12,0.13,0.1168,0.1255,27000,0
IPXXW.US,D,20240129,000000,0.115,0.15,0.115,0.1369,41150,0
IPXXW.US,D,20240131,000000,0.1261,0.1261,0.1151,0.1151,3000,0
IPXXW.US,D,20240205,000000,0.1201,0.1201,0.1201,0.1201,1856,0
IPXXW.US,D,20240212,000000,0.1201,0.1201,0.1201,0.1201,265,0
IPXXW.US,D,20240214,000000,0.1201,0.1201,0.1201,0.1201,642,0
IPXXW.US,D,20240216,000000,0.1201,0.137201,0.1201,0.1201,2673,0
IPXXW.US,D,20240220,000000,0.1451,0.1561,0.13805,0.14,2745,0
IPXXW.US,D,20240221,000000,0.16,0.16,0.16,0.16,100,0
IPXXW.US,D,20240226,000000,0.1201,0.1201,0.1201,0.1201,1493,0
IPXXW.US,D,20240228,000000,0.1111,0.1111,0.1111,0.1111,219,0
IPXXW.US,D,20240229,000000,0.1115,0.1206,0.1101,0.1101,2108,0
IPXXW.US,D,20240304,000000,0.11,0.11,0.11,0.11,222,0
IPXXW.US,D,20240305,000000,0.1101,0.1405,0.1101,0.1339,8609,0
IPXXW.US,D,20240306,000000,0.1336,0.171,0.1336,0.154,18275,0
IPXXW.US,D,20240308,000000,0.1401,0.1401,0.1401,0.1401,645,0
IPXXW.US,D,20240312,000000,0.1401,0.1401,0.1059,0.115,84682,0
IPXXW.US,D,20240313,000000,0.115,0.115,0.115,0.115,436,0
IPXXW.US,D,20240314,000000,0.1399,0.1399,0.115,0.115,16100,0
IPXXW.US,D,20240315,000000,0.115,0.1583,0.11,0.13,130403,0
IPXXW.US,D,20240326,000000,0.14,0.1401,0.14,0.1401,400,0
IPXXW.US,D,20240328,000000,0.135,0.144126,0.135,0.1351,2014,0
IPXXW.US,D,20240403,000000,0.145,0.153258,0.145,0.153258,656,0
IPXXW.US,D,20240404,000000,0.15,0.1548,0.12992,0.13,153537,0
IPXXW.US,D,20240405,000000,0.160001,0.160001,0.13,0.135,1310,0
IPXXW.US,D,20240408,000000,0.15,0.164,0.1463,0.157,15049,0
IPXXW.US,D,20240409,000000,0.145,0.145,0.145,0.145,1005,0
IPXXW.US,D,20240410,000000,0.145,0.145,0.145,0.145,1910,0
IPXXW.US,D,20240415,000000,0.14,0.15,0.1135,0.15,1529,0
IPXXW.US,D,20240416,000000,0.1215,0.1215,0.1204,0.1204,372,0
IPXXW.US,D,20240417,000000,0.1388,0.1388,0.1388,0.1388,2000,0
IPXXW.US,D,20240418,000000,0.1313,0.1313,0.1313,0.1313,1265,0
IPXXW.US,D,20240423,000000,0.13,0.1432,0.128,0.13,76607,0
IPXXW.US,D,20240424,000000,0.125,0.125,0.125,0.125,523,0
IPXXW.US,D,20240425,000000,0.13,0.13,0.1251,0.1251,3042,0
IPXXW.US,D,20240501,000000,0.125,0.1626,0.125,0.1251,2246,0
IPXXW.US,D,20240507,000000,0.125,0.125101,0.125,0.125101,4863,0
IPXXW.US,D,20240508,000000,0.1102,0.128958,0.1101,0.1101,850,0
IPXXW.US,D,20240515,000000,0.1102,0.110201,0.11,0.1101,127832,0
IPXXW.US,D,20240516,000000,0.1101,0.1199,0.1101,0.1199,7785,0
IPXXW.US,D,20240517,000000,0.1,0.1,0.1,0.1,619,0
IPXXW.US,D,20240520,000000,0.1,0.1057,0.1,0.1001,3698,0
IPXXW.US,D,20240521,000000,0.1101,0.1101,0.1101,0.1101,2500,0
IPXXW.US,D,20240522,000000,0.092,0.12,0.089,0.12,2070,0
IPXXW.US,D,20240524,000000,0.098,0.117,0.0852,0.0852,2510,0
IPXXW.US,D,20240528,000000,0.0851,0.0851,0.085,0.085,2000,0
IPXXW.US,D,20240529,000000,0.1,0.1001,0.0751,0.08,21706,0
IPXXW.US,D,20240605,000000,0.0801,0.0802,0.0801,0.0802,3737,0
IPXXW.US,D,20240606,000000,0.0802,0.0802,0.0802,0.0802,900,0
IPXXW.US,D,20240607,000000,0.0802,0.080205,0.0802,0.0802,8056,0
IPXXW.US,D,20240610,000000,0.09,0.1001,0.085,0.085,81544,0
IPXXW.US,D,20240611,000000,0.09,0.09,0.09,0.09,47378,0
IPXXW.US,D,20240613,000000,0.09,0.0901,0.09,0.09,30000,0
