<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRAAU.US,D,20240123,000000,10.33,10.33,10.33,10.33,102,0
IRAAU.US,D,20240202,000000,10.3,10.3,10.01,10.3,6216,0
IRAAU.US,D,20240205,000000,10.29,10.29,10.2899,10.29,2100,0
IRAAU.US,D,20240301,000000,10.7,10.7,10.7,10.7,205,0
IRAAU.US,D,20240305,000000,9.521,9.521,9.521,9.521,100,0
IRAAU.US,D,20240529,000000,9.26,9.26,9.26,9.26,100,0
IRAAU.US,D,20240531,000000,10.4,10.4,10.4,10.4,522,0
IRAAU.US,D,20240603,000000,10.44,10.8,10.44,10.6,702,0
IRAAU.US,D,20240605,000000,10.85,12.1,10.85,12.1,2027,0
IRAAU.US,D,20240606,000000,11.8,12.33,11.5,12.33,1091,0
IRAAU.US,D,20240607,000000,11.5,11.99,11.5,11.88,477,0
IRAAU.US,D,20240610,000000,12.04,12.04,11.2,11.7,1900,0
IRAAU.US,D,20240613,000000,10.81,11.05,10.81,11.05,1311,0
IRAAU.US,D,20240614,000000,11.1,11.15,10.9,10.9,309,0
IRAAU.US,D,20240617,000000,11.3,13.46,11.3,12.1,2887,0
IRAAU.US,D,20240618,000000,12.79,12.79,12.2,12.2,600,0
IRAAU.US,D,20240620,000000,12.98,14.49,12.6,13.16,11935,0
IRAAU.US,D,20240621,000000,12.21,12.21,12,12,301,0
IRAAU.US,D,20240624,000000,11.35,11.51,11.31,11.31,402,0
IRAAU.US,D,20240625,000000,11.15,11.2,11.02,11.2,3461,0
IRAAU.US,D,20240626,000000,11.39,12.98,11.39,11.9,3668,0
IRAAU.US,D,20240627,000000,11.99,12.55,11.99,12.55,703,0
IRAAU.US,D,20240628,000000,11.85,12.8,11.85,12.23,1987,0
IRAAU.US,D,20240701,000000,12.13,12.13,11.61,11.69,1408,0
IRAAU.US,D,20240702,000000,12.09,12.1,11.61,11.61,1007,0
IRAAU.US,D,20240703,000000,12.7,12.99,12.13,12.41,782,0
IRAAU.US,D,20240705,000000,12.8,12.8001,10.57,11.5,3102,0
IRAAU.US,D,20240708,000000,11.5,11.5,11.01,11.28,2357,0
IRAAU.US,D,20240709,000000,11.79,11.79,11.7,11.7,515,0
IRAAU.US,D,20240710,000000,12.2,12.2,11.85,11.87,793,0
IRAAU.US,D,20240711,000000,11.1,11.25,11,11.2005,3903,0
IRAAU.US,D,20240712,000000,11.19,11.19,11.19,11.19,250,0
IRAAU.US,D,20240715,000000,11.1,11.39,11.01,11.39,3654,0
IRAAU.US,D,20240716,000000,11.39,12,11.39,11.97,802,0
IRAAU.US,D,20240717,000000,11.71,11.89,11.71,11.89,305,0
IRAAU.US,D,20240718,000000,11.01,11.01,10.9998,11,5628,0
IRAAU.US,D,20240722,000000,11.2,11.2,11.14,11.2,401,0
IRAAU.US,D,20240805,000000,11.39,11.39,11.39,11.39,551,0
IRAAU.US,D,20240807,000000,11.01,11.21,11.01,11.21,715,0
IRAAU.US,D,20240820,000000,11.1,11.1,10.85,11.1,1618,0
IRAAU.US,D,20240821,000000,10.79,10.8,10.79,10.8,651,0
IRAAU.US,D,20240822,000000,10.7,10.7,10.7,10.7,100,0
IRAAU.US,D,20240903,000000,10.7,10.7,10.68,10.7,500,0
