<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISPC.US,D,20210617,000000,6.27,7.45,6.1968,7.15,1912336,0
ISPC.US,D,20210618,000000,7.3,8,7.0175,7.49,649899,0
ISPC.US,D,20210621,000000,7.26,7.67,7.11,7.24,318334,0
ISPC.US,D,20210622,000000,7.06,7.1843,6.4597,7.14,308219,0
ISPC.US,D,20210623,000000,7.22,7.22,6.34,6.59,197819,0
ISPC.US,D,20210624,000000,6.5,6.51,5.67,6.31,515501,0
ISPC.US,D,20210625,000000,6.24,6.5,6.01,6.43,271348,0
ISPC.US,D,20210628,000000,6.55,8.2,6.3,8.08,2249342,0
ISPC.US,D,20210629,000000,7.94,8.8,7.42,8.32,3739709,0
ISPC.US,D,20210630,000000,8.64,10,7.21,7.22,7544616,0
ISPC.US,D,20210701,000000,7.19,7.3873,6.5,7.08,839997,0
ISPC.US,D,20210702,000000,6.9,7.09,6.2,6.59,329482,0
ISPC.US,D,20210706,000000,6.6,6.66,6.05,6.2,312905,0
ISPC.US,D,20210707,000000,6.3698,7.13,6.06,6.7,1373643,0
ISPC.US,D,20210708,000000,6.35,6.69,6.3,6.34,211971,0
ISPC.US,D,20210709,000000,6.34,6.64,6.3,6.47,115551,0
ISPC.US,D,20210712,000000,6.45,6.78,6.35,6.45,238342,0
ISPC.US,D,20210713,000000,6.34,6.74,6.34,6.61,239538,0
ISPC.US,D,20210714,000000,6.66,6.79,6.22,6.37,253334,0
ISPC.US,D,20210715,000000,6.36,6.5,5.56,5.9,394621,0
ISPC.US,D,20210716,000000,5.95,5.95,5.37,5.37,162023,0
ISPC.US,D,20210719,000000,5.38,5.84,5.1,5.24,149487,0
ISPC.US,D,20210720,000000,5.31,5.66,5.2,5.2999,118582,0
ISPC.US,D,20210721,000000,5.28,6.14,5.22,5.71,564007,0
ISPC.US,D,20210722,000000,5.77,5.8691,5.58,5.67,71410,0
ISPC.US,D,20210723,000000,5.66,5.7114,5.11,5.21,117620,0
ISPC.US,D,20210726,000000,5.22,5.4799,5.2,5.425,112392,0
ISPC.US,D,20210727,000000,5.32,5.43,5.15,5.325,77348,0
ISPC.US,D,20210728,000000,5.26,5.9,5.26,5.7632,127569,0
ISPC.US,D,20210729,000000,5.92,6.72,5.77,6.22,695563,0
ISPC.US,D,20210730,000000,6.12,6.47,6.12,6.28,84603,0
ISPC.US,D,20210802,000000,6.25,6.46,6.1374,6.25,59185,0
ISPC.US,D,20210803,000000,6.175,6.23,6.0401,6.15,53256,0
ISPC.US,D,20210804,000000,6.0401,6.22,5.685,5.7,115047,0
ISPC.US,D,20210805,000000,5.68,5.91,5.66,5.86,61377,0
ISPC.US,D,20210806,000000,5.9,6.135,5.83,6.035,41869,0
ISPC.US,D,20210809,000000,5.98,6.4999,5.98,6.44,207684,0
ISPC.US,D,20210810,000000,6.26,6.44,5.95,6.34,164614,0
ISPC.US,D,20210811,000000,6.36,6.48,6.25,6.43,110945,0
ISPC.US,D,20210812,000000,6.4,6.4,6.13,6.3,45073,0
ISPC.US,D,20210813,000000,6.3,6.42,6.1,6.12,53909,0
ISPC.US,D,20210816,000000,6.13,6.21,5.81,6.01,51517,0
ISPC.US,D,20210817,000000,5.96,6.0338,5.5,5.614,86190,0
ISPC.US,D,20210818,000000,5.62,5.8701,5.62,5.71,20567,0
ISPC.US,D,20210819,000000,5.75,5.75,5.41,5.5,44021,0
ISPC.US,D,20210820,000000,5.55,5.9,5.4,5.47,27184,0
ISPC.US,D,20210823,000000,5.59,5.64,5.3001,5.45,52214,0
ISPC.US,D,20210824,000000,5.4973,5.7374,5.474,5.65,31152,0
ISPC.US,D,20210825,000000,5.75,5.995,5.66,5.94,26767,0
ISPC.US,D,20210826,000000,6.02,6.14,5.9,6.1099,29974,0
ISPC.US,D,20210827,000000,5.9601,6.08,5.77,5.99,53670,0
ISPC.US,D,20210830,000000,5.84,6.3725,5.82,6.37,53638,0
ISPC.US,D,20210831,000000,6.305,7.75,6.15,6.79,837145,0
ISPC.US,D,20210901,000000,6.66,6.78,6.3501,6.44,102452,0
ISPC.US,D,20210902,000000,6.45,6.6885,6.43,6.62,54161,0
ISPC.US,D,20210903,000000,6.62,6.98,6.44,6.53,47466,0
ISPC.US,D,20210907,000000,6.7,6.705,6.42,6.57,38618,0
ISPC.US,D,20210908,000000,6.485,6.69,6.3,6.69,39730,0
ISPC.US,D,20210909,000000,6.57,6.69,6.5001,6.67,34986,0
ISPC.US,D,20210910,000000,6.65,6.68,6.5012,6.52,67242,0
ISPC.US,D,20210913,000000,6.57,6.59,6.32,6.51,43941,0
ISPC.US,D,20210914,000000,6.52,6.5972,6.17,6.31,66166,0
ISPC.US,D,20210915,000000,6.3264,6.55,6.06,6.06,74708,0
ISPC.US,D,20210916,000000,6.34,6.35,6.01,6.15,51053,0
ISPC.US,D,20210917,000000,6.16,6.23,5.84,5.88,57920,0
ISPC.US,D,20210920,000000,5.87,6,5.68,5.77,27404,0
ISPC.US,D,20210921,000000,5.9654,6,5.72,5.91,11875,0
ISPC.US,D,20210922,000000,5.93,6.22,5.77,5.89,60654,0
ISPC.US,D,20210923,000000,6.1,6.1,5.8001,5.92,14649,0
ISPC.US,D,20210924,000000,5.87,6.01,5.8501,6,24030,0
ISPC.US,D,20210927,000000,6.02,6.0782,5.85,5.89,7465,0
ISPC.US,D,20210928,000000,5.81,5.91,5.76,5.78,21860,0
ISPC.US,D,20210929,000000,5.77,5.9981,5.77,5.86,27359,0
ISPC.US,D,20210930,000000,5.85,5.865,5.75,5.835,19646,0
ISPC.US,D,20211001,000000,5.86,5.93,5.7,5.87,18865,0
ISPC.US,D,20211004,000000,5.89,5.89,5.55,5.65,26084,0
ISPC.US,D,20211005,000000,5.65,5.7306,5.46,5.5,21213,0
ISPC.US,D,20211006,000000,5.38,5.575,5.38,5.45,5420,0
ISPC.US,D,20211007,000000,5.44,5.64,5.4,5.6,6181,0
ISPC.US,D,20211008,000000,5.69,5.7,5.47,5.63,12127,0
ISPC.US,D,20211011,000000,5.52,5.575,5.31,5.43,19508,0
ISPC.US,D,20211012,000000,5.35,5.38,5.14,5.38,46011,0
ISPC.US,D,20211013,000000,5.32,5.49,5.32,5.46,18991,0
ISPC.US,D,20211014,000000,5.46,6.3145,5.46,6.2833,110121,0
ISPC.US,D,20211015,000000,6.3,6.5,6.001,6.34,117184,0
ISPC.US,D,20211018,000000,6.34,7,6.21,6.82,108234,0
ISPC.US,D,20211019,000000,6.68,7.55,6.65,7.19,221713,0
ISPC.US,D,20211020,000000,7.25,7.6,7.03,7.5,154616,0
ISPC.US,D,20211021,000000,7.51,7.62,7.3424,7.56,46537,0
ISPC.US,D,20211022,000000,7.49,7.5,7.1701,7.31,37767,0
ISPC.US,D,20211025,000000,7.31,7.49,6.88,6.94,81689,0
ISPC.US,D,20211026,000000,6.93,7.08,6.52,7.08,67183,0
ISPC.US,D,20211027,000000,7.05,7.2199,6.7199,6.8,90652,0
ISPC.US,D,20211028,000000,6.8,7.37,6.8,7.29,38540,0
ISPC.US,D,20211029,000000,7.3,7.62,7.1601,7.51,68775,0
ISPC.US,D,20211101,000000,7.6,7.74,7.3485,7.74,21799,0
ISPC.US,D,20211102,000000,7.65,7.74,7.56,7.73,18479,0
ISPC.US,D,20211103,000000,7.74,8,7.4,7.4,76712,0
ISPC.US,D,20211104,000000,7.1,7.18,6.175,6.32,320707,0
ISPC.US,D,20211105,000000,6.29,6.31,5.86,5.95,59784,0
ISPC.US,D,20211108,000000,5.99,6.21,5.63,5.77,61429,0
ISPC.US,D,20211109,000000,5.67,6.1118,5.67,5.76,65019,0
ISPC.US,D,20211110,000000,5.64,5.9839,5.64,5.92,46390,0
ISPC.US,D,20211111,000000,5.86,6.03,5.7,5.7,15214,0
ISPC.US,D,20211112,000000,5.6217,5.91,5.6217,5.905,14117,0
ISPC.US,D,20211115,000000,5.91,5.91,5.1,5.235,94580,0
ISPC.US,D,20211116,000000,5.295,5.34,5.11,5.12,54265,0
ISPC.US,D,20211117,000000,5.11,5.2185,4.8,4.8,140742,0
ISPC.US,D,20211118,000000,4.77,5.08,4.75,4.82,47391,0
ISPC.US,D,20211119,000000,4.85,5.0399,4.85,4.92,5605,0
ISPC.US,D,20211122,000000,11.39,12.77,8.06,8.88,98858013,0
ISPC.US,D,20211123,000000,16.8435,18.5,11.2,13.19,39870050,0
ISPC.US,D,20211124,000000,9.73,11.73,9.01,10.2,11563374,0
ISPC.US,D,20211126,000000,18.31,24.6699,16.42,17.51,70780996,0
ISPC.US,D,20211129,000000,14.19,28.9799,12.97,20.42,56424676,0
ISPC.US,D,20211130,000000,22.83,24.97,15.8,18.47,16258611,0
ISPC.US,D,20211201,000000,17.02,20.88,14.02,14.59,6322164,0
ISPC.US,D,20211202,000000,14.89,16.35,12.15,12.81,3205993,0
ISPC.US,D,20211203,000000,14.24,16.96,12.25,13.24,9597052,0
ISPC.US,D,20211206,000000,12.8163,13.8,10.71,12.27,3634613,0
ISPC.US,D,20211207,000000,11.99,12.8,11.84,12.23,1196098,0
ISPC.US,D,20211208,000000,12,14.5,11.72,14.15,3621793,0
ISPC.US,D,20211209,000000,15.63,18.2,14.35,14.92,4421660,0
ISPC.US,D,20211210,000000,14.4,15.0855,13.2301,13.69,783038,0
ISPC.US,D,20211213,000000,13.11,14.5,12.63,13.15,696613,0
ISPC.US,D,20211214,000000,13.14,13.6899,12.25,12.54,689167,0
ISPC.US,D,20211215,000000,12.23,12.232,9.8,10.87,1275088,0
ISPC.US,D,20211216,000000,11.16,11.3176,10.3,10.97,940017,0
ISPC.US,D,20211217,000000,10.55,11.93,10.3,11.42,1029165,0
ISPC.US,D,20211220,000000,11.43,11.7199,10.17,10.25,606861,0
