<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVDA.US,D,20220404,000000,3.58,3.58,3.08,3.23,598144,0
IVDA.US,D,20220405,000000,3.31,3.54,2.65,3.06,2206422,0
IVDA.US,D,20220406,000000,3.71,3.82,2.77,3.03,6707570,0
IVDA.US,D,20220407,000000,2.74,2.74,2.28,2.35,846366,0
IVDA.US,D,20220408,000000,2.2,2.3099,2.09,2.18,430567,0
IVDA.US,D,20220411,000000,3.05,4.87,2.82,3.06,54824945,0
IVDA.US,D,20220412,000000,2.69,2.7299,2.31,2.47,1692367,0
IVDA.US,D,20220413,000000,2.2,2.36,2.19,2.21,623805,0
IVDA.US,D,20220414,000000,2.24,2.24,2.07,2.09,277964,0
IVDA.US,D,20220418,000000,2.3,2.98,2.15,2.54,4523732,0
IVDA.US,D,20220419,000000,2.21,2.58,2.21,2.57,446033,0
IVDA.US,D,20220420,000000,2.44,2.53,2.42,2.5,121994,0
IVDA.US,D,20220421,000000,2.52,2.56,2.27,2.3097,157392,0
IVDA.US,D,20220422,000000,2.27,2.3076,2.25,2.28,45338,0
IVDA.US,D,20220425,000000,2.25,2.29,2.04,2.09,190287,0
IVDA.US,D,20220426,000000,2.35,2.35,2.04,2.08,173841,0
IVDA.US,D,20220427,000000,2.08,2.15,1.77,1.81,299662,0
IVDA.US,D,20220428,000000,1.83,1.85,1.74,1.77,196907,0
IVDA.US,D,20220429,000000,1.76,1.84,1.72,1.82,400121,0
IVDA.US,D,20220502,000000,1.76,1.78,1.54,1.57,180766,0
IVDA.US,D,20220503,000000,1.55,1.5783,1.53,1.56,61542,0
IVDA.US,D,20220504,000000,1.73,1.8,1.59,1.72,291691,0
IVDA.US,D,20220505,000000,1.71,1.71,1.4706,1.52,252824,0
IVDA.US,D,20220506,000000,1.53,1.54,1.48,1.5,44064,0
IVDA.US,D,20220509,000000,1.5,1.525,1.3,1.31,96742,0
IVDA.US,D,20220510,000000,1.37,1.37,1.14,1.22,128056,0
IVDA.US,D,20220511,000000,1.21,1.21,0.9709,1.12,159872,0
IVDA.US,D,20220512,000000,1.09,1.09,1.0187,1.07,19774,0
IVDA.US,D,20220513,000000,1.0701,1.29,1.0701,1.239,57391,0
IVDA.US,D,20220516,000000,1.27,1.28,1.2,1.21,30876,0
IVDA.US,D,20220517,000000,1.3,1.3,1.22,1.28,28241,0
IVDA.US,D,20220518,000000,1.55,1.57,1.24,1.45,99703,0
IVDA.US,D,20220519,000000,1.42,1.45,1.34,1.34,49395,0
IVDA.US,D,20220520,000000,1.31,1.505,1.31,1.5,93981,0
IVDA.US,D,20220523,000000,1.33,1.529,1.33,1.47,57124,0
IVDA.US,D,20220524,000000,1.43,1.54,1.4,1.4009,14864,0
IVDA.US,D,20220525,000000,1.35,1.4699,1.35,1.3822,24867,0
IVDA.US,D,20220526,000000,1.26,1.6099,1.26,1.49,64373,0
IVDA.US,D,20220527,000000,1.4399,1.5758,1.3656,1.51,8260,0
IVDA.US,D,20220531,000000,1.44,1.5438,1.44,1.5,23249,0
IVDA.US,D,20220601,000000,1.4101,1.55,1.4101,1.47,9782,0
IVDA.US,D,20220602,000000,1.55,1.7,1.52,1.69,51240,0
IVDA.US,D,20220603,000000,1.7,1.7099,1.4981,1.6,28796,0
IVDA.US,D,20220606,000000,1.55,1.6,1.47,1.48,31891,0
IVDA.US,D,20220607,000000,1.5,1.5,1.33,1.5,32124,0
IVDA.US,D,20220608,000000,1.66,1.66,1.42,1.46,27157,0
IVDA.US,D,20220609,000000,1.6,1.69,1.4627,1.68,55348,0
IVDA.US,D,20220610,000000,1.68,1.75,1.51,1.74,41489,0
IVDA.US,D,20220613,000000,1.58,1.65,1.4801,1.49,22320,0
IVDA.US,D,20220614,000000,1.45,1.55,1.38,1.46,16445,0
IVDA.US,D,20220615,000000,1.39,1.58,1.3,1.42,26741,0
IVDA.US,D,20220616,000000,1.5594,1.5594,1.37,1.45,14398,0
IVDA.US,D,20220617,000000,1.45,1.5,1.26,1.26,31809,0
IVDA.US,D,20220621,000000,1.27,1.3836,1.27,1.29,12068,0
IVDA.US,D,20220622,000000,1.28,1.32,1.26,1.26,9896,0
IVDA.US,D,20220623,000000,1.22,1.347,1.22,1.22,5582,0
IVDA.US,D,20220624,000000,1.23,1.255,1.19,1.2,34799,0
IVDA.US,D,20220627,000000,1.21,1.4093,1.21,1.27,51924,0
IVDA.US,D,20220628,000000,1.45,1.55,1.32,1.52,70646,0
IVDA.US,D,20220629,000000,1.5,1.5,1.36,1.45,11291,0
IVDA.US,D,20220630,000000,1.37,1.4099,1.2501,1.32,28603,0
IVDA.US,D,20220701,000000,1.28,1.45,1.28,1.4,2958,0
IVDA.US,D,20220705,000000,1.45,1.45,1.29,1.3,24600,0
