<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVP.US,D,20230830,000000,375,410,226.06,307,29196,0
IVP.US,D,20230831,000000,335,410,275,379,43596.01,0
IVP.US,D,20230901,000000,335,375,304,319,8852.89,0
IVP.US,D,20230905,000000,300,306,205,271,9988.14,0
IVP.US,D,20230906,000000,260,274,256,274,1820.35,0
IVP.US,D,20230907,000000,230,248,175,188,7612.41,0
IVP.US,D,20230908,000000,178,188,166,184,1094.04,0
IVP.US,D,20230911,000000,184,184,160,164,701.59,0
IVP.US,D,20230912,000000,157,159.42,125,127,3126.09,0
IVP.US,D,20230913,000000,129,133.01,115,124,2608.9,0
IVP.US,D,20230914,000000,119,155,116,150,2987.92,0
IVP.US,D,20230915,000000,146,153,140,152.5,1764.1,0
IVP.US,D,20230918,000000,162,168,152,159,1462.76,0
IVP.US,D,20230919,000000,160,177,158.35,168,1806.48,0
IVP.US,D,20230920,000000,168,194,166,179,2308.14,0
IVP.US,D,20230921,000000,179,242,166,175,5282.87,0
IVP.US,D,20230922,000000,168,184.63,155,163,1305.1,0
IVP.US,D,20230925,000000,159,166,150,152,1099.39,0
IVP.US,D,20230926,000000,152,154,142.06,150,473.94,0
IVP.US,D,20230927,000000,150,153.99,138,141,677.96,0
IVP.US,D,20230928,000000,138,155,135,139,312.77,0
IVP.US,D,20230929,000000,137,148,135,135,381.99,0
IVP.US,D,20231002,000000,135,145,135,136,89.51,0
IVP.US,D,20231003,000000,135,144,123,125,395.97,0
IVP.US,D,20231004,000000,128,132,125,126,252.92,0
IVP.US,D,20231005,000000,121,133.25,116,116,228.09,0
IVP.US,D,20231006,000000,112,118,110,114,250.76,0
IVP.US,D,20231009,000000,116,116,103,106,114.51,0
IVP.US,D,20231010,000000,101,110,101,103,487.71,0
IVP.US,D,20231011,000000,109,115.83,103,103,137.44,0
IVP.US,D,20231012,000000,108,108.01,101,102,133.9,0
IVP.US,D,20231013,000000,102.2,103,91.43,95,329.94,0
IVP.US,D,20231016,000000,97,101,92,94,138.45,0
IVP.US,D,20231017,000000,98,101,86.01,89,188.88,0
IVP.US,D,20231018,000000,99,100,93,97.99,331.58,0
IVP.US,D,20231019,000000,112,112,91.38,95,237.26,0
IVP.US,D,20231020,000000,101,107,97.1,97.1,351.05,0
IVP.US,D,20231023,000000,101,108,91,92.01,285.74,0
IVP.US,D,20231024,000000,95,98,91.5,92,305.27,0
IVP.US,D,20231025,000000,111,111,91,95.99,257.89,0
IVP.US,D,20231026,000000,100,107.8,92.68,92.68,230.48,0
IVP.US,D,20231027,000000,99,100,92.6,96.09,211.79,0
IVP.US,D,20231030,000000,92.0101,99,90,91,85.99,0
IVP.US,D,20231031,000000,90,96,86.49,89,130.31,0
IVP.US,D,20231101,000000,89,89.3101,58,69,515.17,0
IVP.US,D,20231102,000000,74,80,70,78,459.49,0
IVP.US,D,20231103,000000,77,90,75,79,168.45,0
IVP.US,D,20231106,000000,77.05,100,68,92,951.79,0
IVP.US,D,20231107,000000,100,105,87.86,97.97,1194.61,0
IVP.US,D,20231108,000000,101,116.99,92,98,10823.29,0
IVP.US,D,20231109,000000,94,94,63,65.45,4300.61,0
IVP.US,D,20231110,000000,65,65,52,52.5,1725.88,0
IVP.US,D,20231113,000000,50,55.99,49.01,55.15,1594.63,0
IVP.US,D,20231114,000000,55.15,58.9,48.53,50,1751.83,0
IVP.US,D,20231115,000000,50,54.75,49.9899,53,829.95,0
IVP.US,D,20231116,000000,55.5,55.5,50,50.55,662.29,0
IVP.US,D,20231117,000000,54.7,55,48.01,48.01,915.95,0
IVP.US,D,20231120,000000,56.16,58,48.63,57.01,2423.61,0
IVP.US,D,20231121,000000,57.5,90,56,70.2,24305.31,0
IVP.US,D,20231122,000000,70.2,70.2,53.97,56.5,2679.05,0
IVP.US,D,20231124,000000,56,59,54.01,57.01,555.61,0
IVP.US,D,20231127,000000,55,62.95,54,55.7,1274.21,0
IVP.US,D,20231128,000000,54,54.7,49.51,49.8492,1109.99,0
IVP.US,D,20231129,000000,50,52,48.0101,48.5,1211.53,0
IVP.US,D,20231130,000000,48.5,55,48.5,49.45,1136.17,0
IVP.US,D,20231201,000000,50,52.88,49,52,2150.12,0
IVP.US,D,20231204,000000,54,58.99,52,53.1,1307.16,0
IVP.US,D,20231205,000000,51.51,53,47.81,48,2096.39,0
IVP.US,D,20231206,000000,47.01,48,46.0001,48,1064.02,0
IVP.US,D,20231207,000000,43.24,46.49,38,39.1,1979.19,0
IVP.US,D,20231208,000000,38,41,37.0701,41,359.72,0
IVP.US,D,20231211,000000,45,45,37.12,39.3,484.52,0
