<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IXAQF.US,D,20240313,000000,11.13,11.14,11.13,11.14,4400,0
IXAQF.US,D,20240314,000000,11.15,11.16,11.15,11.16,247038,0
IXAQF.US,D,20240318,000000,11.19,11.19,11.15,11.15,3746,0
IXAQF.US,D,20240320,000000,11.195,11.195,11.19,11.19,1691,0
IXAQF.US,D,20240321,000000,11.2,11.2,11.18,11.18,13437,0
IXAQF.US,D,20240328,000000,11.2,11.2,11.2,11.2,5566,0
IXAQF.US,D,20240401,000000,11.32,11.32,11.22,11.27,73279,0
IXAQF.US,D,20240402,000000,11.3,11.3,11.27,11.28,71615,0
IXAQF.US,D,20240403,000000,11.3,11.3,11.28,11.2801,13373,0
IXAQF.US,D,20240404,000000,11.29,11.29,11.2801,11.2801,1610,0
IXAQF.US,D,20240405,000000,11.29,11.2999,11.29,11.2984,1533,0
IXAQF.US,D,20240408,000000,11.29,11.31,11.283,11.31,24178,0
IXAQF.US,D,20240409,000000,11.31,11.31,11.3,11.3,13968,0
IXAQF.US,D,20240410,000000,11.32,11.32,11.3165,11.32,4298,0
IXAQF.US,D,20240411,000000,11.32,11.32,11.31,11.32,11271,0
IXAQF.US,D,20240412,000000,11.32,11.32,11.31,11.31,21541,0
IXAQF.US,D,20240415,000000,11.33,11.3301,11.3,11.3,28330,0
IXAQF.US,D,20240416,000000,11.32,11.32,11.29,11.31,7410,0
IXAQF.US,D,20240417,000000,11.32,11.32,11.31,11.32,9025,0
IXAQF.US,D,20240418,000000,11.325,11.33,11.295,11.295,20055,0
IXAQF.US,D,20240419,000000,11.33,11.33,11.315,11.32,3699,0
IXAQF.US,D,20240422,000000,11.3201,11.33,11.3201,11.33,1566,0
IXAQF.US,D,20240423,000000,11.34,11.34,11.33,11.33,2611,0
IXAQF.US,D,20240424,000000,11.34,11.34,11.34,11.34,10164,0
IXAQF.US,D,20240425,000000,11.34,11.34,11.33,11.33,345,0
IXAQF.US,D,20240426,000000,11.34,11.34,11.34,11.34,521,0
IXAQF.US,D,20240429,000000,11.34,11.34,11.34,11.34,197,0
IXAQF.US,D,20240430,000000,11.33,11.33,11.325,11.33,2628,0
IXAQF.US,D,20240502,000000,11.35,11.35,11.33,11.33,1889,0
IXAQF.US,D,20240503,000000,11.32,11.3284,11.32,11.3284,1164,0
IXAQF.US,D,20240506,000000,11.29,11.33,11.29,11.32,1464,0
IXAQF.US,D,20240507,000000,11.3201,11.3201,11.32,11.32,507,0
IXAQF.US,D,20240508,000000,11.32,11.34,11.29,11.3,6269,0
IXAQF.US,D,20240509,000000,11.3,11.3,11.3,11.3,2713,0
IXAQF.US,D,20240510,000000,11.2995,11.3064,11.2995,11.3064,437,0
IXAQF.US,D,20240513,000000,11.34,11.34,11.3,11.3,449,0
IXAQF.US,D,20240515,000000,11.34,11.34,11.34,11.34,3771,0
IXAQF.US,D,20240516,000000,11.36,11.36,11.3,11.3,3115,0
IXAQF.US,D,20240520,000000,11.35,11.35,11.35,11.35,365,0
IXAQF.US,D,20240522,000000,11.35,11.35,11.338,11.3499,10137,0
IXAQF.US,D,20240523,000000,11.35,11.35,11.35,11.35,4081,0
IXAQF.US,D,20240528,000000,11.35,11.35,11.35,11.35,352,0
IXAQF.US,D,20240529,000000,11.35,11.35,11.35,11.35,440,0
IXAQF.US,D,20240530,000000,11.35,11.35,11.35,11.35,2844,0
IXAQF.US,D,20240603,000000,11.36,11.36,11.35,11.36,948,0
IXAQF.US,D,20240604,000000,11.36,11.36,11.36,11.36,383,0
IXAQF.US,D,20240605,000000,11.35,11.37,11.35,11.37,5071,0
IXAQF.US,D,20240606,000000,11.37,11.37,11.37,11.37,285,0
IXAQF.US,D,20240607,000000,11.32,11.32,11.32,11.32,646,0
IXAQF.US,D,20240611,000000,11.31,11.32,11.31,11.3171,7622,0
IXAQF.US,D,20240612,000000,11.3462,11.3462,11.3462,11.3462,103,0
IXAQF.US,D,20240613,000000,11.34,11.34,11.34,11.34,281,0
IXAQF.US,D,20240617,000000,11.34,11.34,11.34,11.34,100,0
IXAQF.US,D,20240618,000000,11.3487,11.3487,11.3487,11.3487,247,0
IXAQF.US,D,20240620,000000,11.39,11.39,11.39,11.39,214,0
IXAQF.US,D,20240621,000000,11.4,11.4,11.39,11.39,2944,0
IXAQF.US,D,20240624,000000,11.42,11.42,11.3796,11.39,6651,0
IXAQF.US,D,20240625,000000,11.4,11.4,11.4,11.4,305,0
IXAQF.US,D,20240626,000000,11.4,11.4,11.4,11.4,3797,0
IXAQF.US,D,20240627,000000,11.4,11.4,11.4,11.4,1872,0
