<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JFBR.US,D,20220829,000000,16.45,16.45,12.74,12.95,183622.57148366,0
JFBR.US,D,20220830,000000,12.67,13.5793,11.06,13.055,120652.57146477,0
JFBR.US,D,20220831,000000,12.81,13.58,12.04,12.88,141779.00004253,0
JFBR.US,D,20220901,000000,13.23,13.93,12.04,12.53,168769.5714792,0
JFBR.US,D,20220902,000000,13.37,14.63,12.67,13.3,304911.57152004,0
JFBR.US,D,20220906,000000,13.86,14.273,12.11,12.74,106855.85717491,0
JFBR.US,D,20220907,000000,13.79,13.8593,11.2,11.69,91077.571455895,0
JFBR.US,D,20220908,000000,11.27,12.04,10.0429,10.5,90675.285741488,0
JFBR.US,D,20220909,000000,9.94,10.4041,9.59,10.01,39614.571440456,0
JFBR.US,D,20220912,000000,10.5,10.78,8.96,9.31,99236.000029771,0
JFBR.US,D,20220913,000000,9.03,9.17,8.68,9.03,83127.714310653,0
JFBR.US,D,20220914,000000,8.96,9.3793,8.75,9.03,69604.42859231,0
JFBR.US,D,20220915,000000,8.82,9.03,8.54,8.96,33097.000009929,0
JFBR.US,D,20220916,000000,8.68,8.8046,7.84,8.19,44250.142870418,0
JFBR.US,D,20220919,000000,8.12,8.26,7.28,7.56,28096.142865572,0
JFBR.US,D,20220920,000000,7.35,7.49,6.93,7.28,29115.428580163,0
JFBR.US,D,20220921,000000,7.28,8.12,7,7.63,110141.8571759,0
JFBR.US,D,20220922,000000,7.49,7.91,7.21,7.63,34447.28572462,0
JFBR.US,D,20220923,000000,7.42,7.84,7.35,7.42,29203.42858019,0
JFBR.US,D,20220926,000000,7.42,8.05,7.35,7.56,16995.857147956,0
JFBR.US,D,20220927,000000,7.56,7.98,7.49,7.91,22637.000006791,0
JFBR.US,D,20220928,000000,7.63,7.833,7.21,7.7,22623.428578216,0
JFBR.US,D,20220929,000000,7.35,7.42,6.6514,6.9279,27297.000008189,0
JFBR.US,D,20220930,000000,6.7991,7.6111,6.44,7.14,42656.571441368,0
JFBR.US,D,20221003,000000,7,7.4893,7,7.21,8985.71428841,0
JFBR.US,D,20221004,000000,7.21,7.7,6.86,7.2093,16430.714290644,0
JFBR.US,D,20221005,000000,6.993,7.28,6.916,7.07,4240.4285727007,0
JFBR.US,D,20221006,000000,7.07,7.42,6.9986,7.14,12836.000003851,0
JFBR.US,D,20221007,000000,7.14,7.4116,6.727,6.8005,42647.142869937,0
JFBR.US,D,20221010,000000,6.895,7.28,6.8607,7.07,5083.5714300965,0
