<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JL.US,D,20240124,000000,7.5,10.82,6.14,7.44,1361900,0
JL.US,D,20240125,000000,7.3,9.49,7,8.1,683643,0
JL.US,D,20240126,000000,8.27,10.92,8.27,10.05,480214,0
JL.US,D,20240129,000000,13,16,7.77,11.36,569914,0
JL.US,D,20240130,000000,9.92,11,9.92,11,82722,0
JL.US,D,20240131,000000,10.19,14.1787,10.01,13.25,161567,0
JL.US,D,20240201,000000,14,14.88,12.43,13.24,133705,0
JL.US,D,20240202,000000,12.59,12.96,11.53,12.7,80414,0
JL.US,D,20240205,000000,13,13.5,11.12,12.13,170964,0
JL.US,D,20240206,000000,11.91,14.9999,11.91,13.59,229186,0
JL.US,D,20240207,000000,13.41,16,13.18,15.98,92758,0
JL.US,D,20240208,000000,16.3,17,14.38,14.57,94667,0
JL.US,D,20240209,000000,14.6,15.8704,14.6,14.89,18608,0
JL.US,D,20240212,000000,14.6,16.01,14.6,15.46,52594,0
JL.US,D,20240213,000000,15.7,16.2984,15.05,15.71,20215,0
JL.US,D,20240214,000000,15.59,18.48,15.59,17.98,59959,0
JL.US,D,20240215,000000,18.11,19.7367,16.8,18.81,115382,0
JL.US,D,20240216,000000,17.96,19.02,16.69,17.3141,72811,0
JL.US,D,20240220,000000,18.4237,19.0414,17.5006,17.61,42536,0
JL.US,D,20240221,000000,17.61,19.73,17.61,18.2,118319,0
JL.US,D,20240222,000000,19.53,20,17.52,18.02,193246,0
JL.US,D,20240223,000000,17.7,19.69,17.6001,19.69,64750,0
JL.US,D,20240226,000000,19.66,19.69,16.9001,17.73,36083,0
JL.US,D,20240227,000000,17.61,19.558,16.12,16.12,67887,0
JL.US,D,20240228,000000,16.24,29.95,12.8,12.8,501878,0
JL.US,D,20240229,000000,26.3,27.01,1.72,2,17690382,0
JL.US,D,20240301,000000,2.2,2.48,2.05,2.31,14996952,0
JL.US,D,20240304,000000,2.081,2.2,1.78,2.11,3131791,0
JL.US,D,20240305,000000,1.96,2.96,1.9101,2.66,13733581,0
JL.US,D,20240306,000000,2.72,3,2,2.21,11096464,0
JL.US,D,20240307,000000,2.28,2.35,2.03,2.19,7029516,0
JL.US,D,20240308,000000,1.93,2.04,1.81,1.89,3750486,0
JL.US,D,20240311,000000,1.88,2.09,1.82,1.98,2137223,0
JL.US,D,20240312,000000,1.9,1.95,1.76,1.8,2092468,0
JL.US,D,20240313,000000,1.82,2,1.73,1.87,1879558,0
JL.US,D,20240314,000000,1.81,1.85,1.66,1.71,1269391,0
JL.US,D,20240315,000000,1.75,1.75,1.61,1.74,918278,0
JL.US,D,20240318,000000,1.7,1.72,1.55,1.59,1221375,0
JL.US,D,20240319,000000,1.52,1.5399,1.35,1.4,1511637,0
JL.US,D,20240320,000000,1.38,1.45,1.25,1.42,877709,0
JL.US,D,20240321,000000,1.4,1.4499,1.35,1.38,718750,0
JL.US,D,20240322,000000,1.35,1.37,1.17,1.21,1291550,0
JL.US,D,20240325,000000,1.23,1.36,1.18,1.2,1837196,0
JL.US,D,20240326,000000,1.18,1.2,1.02,1.02,2283993,0
JL.US,D,20240327,000000,1.02,1.1301,0.9013,1.03,1278939,0
JL.US,D,20240328,000000,1.02,1.06,0.98,1,550253,0
JL.US,D,20240401,000000,1,1.01,0.95,0.9612,540492,0
JL.US,D,20240402,000000,0.96,0.9626,0.911,0.945,416883,0
JL.US,D,20240403,000000,0.921,1.05,0.9011,0.97,888359,0
JL.US,D,20240404,000000,0.99,1.01,0.9,0.91,605556,0
JL.US,D,20240405,000000,0.918,0.928,0.88,0.888,413445,0
JL.US,D,20240408,000000,0.8799,0.93,0.8574,0.86,356041,0
JL.US,D,20240409,000000,0.8708,0.8799,0.8137,0.8219,494953,0
JL.US,D,20240410,000000,0.8158,0.8429,0.8,0.8055,424401,0
JL.US,D,20240411,000000,0.8,0.82,0.7502,0.7572,501628,0
JL.US,D,20240412,000000,0.75,0.85,0.7307,0.78,756893,0
JL.US,D,20240415,000000,0.7701,0.795,0.5716,0.6134,2028753,0
JL.US,D,20240416,000000,0.6059,0.7142,0.576,0.62,1194572,0
JL.US,D,20240417,000000,0.63,0.6372,0.603001,0.629,516562,0
JL.US,D,20240418,000000,0.6083,0.68,0.6083,0.6439,486467,0
JL.US,D,20240419,000000,0.6246,0.6563,0.6199,0.6349,488491,0
JL.US,D,20240422,000000,0.618,0.6969,0.6051,0.6888,712268,0
JL.US,D,20240423,000000,0.7,0.728,0.6702,0.7087,600223,0
JL.US,D,20240424,000000,0.715,0.976,0.7112,0.96,2548726,0
JL.US,D,20240425,000000,0.9673,1.08,0.821,0.849,1729942,0
JL.US,D,20240426,000000,0.848,0.898,0.7807,0.84,370043,0
JL.US,D,20240429,000000,0.85,0.85,0.78,0.7995,275483,0
JL.US,D,20240430,000000,0.808,0.808,0.7435,0.7435,264844,0
JL.US,D,20240501,000000,0.75,0.78,0.7297,0.777,206442,0
JL.US,D,20240502,000000,0.767814,0.8068,0.731,0.772,320447,0
JL.US,D,20240503,000000,0.785,0.8079,0.753,0.7701,281673,0
JL.US,D,20240506,000000,0.8086,0.8086,0.758,0.801285,199638,0
JL.US,D,20240507,000000,0.8257,0.8358,0.78,0.82,308192,0
JL.US,D,20240508,000000,0.7954,0.81,0.7738,0.7851,195636,0
JL.US,D,20240509,000000,0.795,0.82,0.78,0.79,164636,0
JL.US,D,20240510,000000,0.789,0.815,0.732,0.7691,224321,0
JL.US,D,20240513,000000,0.76,0.7899,0.7115,0.7394,270567,0
JL.US,D,20240514,000000,0.7365,0.7737,0.73,0.7642,181022,0
JL.US,D,20240515,000000,0.75,0.763968,0.7321,0.7387,181571,0
JL.US,D,20240516,000000,0.728,0.7449,0.6,0.6957,650922,0
JL.US,D,20240517,000000,0.688097,0.7,0.67,0.6863,269645,0
JL.US,D,20240520,000000,0.69,0.718,0.6538,0.6713,343815,0
JL.US,D,20240521,000000,0.6512,0.6696,0.65,0.653,236219,0
JL.US,D,20240522,000000,0.6479,0.653,0.6011,0.6245,353733,0
JL.US,D,20240523,000000,0.6335,0.652,0.6089,0.6201,164127,0
JL.US,D,20240524,000000,0.6142,0.64,0.58,0.5898,343435,0
JL.US,D,20240528,000000,0.5901,0.6299,0.5724,0.618,259231,0
JL.US,D,20240529,000000,0.617,0.6179,0.595,0.6003,112452,0
JL.US,D,20240530,000000,0.612,0.6125,0.5947,0.5979,87322,0
JL.US,D,20240531,000000,0.586,0.5979,0.573,0.584,80871,0
