<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JVSAU.US,D,20240122,000000,10.12,10.14,10.12,10.13,217028,0
JVSAU.US,D,20240123,000000,10.1397,10.14,10.12,10.13,318663,0
JVSAU.US,D,20240124,000000,10.1303,10.14,10.13,10.13,102486,0
JVSAU.US,D,20240125,000000,10.14,10.14,10.13,10.13,60481,0
JVSAU.US,D,20240126,000000,10.14,10.14,10.13,10.14,14095,0
JVSAU.US,D,20240129,000000,10.13,10.13,10.13,10.13,873,0
JVSAU.US,D,20240130,000000,10.14,10.15,10.14,10.14,20050,0
JVSAU.US,D,20240131,000000,10.15,10.15,10.14,10.14,13322,0
JVSAU.US,D,20240201,000000,10.15,10.15,10.14,10.14,9317,0
JVSAU.US,D,20240202,000000,10.14,10.15,10.14,10.14,56355,0
JVSAU.US,D,20240205,000000,10.15,10.15,10.15,10.15,9366,0
JVSAU.US,D,20240206,000000,10.15,10.15,10.15,10.15,3962,0
JVSAU.US,D,20240207,000000,10.17,10.17,10.15,10.16,10883,0
JVSAU.US,D,20240208,000000,10.17,10.19,10.17,10.18,7140,0
JVSAU.US,D,20240209,000000,10.17,10.17,10.17,10.17,251,0
JVSAU.US,D,20240213,000000,10.17,10.19,10.17,10.17,54835,0
JVSAU.US,D,20240214,000000,10.17,10.19,10.17,10.18,3439,0
JVSAU.US,D,20240215,000000,10.18,10.18,10.18,10.18,2197,0
JVSAU.US,D,20240216,000000,10.18,10.18,10.18,10.18,924,0
JVSAU.US,D,20240220,000000,10.19,10.2,10.19,10.19,16758,0
JVSAU.US,D,20240221,000000,10.2,10.2,10.19,10.19,579,0
JVSAU.US,D,20240222,000000,10.2,10.2,10.19,10.19,13281,0
JVSAU.US,D,20240223,000000,10.21,10.21,10.2,10.2,1919,0
JVSAU.US,D,20240226,000000,10.21,10.21,10.2,10.2,3363,0
JVSAU.US,D,20240227,000000,10.19,10.21,10.19,10.21,765,0
JVSAU.US,D,20240228,000000,10.21,10.21,10.2,10.2,8271,0
JVSAU.US,D,20240229,000000,10.21,10.21,10.2,10.21,11068,0
JVSAU.US,D,20240301,000000,10.19,10.19,10.19,10.19,308,0
JVSAU.US,D,20240304,000000,10.22,10.22,10.22,10.22,6048,0
JVSAU.US,D,20240305,000000,10.22,10.22,10.22,10.22,570,0
JVSAU.US,D,20240306,000000,10.22,10.22,10.22,10.22,45370,0
JVSAU.US,D,20240307,000000,10.23,10.23,10.225,10.23,20899,0
JVSAU.US,D,20240308,000000,10.23,10.2301,10.23,10.2301,418,0
JVSAU.US,D,20240311,000000,10.23,10.25,10.22,10.25,142563,0
JVSAU.US,D,20240312,000000,10.25,10.28,10.25,10.28,12420,0
JVSAU.US,D,20240313,000000,10.25,10.29,10.25,10.29,15424,0
JVSAU.US,D,20240314,000000,10.2501,10.28,10.25,10.25,6957,0
JVSAU.US,D,20240318,000000,10.25,10.27,10.25,10.261,19417,0
JVSAU.US,D,20240319,000000,10.275,10.275,10.26,10.26,5644,0
JVSAU.US,D,20240321,000000,10.28,10.28,10.26,10.27,14593,0
JVSAU.US,D,20240326,000000,10.28,10.28,10.28,10.28,428,0
JVSAU.US,D,20240327,000000,10.29,10.3,10.28,10.3,10846,0
JVSAU.US,D,20240402,000000,10.31,10.31,10.31,10.31,5778,0
JVSAU.US,D,20240403,000000,10.31,10.31,10.31,10.31,447,0
JVSAU.US,D,20240404,000000,10.31,10.33,10.3,10.3,10040,0
JVSAU.US,D,20240408,000000,10.39,10.5,10.39,10.45,19686,0
JVSAU.US,D,20240409,000000,10.42,10.42,10.42,10.42,1008,0
JVSAU.US,D,20240412,000000,10.4,10.45,10.39,10.39,2365,0
JVSAU.US,D,20240416,000000,10.43,10.43,10.43,10.43,483,0
JVSAU.US,D,20240419,000000,10.46,10.597,10.4,10.4,3791,0
