<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JZXN.US,D,20210519,000000,310.885,350.82,157.68,179.1,142982.72336608,0
JZXN.US,D,20210520,000000,171,196.2,126,133.56,118786.55650585,0
JZXN.US,D,20210521,000000,177.3,261,144,151.38,2353877.6299421,0
JZXN.US,D,20210524,000000,159.48,183.42,144.9,183.42,355826.55840217,0
JZXN.US,D,20210525,000000,165.6,182.7,165.6,173.52,173780.83472358,0
JZXN.US,D,20210526,000000,162,167.398,158.4,161.82,72812.278360276,0
JZXN.US,D,20210527,000000,157.5,172.8,155.16,165.42,56080.056004196,0
JZXN.US,D,20210528,000000,163.98,164.16,159.48,162,14050.889001296,0
JZXN.US,D,20210601,000000,162.36,171.718,159.376,167.4,23348.555742344,0
JZXN.US,D,20210602,000000,167.04,168.12,160.2,167.58,18286.66681296,0
JZXN.US,D,20210603,000000,238.408,243.9,191.043,201.6,248154.89087413,0
JZXN.US,D,20210604,000000,198,252,198,247.5,68694.16721622,0
JZXN.US,D,20210607,000000,234.603,277.2,225,273.42,157942.94570799,0
JZXN.US,D,20210608,000000,267.66,270,219.06,226.44,38961.500311692,0
JZXN.US,D,20210609,000000,230.94,259.92,211.14,214.2,107772.55641774,0
JZXN.US,D,20210610,000000,213.3,216.18,155.7,171,127807.33435579,0
JZXN.US,D,20210611,000000,164.88,169.992,144.18,153.72,99737.389686788,0
JZXN.US,D,20210614,000000,152.28,153.607,147.6,148.86,21107.666835528,0
JZXN.US,D,20210615,000000,147.6,151.218,140.58,141.84,25084.000200672,0
JZXN.US,D,20210616,000000,142.02,145.98,136.98,144.72,21486.722394116,0
JZXN.US,D,20210617,000000,143.28,147.24,138.42,140.04,17537.444584744,0
JZXN.US,D,20210618,000000,138.96,142.2,137.34,138.42,12136.222319312,0
JZXN.US,D,20210621,000000,138.6,153.9,137.905,153.9,33694.500269556,0
JZXN.US,D,20210622,000000,151.74,151.74,139.32,143.1,20936.000167488,0
JZXN.US,D,20210623,000000,156.06,156.42,141.84,151.02,219028.11286334,0
JZXN.US,D,20210624,000000,145.8,150.84,144.362,146.7,50256.9448465,0
JZXN.US,D,20210625,000000,148.5,149.94,145.44,147.42,23730.444634288,0
JZXN.US,D,20210628,000000,147.6,156.42,146.16,152.82,203752.7794078,0
JZXN.US,D,20210629,000000,150.934,162,146.162,149.58,190387.44596754,0
JZXN.US,D,20210630,000000,146.34,147.474,140.4,140.94,58756.11158116,0
JZXN.US,D,20210701,000000,138.6,140.915,133.56,137.7,33432.333600792,0
JZXN.US,D,20210702,000000,136.08,137.511,124.02,125.28,49171.000393368,0
JZXN.US,D,20210706,000000,125.28,127.26,118.087,119.16,23608.05574442,0
JZXN.US,D,20210707,000000,118.26,118.26,104.4,107.1,26519.111323264,0
JZXN.US,D,20210708,000000,90.9,96.8922,88.74,92.7,155152.39013011,0
JZXN.US,D,20210709,000000,92.16,94.5,89.64,91.8,54290.2782121,0
JZXN.US,D,20210712,000000,93.06,93.06,84.06,84.96,32277.50025822,0
JZXN.US,D,20210713,000000,85.68,86.4,81.72,84.78,21291.94461478,0
JZXN.US,D,20210714,000000,109.8,113.58,88.56,92.16,1527800.9011113,0
JZXN.US,D,20210715,000000,86.427,91.44,83.16,86.94,121450.0009716,0
JZXN.US,D,20210716,000000,83.7396,83.8782,74.7,75.42,78867.50063094,0
JZXN.US,D,20210719,000000,77.22,77.4,66.6,69.84,96530.5563278,0
JZXN.US,D,20210720,000000,67.5,68.76,63.18,66.06,63139.16717178,0
JZXN.US,D,20210721,000000,63.72,80.0982,63.72,75.78,116821.88982346,0
JZXN.US,D,20210722,000000,72.9,74.88,69.66,70.56,44327.389243508,0
JZXN.US,D,20210723,000000,68.22,68.94,64.44,64.98,29004.611343148,0
JZXN.US,D,20210726,000000,60.84,64.8,59.4,60.12,30897.944691628,0
JZXN.US,D,20210727,000000,60.12,80.28,59.4,71.64,279658.05779282,0
JZXN.US,D,20210728,000000,72.5472,81.72,69.48,79.92,66524.278309972,0
JZXN.US,D,20210729,000000,77.4,80.64,73.8,75.06,34606.38916574,0
JZXN.US,D,20210730,000000,75.24,76.5,71.64,71.82,20682.722387684,0
JZXN.US,D,20210802,000000,70.74,76.3182,68.94,73.98,19481.9446003,0
JZXN.US,D,20210803,000000,75.6,75.6,69.3,69.66,13416.444551776,0
JZXN.US,D,20210804,000000,68.58,71.1,66.6,67.32,11481.38898074,0
JZXN.US,D,20210805,000000,68.94,72.9,68.4,69.66,31581.66691932,0
JZXN.US,D,20210806,000000,69.3,76.5,66.6,70.74,64350.389403692,0
JZXN.US,D,20210809,000000,70.92,79.02,70.38,75.6,34438.278053284,0
JZXN.US,D,20210810,000000,76.86,77.4,72,73.98,12189.333430848,0
JZXN.US,D,20210811,000000,75.06,75.42,70.6644,71.46,12872.000102976,0
JZXN.US,D,20210812,000000,71.1,71.46,66.42,68.04,17023.277913964,0
JZXN.US,D,20210813,000000,67.5,68.22,61.7418,63.18,14692.77789532,0
JZXN.US,D,20210816,000000,63.72,63.99,59.58,60.48,10379.055638588,0
JZXN.US,D,20210817,000000,60.48,62.64,57.96,58.5,13527.22233044,0
JZXN.US,D,20210818,000000,60.66,64.62,58.32,63,14630.055672596,0
JZXN.US,D,20210819,000000,61.56,62.82,57.78,59.4,11427.333424752,0
JZXN.US,D,20210820,000000,58.8636,61.56,58.6494,60.48,10798.166753052,0
JZXN.US,D,20210823,000000,60.84,62.82,58.14,61.2,11211.66675636,0
JZXN.US,D,20210824,000000,62.64,64.98,60.84,64.08,17164.16680398,0
JZXN.US,D,20210825,000000,63.54,65.5308,61.74,65.34,14354.055670388,0
JZXN.US,D,20210826,000000,64.26,66.06,61.0254,61.56,13973.666778456,0
JZXN.US,D,20210827,000000,62.1,63.54,59.94,60.84,16334.44457512,0
JZXN.US,D,20210830,000000,60.66,62.46,58.86,60.66,26870.333548296,0
JZXN.US,D,20210831,000000,60.48,60.48,58.5,59.4,8516.722290356,0
JZXN.US,D,20210901,000000,59.4,62.64,59.04,60.3,17950.389032492,0
JZXN.US,D,20210902,000000,61.38,62.1,57.78,59.4,18777.833483556,0
JZXN.US,D,20210903,000000,59.94,60.021,54.9,55.62,26031.333541584,0
JZXN.US,D,20210907,000000,56.16,59.04,55.08,55.8,16266.444574576,0
JZXN.US,D,20210908,000000,55.98,55.98,54,54.18,7779.611173348,0
JZXN.US,D,20210909,000000,54,54.54,51.12,52.47,15043.500120348,0
JZXN.US,D,20210910,000000,52.56,54,51.3,52.92,13049.611215508,0
JZXN.US,D,20210913,000000,53.46,53.46,49.5,49.86,16633.389021956,0
JZXN.US,D,20210914,000000,49.86,49.86,45,45.18,20481.66683052,0
JZXN.US,D,20210915,000000,45,45.702,43.2,44.28,11837.5000947,0
JZXN.US,D,20210916,000000,44.1,50.4,43.2,50.04,38713.555865264,0
JZXN.US,D,20210917,000000,49.14,50.4,48.06,49.32,14580.611227756,0
JZXN.US,D,20210920,000000,48.24,48.4326,44.1,44.1,16111.000128888,0
JZXN.US,D,20210921,000000,45,50.22,43.3818,47.7,24498.222418208,0
JZXN.US,D,20210922,000000,48.6,50.4,45.18,46.26,22346.555734328,0
JZXN.US,D,20210923,000000,46.26,47.214,44.1,45.18,14474.055671348,0
JZXN.US,D,20210924,000000,45.18,45.297,43.2,44.64,8115.55562048,0
JZXN.US,D,20210927,000000,45.18,45.8352,44.28,45.18,4704.500037636,0
JZXN.US,D,20210928,000000,45.18,45.54,43.56,44.1,3254.888914928,0
JZXN.US,D,20210929,000000,48.42,54.54,44.1,44.64,497472.726202,0
JZXN.US,D,20210930,000000,44.64,44.874,41.76,43.02,29949.944684044,0
JZXN.US,D,20211001,000000,42.3,43.029,41.4,42.12,14481.9445603,0
JZXN.US,D,20211004,000000,41.94,43.38,39.06,39.42,14729.055673388,0
JZXN.US,D,20211005,000000,40.14,40.5,37.26,37.62,15311.833455828,0
JZXN.US,D,20211006,000000,36,36.54,33.66,34.56,31421.778029152,0
JZXN.US,D,20211007,000000,35.28,38.2932,35.28,37.44,17582.77791844,0
JZXN.US,D,20211008,000000,36.9,39.6,35.82,37.98,11057.388977348,0
JZXN.US,D,20211011,000000,38.7,39.06,36.72,37.26,5963.777825488,0
JZXN.US,D,20211012,000000,36.9,39.06,36.72,37.44,6947.166722244,0
JZXN.US,D,20211013,000000,37.8,39.0366,37.35,37.8,5511.66671076,0
JZXN.US,D,20211014,000000,38.34,48.96,38.34,41.04,630619.4494894,0
JZXN.US,D,20211015,000000,39.7476,42.84,38.34,41.22,86731.66736052,0
JZXN.US,D,20211018,000000,39.06,39.5424,37.0746,38.7,29915.055794876,0
JZXN.US,D,20211019,000000,38.7,44.82,37.44,39.6,129049.27881017,0
JZXN.US,D,20211020,000000,39.6,45.3582,39.24,40.14,75337.556158256,0
JZXN.US,D,20211021,000000,40.14,41.94,38.34,39.06,16462.000131696,0
JZXN.US,D,20211022,000000,39.06,39.42,35.1,36,32011.222478312,0
JZXN.US,D,20211025,000000,37.26,37.5516,36,37.08,12893.222325368,0
JZXN.US,D,20211026,000000,37.44,38.52,36.36,38.16,17553.277918204,0
JZXN.US,D,20211027,000000,37.8,39.6,36.9,37.8,22086.94462114,0
JZXN.US,D,20211028,000000,37.44,39.42,36.5418,37.8,24847.166865444,0
JZXN.US,D,20211029,000000,37.08,41.22,36.36,40.86,38499.666974664,0
JZXN.US,D,20211101,000000,41.22,42.84,40.14,41.22,14546.38900526,0
JZXN.US,D,20211102,000000,41.04,44.46,39.06,41.22,111924.16756206,0
JZXN.US,D,20211103,000000,40.68,41.4,39.6,40.32,9386.444519536,0
JZXN.US,D,20211104,000000,40.5,40.86,38.16,39.78,9358.500074868,0
JZXN.US,D,20211105,000000,39.78,41.22,39.6,40.68,8524.388957084,0
JZXN.US,D,20211108,000000,40.68,41.4,40.32,40.68,8571.333401904,0
JZXN.US,D,20211109,000000,40.68,42.3,39.078,40.68,14927.333452752,0
JZXN.US,D,20211110,000000,40.32,44.1,39.7962,41.04,39424.833648732,0
JZXN.US,D,20211111,000000,41.58,41.94,39.6,40.5,12501.055655564,0
JZXN.US,D,20211112,000000,40.7016,42.84,40.14,41.94,9130.388961932,0
JZXN.US,D,20211115,000000,42.66,43.38,41.4,43.2,11411.444535736,0
JZXN.US,D,20211116,000000,43.2,48.24,40.5648,46.44,70679.111676544,0
JZXN.US,D,20211117,000000,46.8,46.8,42.48,43.2,23324.389075484,0
JZXN.US,D,20211118,000000,43.56,44.28,39.33,40.5,29063.389121396,0
JZXN.US,D,20211119,000000,40.14,41.94,39.96,41.04,7690.777839304,0
JZXN.US,D,20211122,000000,40.68,41.04,39.42,39.6,11202.444534064,0
JZXN.US,D,20211123,000000,39.42,40.5,36.72,37.26,17049.666803064,0
JZXN.US,D,20211124,000000,38.34,38.34,36.54,38.16,13466.444552176,0
JZXN.US,D,20211126,000000,37.26,38.52,36,36.5076,9647.50007718,0
JZXN.US,D,20211129,000000,36.54,40.68,35.1,37.44,28300.27800418,0
JZXN.US,D,20211130,000000,36.54,37.26,34.56,34.74,12014.111207224,0
JZXN.US,D,20211201,000000,35.2836,35.82,31.6836,32.76,10875.166753668,0
JZXN.US,D,20211202,000000,32.94,34.2,32.1876,34.02,6934.888944368,0
JZXN.US,D,20211203,000000,33.3,33.3,27,27.54,41443.111442656,0
JZXN.US,D,20211206,000000,26.64,28.08,23.94,27.18,11723.722316012,0
JZXN.US,D,20211207,000000,33.3,36.72,28.44,32.4,829046.17329904,0
JZXN.US,D,20211208,000000,29.16,33.12,28.08,32.4,60188.944925956,0
JZXN.US,D,20211209,000000,31.68,32.2182,29.7,30.24,14328.111225736,0
JZXN.US,D,20211210,000000,31.32,31.32,28.5408,30.78,18506.555703608,0
JZXN.US,D,20211213,000000,30.6,31.32,28.98,30.06,10543.833417684,0
JZXN.US,D,20211214,000000,29.7,29.7,26.64,28.8,8062.22228672,0
JZXN.US,D,20211215,000000,30.6,31.32,27.9,29.88,57239.333791248,0
JZXN.US,D,20211216,000000,30.24,31.32,29.25,30.42,8830.333403976,0
JZXN.US,D,20211217,000000,29.34,29.88,28.08,28.62,17305.83347178,0
JZXN.US,D,20211220,000000,28.26,28.26,26.28,27.72,15870.8334603,0
JZXN.US,D,20211221,000000,28.08,28.44,26.1,27.54,11743.000093944,0
JZXN.US,D,20211222,000000,27.36,27.72,26.46,27.36,6143.444493592,0
JZXN.US,D,20211223,000000,26.64,33.48,26.2818,31.5,67246.778315752,0
JZXN.US,D,20211227,000000,31.5,32.58,28.26,30.6,53281.278204028,0
JZXN.US,D,20211228,000000,29.88,30.42,28.62,28.62,12514.555655672,0
JZXN.US,D,20211229,000000,28.08,29.88,27.18,27.36,10239.833415252,0
JZXN.US,D,20211230,000000,27.36,28.98,26.82,28.08,28825.778008384,0
JZXN.US,D,20211231,000000,27.36,29.7198,26.28,26.46,31868.778032728,0
JZXN.US,D,20220103,000000,26.82,26.8218,25.02,26.28,15160.500121284,0
JZXN.US,D,20220104,000000,25.92,26.46,24.84,25.2,8361.333400224,0
JZXN.US,D,20220105,000000,24.84,27.72,24.84,26.28,39872.77809676,0
JZXN.US,D,20220106,000000,25.92,26.82,24.48,25.38,13026.166770876,0
JZXN.US,D,20220107,000000,25.38,26.28,24.48,25.02,10802.000086416,0
JZXN.US,D,20220110,000000,25.02,25.02,22.5,23.76,7401.722281436,0
JZXN.US,D,20220111,000000,26.28,26.3862,24.48,25.38,16499.111243104,0
JZXN.US,D,20220112,000000,26.1,28.26,25.56,27,12782.666768928,0
JZXN.US,D,20220113,000000,27.54,27.8982,24.48,25.74,12981.166770516,0
JZXN.US,D,20220114,000000,25.2,27.54,25.2,26.28,14244.555669512,0
JZXN.US,D,20220118,000000,25.38,27.5256,24.48,25.38,5365.500042924,0
JZXN.US,D,20220119,000000,25.2,27,24.3,24.84,8900.444515648,0
JZXN.US,D,20220120,000000,25.56,26.46,25.11,25.38,9238.05562946,0
JZXN.US,D,20220121,000000,25.02,25.56,24.66,25.2,5803.222268648,0
JZXN.US,D,20220124,000000,24.3,26.64,23.4,25.02,12998.388992876,0
JZXN.US,D,20220125,000000,25.2,25.38,23.94,25.02,4271.888923064,0
JZXN.US,D,20220126,000000,25.56,26.1,25.02,25.02,3669.777807136,0
JZXN.US,D,20220127,000000,25.02,25.92,25.02,25.38,4523.555591744,0
JZXN.US,D,20220128,000000,25.56,25.92,24.8562,25.4862,3016.500024132,0
JZXN.US,D,20220131,000000,25.92,29.7,25.3854,28.26,14110.722335108,0
JZXN.US,D,20220201,000000,30.42,30.7422,28.44,29.34,5676.277823188,0
JZXN.US,D,20220202,000000,29.88,29.88,27,28.26,8831.222292872,0
JZXN.US,D,20220203,000000,27.72,28.5408,27,27.36,3585.55558424,0
JZXN.US,D,20220204,000000,27.18,28.26,27.18,28.26,1503.111123136,0
JZXN.US,D,20220207,000000,28.8,30.06,28.26,29.52,4602.111147928,0
JZXN.US,D,20220208,000000,29.7,30.0636,29.34,29.52,1990.500015924,0
JZXN.US,D,20220209,000000,30.06,31.32,29.52,30.96,6181.166716116,0
JZXN.US,D,20220210,000000,31.3362,33.3,30.24,32.4,10147.77785896,0
JZXN.US,D,20220211,000000,33.3,34.02,31.86,32.4,7276.611169324,0
JZXN.US,D,20220214,000000,31.5,32.76,31.5,32.58,1840.2777925,0
JZXN.US,D,20220215,000000,33.84,33.84,32.67,32.76,4208.666700336,0
JZXN.US,D,20220216,000000,33.12,37.62,32.4,36.36,9041.666739,0
