<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KANT.US,D,20160211,000000,1120,1120,737.8,929.6,14658.57144323,0
KANT.US,D,20160212,000000,917,917,819,865.2,1331.142858474,0
KANT.US,D,20160216,000000,830.2,836.92,791,805,1948.285716234,0
KANT.US,D,20160217,000000,796.6,805,777,805,552.7142862669999,0
KANT.US,D,20160218,000000,777,832.79,777,791,67.285714353,0
KANT.US,D,20160219,000000,805,875.7,793.8,828.8,1494.142858637,0
KANT.US,D,20160222,000000,854,940.8,788.2,893.2,1829.714287544,0
KANT.US,D,20160223,000000,910,910,863.8,910,76.00000007599999,0
KANT.US,D,20160224,000000,862.4,882,798,856.1,1283.142858426,0
KANT.US,D,20160225,000000,880.6,889,840,840,89.857142947,0
KANT.US,D,20160226,000000,842.8,906.5,809.2,851.2,425.428571854,0
KANT.US,D,20160229,000000,854,903,827.4,840,424.71428613899997,0
KANT.US,D,20160301,000000,840,882,798,821.8,1611.000001611,0
KANT.US,D,20160302,000000,812,834.4,763,792.4,555.0000005549999,0
KANT.US,D,20160303,000000,800.8,800.8,749,777.07,197.571428769,0
KANT.US,D,20160304,000000,792.4,811.86,774.2,778.4,164.000000164,0
KANT.US,D,20160307,000000,831.6,1138.2,826,1013.6,1583.0000015829999,0
KANT.US,D,20160308,000000,1033.2,1188.6,945,1164.8,627.7142863419999,0
KANT.US,D,20160309,000000,1162,1958.6,1162,1645,2355.142859498,0
KANT.US,D,20160310,000000,1661.8,1792,1316,1335.6,1754.857144612,0
KANT.US,D,20160311,000000,1325.8,1387.4,1206.8,1254.4,425.428571854,0
KANT.US,D,20160314,000000,1241.8,1435.28,1241.8,1360.8,576.142857719,0
KANT.US,D,20160315,000000,1313.2,1421,1268.4,1397.2,296.571428868,0
KANT.US,D,20160316,000000,1398.6,1398.6,1311.8,1337,406.714286121,0
KANT.US,D,20160317,000000,1337,1407.14,1337,1377.6,288.00000028799997,0
KANT.US,D,20160318,000000,1394.4,1426.6,1328.39,1341.2,1142.285715428,0
KANT.US,D,20160321,000000,1365,1400,1335.6,1381.8,374.857143232,0
KANT.US,D,20160322,000000,1344.42,1545.6,1339.8,1519,429.57142900099996,0
KANT.US,D,20160323,000000,1544.2,1583.4,1421,1453.2,161.142857304,0
KANT.US,D,20160324,000000,1400,1506.4,1344,1376.2,339.85714319699997,0
KANT.US,D,20160328,000000,1377.6,1442,1164.8,1220.8,434.714286149,0
KANT.US,D,20160329,000000,1411.2,1416.8,1218,1274,111.42857154,0
KANT.US,D,20160330,000000,1265.6,1328.6,1257.2,1327.2,103.42857153199999,0
KANT.US,D,20160331,000000,1339.8,1357.72,1296.4,1353.8,126.71428584099999,0
KANT.US,D,20160401,000000,1372,1372,1232,1306.2,120.571428692,0
KANT.US,D,20160404,000000,1365,1365,1255.1,1275.4,108.714285823,0
KANT.US,D,20160405,000000,1307.6,1313.2,1261.4,1269.8,102.85714295999999,0
KANT.US,D,20160406,000000,1278.2,1316,1255.8,1303.4,109.285714395,0
KANT.US,D,20160407,000000,1311.8,1316,1267,1316,106.14285724899999,0
KANT.US,D,20160408,000000,1290.8,1409.66,1290.8,1400,311.14285745399997,0
KANT.US,D,20160411,000000,1429.4,1435,1334.2,1342.6,125.28571441099999,0
KANT.US,D,20160412,000000,1335.88,1377.6,1330,1374.8,89.428571518,0
KANT.US,D,20160413,000000,1428,1428,1345.4,1400,134.714285849,0
KANT.US,D,20160414,000000,1423.8,1428,1379,1400,227.71428594199998,0
KANT.US,D,20160415,000000,1380.4,1428,1380.4,1428,180.714285895,0
KANT.US,D,20160418,000000,1405.6,1430.8,1372,1398.6,121.28571440699999,0
KANT.US,D,20160419,000000,1356.6,1365,1322.44,1356.6,70.142857213,0
KANT.US,D,20160420,000000,1355.2,1355.2,1275.4,1317.4,57.000000056999994,0
KANT.US,D,20160421,000000,1296.4,1304.8,1274,1288,144.714285859,0
KANT.US,D,20160422,000000,1279.6,1337,1276.8,1314.6,127.571428699,0
KANT.US,D,20160425,000000,1306.2,1307.6,1278.2,1303.4,107.571428679,0
KANT.US,D,20160426,000000,1289.4,1334.9,1279.6,1299.2,70.714285785,0
KANT.US,D,20160427,000000,1283.8,1293.6,1274,1278.2,56.142857199,0
