<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KDLY.US,D,20240603,000000,2.99,3.11,2.35,2.66,147381,0
KDLY.US,D,20240604,000000,2.53,3.1099,2.41,2.92,73846,0
KDLY.US,D,20240605,000000,2.91,3.09,2.6,2.73,51241,0
KDLY.US,D,20240606,000000,2.94,2.94,2.41,2.69,56475,0
KDLY.US,D,20240607,000000,2.67,2.9,2.65,2.72,27557,0
KDLY.US,D,20240610,000000,2.74,2.74,2.5601,2.7,26956,0
KDLY.US,D,20240611,000000,2.65,3.1,2.55,2.8,95302,0
KDLY.US,D,20240612,000000,2.9,2.9999,2.55,2.92,91415,0
KDLY.US,D,20240613,000000,2.97,3,2.6501,2.78,69619,0
KDLY.US,D,20240614,000000,2.88,2.99,2.63,2.7,38722,0
KDLY.US,D,20240617,000000,2.64,2.92,2.62,2.77,57989,0
KDLY.US,D,20240618,000000,2.85,2.98,2.65,2.72,55061,0
KDLY.US,D,20240620,000000,2.7,3,2.65,2.91,49353,0
KDLY.US,D,20240621,000000,2.96,2.9899,2.85,2.93,36305,0
KDLY.US,D,20240624,000000,2.91,3.24,2.73,3.08,80515,0
KDLY.US,D,20240625,000000,3.13,3.2399,2.92,3.07,66871,0
KDLY.US,D,20240626,000000,3.12,3.23,2.9,2.98,49437,0
KDLY.US,D,20240627,000000,2.998,3.15,2.7317,2.79,33613,0
KDLY.US,D,20240628,000000,2.68,2.8177,2.62,2.75,18440,0
KDLY.US,D,20240701,000000,2.71,2.83,2.5,2.57,46527,0
KDLY.US,D,20240702,000000,2.61,2.65,2.05,2.2,52360,0
KDLY.US,D,20240703,000000,2.34,2.49,2.22,2.46,9614,0
KDLY.US,D,20240705,000000,2.45,2.46,2.25,2.25,35168,0
KDLY.US,D,20240708,000000,2.32,2.41,2.25,2.25,15439,0
KDLY.US,D,20240709,000000,2.35,2.6,2.25,2.45,65829,0
KDLY.US,D,20240710,000000,2.51,2.58,2.41,2.52,28596,0
KDLY.US,D,20240711,000000,2.6,2.69,2.37,2.49,16416,0
KDLY.US,D,20240712,000000,2.4,2.5,2.3,2.4,23744,0
KDLY.US,D,20240715,000000,2.27,2.35,2.24,2.35,24224,0
KDLY.US,D,20240716,000000,2.41,2.41,2.3,2.37,6883,0
KDLY.US,D,20240717,000000,2.41,2.41,2.26,2.35,9273,0
KDLY.US,D,20240718,000000,2.4,2.9188,2.25,2.79,96315,0
KDLY.US,D,20240719,000000,2.71,3.0147,2.69,2.87,130357,0
KDLY.US,D,20240722,000000,2.82,3.0353,2.82,2.99,82946,0
KDLY.US,D,20240723,000000,2.82,3.0999,2.81,3.04,66440,0
KDLY.US,D,20240724,000000,2.989,3.2786,2.94,3.22,145304,0
KDLY.US,D,20240725,000000,3.3,3.48,1.9,1.97,860514,0
KDLY.US,D,20240726,000000,1.96,2.04,1.7301,1.7999,264007,0
KDLY.US,D,20240729,000000,1.97,1.97,1.53,1.59,497203,0
KDLY.US,D,20240730,000000,1.57,1.7,1.52,1.68,121383,0
KDLY.US,D,20240731,000000,1.66,1.84,1.61,1.72,111479,0
KDLY.US,D,20240801,000000,1.73,1.73,1.61,1.67,65559,0
KDLY.US,D,20240802,000000,1.61,1.66,1.56,1.62,69446,0
KDLY.US,D,20240805,000000,1.5,1.55,1.4001,1.515,70789,0
KDLY.US,D,20240806,000000,1.53,1.6575,1.45,1.53,69096,0
KDLY.US,D,20240807,000000,1.53,1.5599,1.45,1.4937,34827,0
KDLY.US,D,20240808,000000,1.53,1.63,1.48,1.51,43795,0
KDLY.US,D,20240809,000000,1.54,1.61,1.46,1.58,21563,0
KDLY.US,D,20240812,000000,1.55,1.61,1.47,1.5987,28934,0
KDLY.US,D,20240813,000000,1.56,1.59,1.56,1.5899,21989,0
KDLY.US,D,20240814,000000,1.69,1.6999,1.55,1.615,55508,0
KDLY.US,D,20240815,000000,1.57,1.67,1.56,1.63,19978,0
KDLY.US,D,20240816,000000,1.55,1.64,1.55,1.6399,8630,0
KDLY.US,D,20240819,000000,1.605,1.85,1.45,1.72,259210,0
KDLY.US,D,20240820,000000,1.8699,1.8699,1.66,1.7143,219596,0
KDLY.US,D,20240821,000000,1.73,1.8716,1.69,1.73,223094,0
KDLY.US,D,20240822,000000,1.78,1.8699,1.65,1.7,263425,0
KDLY.US,D,20240823,000000,1.7,1.7099,1.58,1.6572,138744,0
KDLY.US,D,20240826,000000,1.62,1.67,1.5,1.63,101156,0
KDLY.US,D,20240827,000000,1.63,1.63,1.45,1.48,183332,0
KDLY.US,D,20240828,000000,1.45,1.45,1.3193,1.3669,256554,0
KDLY.US,D,20240829,000000,1.36,1.36,1.07,1.22,222656,0
KDLY.US,D,20240830,000000,1.23,1.2699,1.16,1.2,63850,0
KDLY.US,D,20240903,000000,1.22,1.2799,1.12,1.17,49197,0
KDLY.US,D,20240904,000000,1.13,1.28,1.115,1.27,102943,0
KDLY.US,D,20240905,000000,1.24,1.35,1.19,1.33,127534,0
KDLY.US,D,20240906,000000,1.31,1.43,1.3,1.335,71949,0
KDLY.US,D,20240909,000000,1.34,1.3899,1.18,1.32,48354,0
KDLY.US,D,20240910,000000,1.3575,1.3575,1.26,1.285,27963,0
KDLY.US,D,20240911,000000,1.3399,1.3399,1.2301,1.28,29283,0
KDLY.US,D,20240912,000000,1.265,1.28,1.165,1.24,34640,0
KDLY.US,D,20240913,000000,1.228,1.2799,1.22,1.2699,17418,0
KDLY.US,D,20240916,000000,1.27,1.31,1.2101,1.265,26249,0
KDLY.US,D,20240917,000000,1.29,1.3,1.25,1.27,23049,0
KDLY.US,D,20240918,000000,1.27,1.3,1.23,1.2729,21678,0
KDLY.US,D,20240919,000000,1.25,1.2857,1.23,1.2725,15676,0
KDLY.US,D,20240920,000000,1.251,1.3,1.2,1.2,32403,0
KDLY.US,D,20240923,000000,1.2291,1.248,1.205,1.23,15856,0
KDLY.US,D,20240924,000000,1.23,1.24,1.19,1.2099,45572,0
KDLY.US,D,20240925,000000,1.21,1.285,1.2,1.2279,53606,0
KDLY.US,D,20240926,000000,1.25,1.2664,1.11,1.135,104853,0
KDLY.US,D,20240927,000000,1.2393,1.2399,1.06,1.1085,84262,0
KDLY.US,D,20240930,000000,1.14,1.14,1.04,1.05,48478,0
KDLY.US,D,20241001,000000,1.05,1.0899,1,1.0599,33496,0
KDLY.US,D,20241002,000000,1.04,1.0499,1,1.0383,50687,0
KDLY.US,D,20241003,000000,1.04,1.04,1,1.0199,41832,0
KDLY.US,D,20241004,000000,1.0177,1.0398,1,1.033,23087,0
KDLY.US,D,20241007,000000,1.03,1.09,1.01,1.09,26512,0
KDLY.US,D,20241008,000000,1.1,1.1836,0.88,1.075,1676946,0
KDLY.US,D,20241009,000000,1.16,1.37,1.09,1.37,657897,0
KDLY.US,D,20241010,000000,1.27,1.5,1.19,1.28,411142,0
KDLY.US,D,20241011,000000,1.25,1.48,1.25,1.39,393744,0
KDLY.US,D,20241014,000000,1.36,1.36,1.2,1.2,155441,0
KDLY.US,D,20241015,000000,1.21,1.32,1.21,1.24,221285,0
KDLY.US,D,20241016,000000,1.18,1.2,1.07,1.2,147313,0
KDLY.US,D,20241017,000000,1.18,1.22,1.16,1.22,33926,0
KDLY.US,D,20241018,000000,1.16,1.55,1.16,1.48,837141,0
KDLY.US,D,20241021,000000,1.43,1.45,1.32,1.34,144559,0
KDLY.US,D,20241022,000000,1.34,1.4,1.23,1.25,255919,0
KDLY.US,D,20241023,000000,1.21,1.26,1.085,1.11,65781,0
KDLY.US,D,20241024,000000,1.12,1.12,1.04,1.06,67875,0
KDLY.US,D,20241025,000000,1.07,1.1599,0.97,1.02,103979,0
KDLY.US,D,20241028,000000,1.04,1.0401,0.88,0.8884,177273,0
KDLY.US,D,20241029,000000,0.945,1.29,0.8928,1.01,6004207,0
