<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KITT.US,D,20210805,000000,9.76,9.76,9.76,9.76,41043,0
KITT.US,D,20210806,000000,9.76,9.78,9.76,9.76,608284,0
KITT.US,D,20210809,000000,9.77,9.775,9.76,9.77,50201,0
KITT.US,D,20210810,000000,9.7605,9.81,9.7605,9.77,35729,0
KITT.US,D,20210811,000000,9.75,9.77,9.74,9.74,18956,0
KITT.US,D,20210812,000000,9.76,9.8,9.74,9.76,926568,0
KITT.US,D,20210813,000000,9.7647,9.77,9.74,9.77,162552,0
KITT.US,D,20210816,000000,9.76,9.76,9.75,9.75,89459,0
KITT.US,D,20210817,000000,9.76,9.81,9.75,9.81,163360,0
KITT.US,D,20210818,000000,9.8,9.8094,9.79,9.8094,5505,0
KITT.US,D,20210819,000000,9.79,9.8092,9.79,9.8092,17365,0
KITT.US,D,20210820,000000,9.8,9.81,9.8,9.81,19950,0
KITT.US,D,20210823,000000,9.86,9.86,9.7601,9.84,1535,0
KITT.US,D,20210824,000000,9.84,9.85,9.84,9.85,9628,0
KITT.US,D,20210825,000000,9.84,9.85,9.84,9.85,5272,0
KITT.US,D,20210830,000000,9.8405,9.85,9.795,9.795,83280,0
KITT.US,D,20210831,000000,9.84,9.8473,9.83,9.8389,6860,0
KITT.US,D,20210901,000000,9.83,9.84,9.83,9.84,1260,0
KITT.US,D,20210902,000000,9.86,9.86,9.86,9.86,1286,0
KITT.US,D,20210903,000000,9.86,9.86,9.86,9.86,1015,0
KITT.US,D,20210907,000000,9.86,9.86,9.83,9.86,13997,0
KITT.US,D,20210908,000000,9.86,9.88,9.86,9.88,9613,0
KITT.US,D,20210910,000000,9.88,9.88,9.88,9.88,401017,0
KITT.US,D,20210914,000000,9.89,9.91,9.89,9.9,6312,0
KITT.US,D,20210915,000000,9.91,9.92,9.91,9.92,1849,0
KITT.US,D,20210916,000000,9.91,9.93,9.91,9.9101,31496,0
KITT.US,D,20210917,000000,9.91,9.91,9.91,9.91,1213,0
KITT.US,D,20210921,000000,10.1,10.1,9.92,9.93,2629,0
KITT.US,D,20210923,000000,9.92,9.92,9.92,9.92,206,0
KITT.US,D,20210930,000000,9.9299,9.93,9.92,9.93,31176,0
KITT.US,D,20211004,000000,9.93,9.93,9.93,9.93,611,0
KITT.US,D,20211007,000000,9.94,9.94,9.92,9.92,3510,0
KITT.US,D,20211011,000000,9.93,9.93,9.93,9.93,1005,0
KITT.US,D,20211013,000000,9.94,9.94,9.94,9.94,1016,0
KITT.US,D,20211014,000000,9.98,9.98,9.92,9.92,10241,0
KITT.US,D,20211015,000000,9.95,9.95,9.94,9.94,100202,0
KITT.US,D,20211018,000000,10.93,10.93,10.01,10.01,1005,0
KITT.US,D,20211019,000000,10.09,10.09,9.91,9.91,805,0
KITT.US,D,20211020,000000,9.9289,9.9289,9.9289,9.9289,176,0
KITT.US,D,20211022,000000,9.94,9.94,9.92,9.932,684,0
KITT.US,D,20211025,000000,9.95,9.95,9.9499,9.9499,22841,0
KITT.US,D,20211026,000000,9.97,9.97,9.95,9.955,13218,0
KITT.US,D,20211028,000000,9.96,9.96,9.96,9.96,100,0
KITT.US,D,20211029,000000,9.91,9.95,9.91,9.95,302250,0
KITT.US,D,20211101,000000,9.9677,9.9677,9.96,9.96,730,0
KITT.US,D,20211102,000000,9.96,9.96,9.96,9.96,3036,0
KITT.US,D,20211103,000000,9.9577,9.9577,9.93,9.9577,311,0
KITT.US,D,20211104,000000,9.96,9.96,9.945,9.95,4801,0
KITT.US,D,20211108,000000,9.95,9.95,9.95,9.95,200,0
KITT.US,D,20211109,000000,9.95,9.95,9.95,9.95,116000,0
KITT.US,D,20211110,000000,9.94,9.96,9.94,9.96,6120,0
KITT.US,D,20211111,000000,9.94,9.9401,9.94,9.9401,210,0
KITT.US,D,20211115,000000,9.9561,9.9582,9.9561,9.9582,920,0
KITT.US,D,20211118,000000,9.945,9.945,9.94,9.94,658,0
KITT.US,D,20211119,000000,9.94,9.95,9.94,9.95,1937,0
KITT.US,D,20211122,000000,9.94,9.95,9.94,9.95,1143,0
KITT.US,D,20211123,000000,10.09,10.09,10.015,10.015,2597,0
KITT.US,D,20211124,000000,9.945,9.945,9.945,9.945,128,0
KITT.US,D,20211126,000000,9.94,9.94,9.91,9.935,108710,0
KITT.US,D,20211130,000000,9.95,9.95,9.95,9.95,100,0
KITT.US,D,20211206,000000,9.97,9.97,9.93,9.95,11400,0
KITT.US,D,20211207,000000,9.94,9.94,9.93,9.9301,6300,0
KITT.US,D,20211208,000000,9.94,10,9.93,10,106895,0
KITT.US,D,20211209,000000,9.99,10,9.99,10,1142,0
KITT.US,D,20211210,000000,10,10,10,10,134,0
KITT.US,D,20211213,000000,9.96,9.96,9.96,9.96,344085,0
KITT.US,D,20211214,000000,10,10,10,10,100,0
KITT.US,D,20211215,000000,10,10,9.97,9.97,3996,0
KITT.US,D,20211216,000000,9.85,9.96,9.85,9.92,155295,0
KITT.US,D,20211217,000000,9.94,10.05,9.93,10.05,1321457,0
KITT.US,D,20211220,000000,10.1,10.1,9.9301,9.935,129335,0
KITT.US,D,20211221,000000,9.94,9.96,9.93,9.93,776748,0
KITT.US,D,20211222,000000,9.945,9.945,9.91,9.91,1083881,0
KITT.US,D,20211223,000000,9.94,9.95,9.92,9.94,192982,0
KITT.US,D,20211227,000000,9.96,10.02,9.95,9.95,4750,0
KITT.US,D,20211228,000000,9.995,9.995,9.94,9.96,11270,0
KITT.US,D,20211229,000000,9.94,9.96,9.94,9.95,3991,0
KITT.US,D,20211230,000000,9.9499,9.9499,9.9499,9.9499,262,0
