<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KLTO.US,D,20240126,000000,10.95,10.95,10.93,10.93,200,0
KLTO.US,D,20240129,000000,10.78,10.78,10.78,10.78,1050,0
KLTO.US,D,20240130,000000,10.77,10.78,10.77,10.78,421854,0
KLTO.US,D,20240214,000000,10.84,10.89,10.79,10.89,60749,0
KLTO.US,D,20240215,000000,10.85,10.87,10.85,10.87,5843,0
KLTO.US,D,20240220,000000,10.86,10.87,10.8499,10.86,40679,0
KLTO.US,D,20240221,000000,10.87,10.88,10.8699,10.87,4488,0
KLTO.US,D,20240222,000000,10.86,10.86,10.85,10.85,589,0
KLTO.US,D,20240223,000000,10.87,10.87,10.86,10.87,1811,0
KLTO.US,D,20240226,000000,10.87,10.89,10.87,10.89,2774,0
KLTO.US,D,20240227,000000,10.89,10.89,10.8899,10.8899,2068,0
KLTO.US,D,20240228,000000,10.8901,10.8901,10.8901,10.8901,262,0
KLTO.US,D,20240229,000000,10.92,10.9306,10.9047,10.93,22680,0
KLTO.US,D,20240301,000000,10.928,10.94,10.928,10.9382,36758,0
KLTO.US,D,20240304,000000,10.94,10.96,10.93,10.95,24998,0
KLTO.US,D,20240305,000000,10.44,10.6,10,10.45,5448,0
KLTO.US,D,20240308,000000,9.6,10.53,9.5,10.53,2047,0
KLTO.US,D,20240311,000000,9.35,9.55,9.35,9.55,320,0
KLTO.US,D,20240312,000000,10.36,10.4737,10.2,10.4,3218,0
KLTO.US,D,20240313,000000,9.71,9.71,9.71,9.71,128,0
KLTO.US,D,20240315,000000,10.17,10.35,10.17,10.35,330,0
KLTO.US,D,20240318,000000,9.76,9.76,9.5,9.5,597,0
KLTO.US,D,20240319,000000,10,12.08,9.9506,12.08,3276,0
KLTO.US,D,20240320,000000,12.685,12.9,10.27,10.28,4871,0
KLTO.US,D,20240322,000000,9.75,12.41,9.75,12.39,3068,0
KLTO.US,D,20240325,000000,10.97,11.1,10.97,10.97,1204,0
KLTO.US,D,20240326,000000,9.92,9.92,8.93,9.7707,3035,0
KLTO.US,D,20240327,000000,10.05,10.05,10.05,10.05,324,0
KLTO.US,D,20240328,000000,10.9,12.22,10.615,11.97,3180,0
KLTO.US,D,20240401,000000,12,12.65,11.35,12.65,2187,0
KLTO.US,D,20240402,000000,11.39,11.83,9.8801,10.49,5383,0
KLTO.US,D,20240403,000000,10.55,10.55,10.51,10.51,1165,0
KLTO.US,D,20240405,000000,9.05,9.35,8.05,9.2266,3338,0
KLTO.US,D,20240408,000000,9.76,10.57,9.76,10.41,2139,0
KLTO.US,D,20240409,000000,10.61,11,10.61,11,805,0
KLTO.US,D,20240410,000000,11,11,11,11,510,0
KLTO.US,D,20240412,000000,10.5,10.5,9.45,10.4,1047,0
KLTO.US,D,20240417,000000,9.31,9.31,8.1306,8.6899,3404,0
KLTO.US,D,20240418,000000,7.99,7.9966,7.99,7.9966,3169,0
KLTO.US,D,20240419,000000,11.26,13.1,9.38,9.54,6114020,0
KLTO.US,D,20240422,000000,8.82,9.25,7.7601,8.845,230662,0
KLTO.US,D,20240423,000000,8.16,8.17,6.81,7.19,90971,0
KLTO.US,D,20240424,000000,7,7.4,6.31,6.31,70606,0
KLTO.US,D,20240425,000000,6.33,6.37,4.98,6.07,183140,0
KLTO.US,D,20240426,000000,5.61,7.74,5.6,7.42,85796,0
KLTO.US,D,20240429,000000,7.39,7.7863,6.5,7,55444,0
KLTO.US,D,20240430,000000,6.99,7.8,6.86,7.4,35744,0
KLTO.US,D,20240501,000000,7.4,7.4,5.8,6.2,44616,0
KLTO.US,D,20240502,000000,6.9899,7.17,6.48,6.99,39733,0
KLTO.US,D,20240503,000000,6.89,7.2,6.21,6.61,11632,0
KLTO.US,D,20240506,000000,6.35,6.75,5.79,6.35,31472,0
KLTO.US,D,20240507,000000,6.75,11.0499,6.5201,6.79,510104,0
KLTO.US,D,20240508,000000,6.55,7.4,6.55,7.01,41752,0
KLTO.US,D,20240509,000000,7,7,6.26,6.5,18567,0
KLTO.US,D,20240510,000000,5.96,6.4399,5.83,6.04,76923,0
KLTO.US,D,20240513,000000,6.16,6.19,5.8249,6.03,13660,0
KLTO.US,D,20240514,000000,6.41,6.58,6.0333,6.245,12580,0
KLTO.US,D,20240515,000000,5.99,6.12,5.73,6.03,20209,0
KLTO.US,D,20240516,000000,6.25,6.55,6.0101,6.0101,22665,0
KLTO.US,D,20240517,000000,6.176,6.5,6.03,6.0501,14156,0
KLTO.US,D,20240520,000000,5.98,6.18,5.8,6.11,12288,0
KLTO.US,D,20240521,000000,5.83,6.1,5.5824,6.1,3949,0
KLTO.US,D,20240522,000000,5.77,5.95,5.75,5.85,4599,0
KLTO.US,D,20240523,000000,6.46,6.46,5.31,5.31,13272,0
KLTO.US,D,20240524,000000,5.8,6.27,5.5254,6.0796,6639,0
KLTO.US,D,20240528,000000,6.08,6.08,5.3,5.51,3124,0
KLTO.US,D,20240529,000000,5.54,6.105,5.54,6,9482,0
KLTO.US,D,20240530,000000,5.745,6.13,5.51,5.7,4193,0
KLTO.US,D,20240531,000000,6.1,8.11,5.7,6.42,130539,0
KLTO.US,D,20240603,000000,6.17,6.27,5.8,5.83,9108,0
KLTO.US,D,20240604,000000,5.83,6.41,5.77,6.41,2261,0
KLTO.US,D,20240605,000000,5.83,6.27,5.72,6.27,7701,0
KLTO.US,D,20240606,000000,6.06,6.378,5.65,5.65,7254,0
KLTO.US,D,20240607,000000,5.724,5.805,5.57,5.65,1937,0
KLTO.US,D,20240610,000000,5.88,5.92,5.5,5.51,92684,0
KLTO.US,D,20240611,000000,5.84,7.35,5.4,6.05,111838,0
KLTO.US,D,20240612,000000,6.22,6.81,6.22,6.5,18564,0
KLTO.US,D,20240613,000000,6.83,6.83,6.2,6.5101,7598,0
KLTO.US,D,20240614,000000,5.875,6.2,5.6001,6.17,8907,0
KLTO.US,D,20240617,000000,6.15,6.15,5.79,5.8,6220,0
