<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KVACU.US,D,20230725,000000,10.1,10.12,10.08,10.08,15901497,0
KVACU.US,D,20230726,000000,10.09,10.11,10.08,10.08,1605265,0
KVACU.US,D,20230727,000000,10.0982,10.1,10.09,10.1,108914,0
KVACU.US,D,20230728,000000,10.1,10.1,10.07,10.1,161673,0
KVACU.US,D,20230731,000000,10.1,10.1,10.09,10.09,9623,0
KVACU.US,D,20230801,000000,10.1,10.1,10.09,10.1,9572,0
KVACU.US,D,20230802,000000,10.0999,10.1,10.08,10.08,33273,0
KVACU.US,D,20230803,000000,10.095,10.1,10.09,10.1,4660,0
KVACU.US,D,20230804,000000,10.1,10.1,10.09,10.09,3914,0
KVACU.US,D,20230807,000000,10.1,10.105,10.0987,10.1,83727,0
KVACU.US,D,20230808,000000,10.11,10.15,10.11,10.15,1556,0
KVACU.US,D,20230809,000000,10.11,10.14,10.11,10.14,57008,0
KVACU.US,D,20230810,000000,10.1149,10.14,10.1149,10.14,300,0
KVACU.US,D,20230814,000000,10.11,10.14,10.11,10.14,1794,0
KVACU.US,D,20230815,000000,10.13,10.15,10.13,10.15,366943,0
KVACU.US,D,20230816,000000,10.1463,10.15,10.11,10.13,35868,0
KVACU.US,D,20230817,000000,10.15,10.15,10.13,10.13,4740,0
KVACU.US,D,20230818,000000,10.15,10.15,10.15,10.15,294,0
KVACU.US,D,20230821,000000,10.15,10.15,10.14,10.14,169472,0
KVACU.US,D,20230822,000000,10.15,10.15,10.14,10.14,132601,0
KVACU.US,D,20230823,000000,10.15,10.15,10.15,10.15,124,0
KVACU.US,D,20230824,000000,10.14,10.15,10.14,10.14,8605,0
KVACU.US,D,20230825,000000,10.1499,10.15,10.1499,10.15,187721,0
KVACU.US,D,20230828,000000,10.14,10.17,10.14,10.15,10020,0
KVACU.US,D,20230830,000000,10.16,10.17,10.16,10.17,23462,0
KVACU.US,D,20230831,000000,10.18,10.18,10.18,10.18,537,0
KVACU.US,D,20230901,000000,10.18,10.18,10.18,10.18,404,0
KVACU.US,D,20230905,000000,10.16,10.19,10.16,10.19,11179,0
KVACU.US,D,20230906,000000,10.19,10.27,10.19,10.2,19589,0
KVACU.US,D,20230907,000000,10.1941,10.2,10.17,10.2,800,0
KVACU.US,D,20230908,000000,10.18,10.2,10.18,10.2,1872,0
KVACU.US,D,20230911,000000,10.18,10.2,10.18,10.19,13175,0
KVACU.US,D,20230912,000000,10.34,10.34,10.21,10.21,400,0
KVACU.US,D,20230913,000000,10.2,10.21,10.19,10.2,23758,0
KVACU.US,D,20230914,000000,10.2066,10.42,10.2066,10.23,78063,0
KVACU.US,D,20230915,000000,10.3,10.3,10.23,10.23,30534,0
KVACU.US,D,20230918,000000,10.2,10.2,10.2,10.2,743,0
KVACU.US,D,20230920,000000,10.27,10.27,10.27,10.27,219,0
KVACU.US,D,20230922,000000,10.25,10.25,10.25,10.25,1084,0
KVACU.US,D,20230926,000000,10.23,10.23,10.23,10.23,797,0
KVACU.US,D,20230927,000000,10.23,10.23,10.23,10.23,280,0
KVACU.US,D,20230928,000000,10.23,10.24,10.23,10.24,210660,0
KVACU.US,D,20230929,000000,10.27,10.27,10.27,10.27,206,0
KVACU.US,D,20231003,000000,10.25,10.25,10.2492,10.25,1000,0
KVACU.US,D,20231006,000000,10.27,10.29,10.25,10.25,44670,0
KVACU.US,D,20231010,000000,10.2499,10.25,10.24,10.25,7049,0
KVACU.US,D,20231011,000000,10.26,10.27,10.26,10.27,8200,0
KVACU.US,D,20231013,000000,10.26,10.26,10.26,10.26,5100,0
KVACU.US,D,20231016,000000,10.3,10.32,10.2708,10.32,17158,0
KVACU.US,D,20231017,000000,10.32,10.32,10.285,10.285,9100,0
KVACU.US,D,20231018,000000,10.32,10.33,10.32,10.33,1506,0
KVACU.US,D,20231020,000000,10.31,10.31,10.31,10.31,161,0
KVACU.US,D,20231023,000000,10.32,10.32,10.32,10.32,161,0
KVACU.US,D,20231024,000000,10.32,10.32,10.25,10.32,3007,0
KVACU.US,D,20231106,000000,10.25,10.25,10.25,10.25,110,0
KVACU.US,D,20231109,000000,10.2825,10.2825,10.28,10.28,7138,0
KVACU.US,D,20231110,000000,10.27,10.2891,10.27,10.2802,5915,0
KVACU.US,D,20231117,000000,10.32,10.32,10.32,10.32,200,0
KVACU.US,D,20231121,000000,10.31,10.313,10.3,10.3,17909,0
KVACU.US,D,20231130,000000,10.31,10.31,10.31,10.31,400,0
KVACU.US,D,20231201,000000,10.33,10.33,10.31,10.31,450,0
