<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LARK.US,D,20050225,000000,10.2931,10.2931,9.95219,9.95219,4083.8174755805,0
LARK.US,D,20050228,000000,10.1199,10.2931,10.1199,10.2931,2037.5865844294,0
LARK.US,D,20050302,000000,10.1279,10.1279,10.1279,10.1279,11952.606394358,0
LARK.US,D,20050304,000000,9.94733,9.94733,9.94733,9.94733,568.05444171968,0
LARK.US,D,20050307,000000,10.4609,10.4609,10.4609,10.4609,838.49775201667,0
LARK.US,D,20050308,000000,9.95714,9.95714,9.95714,9.95714,698.95394350725,0
LARK.US,D,20050323,000000,9.94733,9.94733,9.94733,9.94733,285.26212182011,0
LARK.US,D,20050324,000000,9.94733,9.94733,9.93029,9.93029,866.90047410265,0
LARK.US,D,20050328,000000,9.77733,9.77733,9.77733,9.77733,1458.4180340673,0
LARK.US,D,20050330,000000,9.77733,9.77733,9.77733,9.77733,753.28958575872,0
LARK.US,D,20050331,000000,10.2931,10.2931,9.77733,9.77733,1253.4244746641,0
LARK.US,D,20050406,000000,9.77733,9.77733,9.77733,9.77733,1013.8536883736,0
LARK.US,D,20050407,000000,10.0107,10.0107,9.99419,9.99419,586.5779561236,0
LARK.US,D,20050411,000000,9.83,9.86076,9.83,9.86076,586.5779561236,0
LARK.US,D,20050413,000000,9.77733,9.77733,9.77733,9.77733,670.55122142128,0
LARK.US,D,20050420,000000,10.2931,10.464,10.2931,10.464,866.90047410265,0
LARK.US,D,20050421,000000,10.1507,10.1507,10.1507,10.1507,285.26212182011,0
LARK.US,D,20050502,000000,10.2931,10.2931,10.2931,10.2931,414.92672264742,0
LARK.US,D,20050504,000000,9.95219,10.1466,9.9441,10.1466,3239.1452187624,0
LARK.US,D,20050506,000000,9.604,9.604,9.604,9.604,517.42350234903,0
LARK.US,D,20050510,000000,9.65029,9.65029,9.65029,9.65029,1164.5116055253,0
LARK.US,D,20050512,000000,9.77733,9.77733,9.02669,9.12543,60093.985429141,0
LARK.US,D,20050513,000000,9.2373,9.29547,9.18291,9.29547,6113.9946542483,0
LARK.US,D,20050516,000000,9.08577,9.08577,9.08577,9.08577,285.26212182011,0
LARK.US,D,20050517,000000,9.22749,9.22749,9.21366,9.22749,10494.188360291,0
LARK.US,D,20050518,000000,9.50347,9.51317,9.4575,9.4575,1164.5116055253,0
LARK.US,D,20050519,000000,9.52147,9.57648,9.52147,9.57648,586.5779561236,0
LARK.US,D,20050520,000000,9.85029,9.85029,9.85029,9.85029,285.26212182011,0
LARK.US,D,20050523,000000,9.84438,9.84438,9.54971,9.54971,2180.8350958196,0
LARK.US,D,20050524,000000,9.4347,9.4347,9.4347,9.4347,5313.7788319996,0
LARK.US,D,20050525,000000,9.34642,9.34642,9.10853,9.11244,2042.5261882705,0
LARK.US,D,20050526,000000,9.08577,9.17733,9.08577,9.17733,8162.6953473198,0
LARK.US,D,20050527,000000,9.17733,9.17733,9.17733,9.17733,439.62474185263,0
LARK.US,D,20050601,000000,9.17733,9.19508,9.17733,9.19508,7434.1037807664,0
LARK.US,D,20050602,000000,9.12543,9.12543,9.08978,9.08978,2615.520233831,0
LARK.US,D,20050606,000000,8.9198,8.9198,8.78207,8.78207,1164.5116055253,0
LARK.US,D,20050607,000000,8.70036,8.70036,8.70036,8.70036,779.22250592417,0
LARK.US,D,20050608,000000,8.70036,8.70036,8.70036,8.70036,285.26212182011,0
LARK.US,D,20050609,000000,8.70036,8.70036,8.66143,8.66143,3026.7422535975,0
LARK.US,D,20050610,000000,8.66143,8.66143,8.66143,8.66143,1458.4180340673,0
LARK.US,D,20050613,000000,8.7343,8.9586,8.7343,8.87281,13881.521694284,0
LARK.US,D,20050614,000000,8.9198,9.0339,8.9198,8.9198,4561.7241472012,0
LARK.US,D,20050615,000000,8.90271,8.90271,8.90271,8.90271,1164.5116055253,0
LARK.US,D,20050616,000000,8.82016,8.82016,8.82016,8.82016,4224.59618505,0
LARK.US,D,20050617,000000,9.15784,9.15784,8.74807,8.74807,14868.207561535,0
LARK.US,D,20050620,000000,8.64357,8.64357,8.50916,8.50916,586.5779561236,0
LARK.US,D,20050621,000000,8.50916,8.50916,8.50916,8.50916,460.61805817706,0
LARK.US,D,20050622,000000,8.50916,8.50916,8.47437,8.47437,3393.507838795,0
LARK.US,D,20050623,000000,8.45413,8.45413,8.45413,8.45413,875.54478082447,0
LARK.US,D,20050624,000000,8.70601,8.70601,8.44033,8.44033,1458.4180340673,0
LARK.US,D,20050627,000000,8.44033,8.44033,8.44033,8.44033,849.611860659,0
LARK.US,D,20050628,000000,8.6801,8.78207,8.6801,8.78207,1458.4180340673,0
LARK.US,D,20050629,000000,8.84928,8.92791,8.6112,8.92791,6556.0891980213,0
LARK.US,D,20050630,000000,8.66143,8.66143,8.6112,8.6112,8456.6017758619,0
