<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBTYB.US,D,20230524,000000,17.49,17.8957,17,17,1019,0
LBTYB.US,D,20230605,000000,16.3,16.3001,16.3,16.3001,442,0
LBTYB.US,D,20230615,000000,17.8094,17.8094,17.41,17.41,227,0
LBTYB.US,D,20230616,000000,18.25,18.25,16.62,16.62,1424,0
LBTYB.US,D,20230707,000000,17.79,17.79,17.79,17.79,121,0
LBTYB.US,D,20230711,000000,18.42,18.43,17.8,17.827,3422,0
LBTYB.US,D,20230712,000000,17.93,17.93,17.93,17.93,220,0
LBTYB.US,D,20230718,000000,18.54,18.54,18.54,18.54,122,0
LBTYB.US,D,20230724,000000,19.74,19.75,19.74,19.7499,1798,0
LBTYB.US,D,20230725,000000,18.6981,18.6981,18.6981,18.6981,1137,0
LBTYB.US,D,20230726,000000,17.99,18,17.98,18,402,0
LBTYB.US,D,20230731,000000,19.48,19.48,19.08,19.08,1006,0
LBTYB.US,D,20230801,000000,18.6832,18.6832,18.48,18.48,319,0
LBTYB.US,D,20230803,000000,18.8311,18.85,18.8311,18.85,600,0
LBTYB.US,D,20230811,000000,18.54,18.54,18.54,18.54,114,0
LBTYB.US,D,20230814,000000,18.6159,18.6159,18.42,18.48,1176,0
LBTYB.US,D,20230823,000000,17.84,17.84,17.84,17.84,113,0
LBTYB.US,D,20230824,000000,17.57,17.57,17.57,17.57,174,0
LBTYB.US,D,20230825,000000,17.42,17.42,17.42,17.42,107,0
LBTYB.US,D,20230828,000000,17.98,17.98,17.98,17.98,111,0
LBTYB.US,D,20230911,000000,17.8,17.8,17.8,17.8,204,0
LBTYB.US,D,20230912,000000,18.1,18.1,18.1,18.1,170,0
LBTYB.US,D,20230913,000000,18.2,18.25,18.2,18.25,306,0
LBTYB.US,D,20230914,000000,18.3,18.3,18.3,18.3,119,0
LBTYB.US,D,20230915,000000,18.27,18.27,18.27,18.27,297,0
LBTYB.US,D,20230918,000000,18.8,18.8,18.8,18.8,438,0
LBTYB.US,D,20230921,000000,18.79,18.79,18.7,18.74,899,0
LBTYB.US,D,20230925,000000,17.56,17.6,17.4999,17.4999,1545,0
LBTYB.US,D,20230926,000000,18.084,18.084,16.86,16.86,533,0
LBTYB.US,D,20230927,000000,17.82,17.82,17.82,17.82,1116,0
LBTYB.US,D,20230928,000000,17.9228,18,17.27,17.9,1779,0
LBTYB.US,D,20230929,000000,17.745,17.745,17.16,17.16,1128,0
LBTYB.US,D,20231002,000000,16.6301,16.6301,16.6301,16.6301,289,0
LBTYB.US,D,20231005,000000,16.24,16.24,16.24,16.24,371,0
LBTYB.US,D,20231011,000000,17.2326,17.2326,16.6,16.6,483,0
LBTYB.US,D,20231012,000000,17.45,17.45,17.15,17.15,900,0
LBTYB.US,D,20231013,000000,16.35,16.37,16.3,16.37,2178,0
LBTYB.US,D,20231016,000000,16.81,18.44,16.81,16.84,2324,0
LBTYB.US,D,20231017,000000,16.98,16.98,16.98,16.98,952,0
LBTYB.US,D,20231018,000000,17.31,17.31,16.66,16.68,1489,0
LBTYB.US,D,20231019,000000,16.5,17,16.5,17,1425,0
LBTYB.US,D,20231020,000000,17.2,17.4899,17.2,17.4899,696,0
LBTYB.US,D,20231024,000000,16.9,17.57,15.87,16.351,2769,0
LBTYB.US,D,20231025,000000,16.1128,16.1128,16.05,16.05,519,0
LBTYB.US,D,20231026,000000,16.05,16.98,15.9,16.35,1583,0
LBTYB.US,D,20231027,000000,16.82,16.82,16,16,367,0
LBTYB.US,D,20231030,000000,15.47,16.23,15.47,16,806,0
LBTYB.US,D,20231101,000000,15.65,15.65,15.61,15.61,221,0
LBTYB.US,D,20231103,000000,17.52,17.76,16.05,17.55,3434,0
LBTYB.US,D,20231109,000000,16.78,17.76,16.78,16.78,968,0
LBTYB.US,D,20231113,000000,16.4,16.4,16.4,16.4,354,0
LBTYB.US,D,20231116,000000,16.37,16.37,16.12,16.12,588,0
LBTYB.US,D,20231117,000000,16.2501,16.2501,16.2501,16.2501,325,0
LBTYB.US,D,20231120,000000,16.46,16.745,16.46,16.745,673,0
LBTYB.US,D,20231122,000000,15.85,15.85,15.85,15.85,251,0
LBTYB.US,D,20231127,000000,15.72,15.72,15.72,15.72,344,0
LBTYB.US,D,20231129,000000,16.73,16.94,16.7,16.79,3936,0
LBTYB.US,D,20231201,000000,17.48,17.48,17.43,17.43,282,0
LBTYB.US,D,20231204,000000,16.56,16.56,16.56,16.56,656,0
LBTYB.US,D,20231206,000000,16.3,16.8,16.29,16.29,1677,0
LBTYB.US,D,20231207,000000,16.23,16.27,16.2,16.2,759,0
LBTYB.US,D,20231211,000000,16.05,16.05,16.05,16.05,571,0
LBTYB.US,D,20231213,000000,15.8,16.81,15.8,16.2,1132,0
LBTYB.US,D,20231214,000000,16.41,16.41,16.41,16.41,218,0
LBTYB.US,D,20231215,000000,16,16.5,15.95,15.95,494,0
LBTYB.US,D,20231218,000000,15.74,15.77,15.7,15.72,777,0
LBTYB.US,D,20231219,000000,16.1595,16.1595,16.1595,16.1595,318,0
LBTYB.US,D,20231220,000000,16.6,16.6,16.45,16.45,501,0
LBTYB.US,D,20231221,000000,17.3052,17.3052,17.3052,17.3052,446,0
LBTYB.US,D,20231228,000000,17.5701,17.5701,17.5701,17.5701,220,0
LBTYB.US,D,20231229,000000,17.8,17.81,17.8,17.81,889,0
LBTYB.US,D,20240108,000000,17.8674,17.9,17.8674,17.9,854,0
LBTYB.US,D,20240117,000000,18.68,18.82,18.68,18.82,1446,0
LBTYB.US,D,20240123,000000,20.9399,20.9399,20.9399,20.9399,353,0
LBTYB.US,D,20240126,000000,20.75,21,20.75,21,313,0
LBTYB.US,D,20240129,000000,20.73,21.7699,20.2701,20.2701,687,0
LBTYB.US,D,20240205,000000,20.06,20.09,20.06,20.08,2148,0
LBTYB.US,D,20240206,000000,19.99,20,19.99,20,4024,0
LBTYB.US,D,20240207,000000,20,20,20,20,5466,0
LBTYB.US,D,20240208,000000,19.25,20.1,19.25,20.1,1197,0
LBTYB.US,D,20240212,000000,19.8233,19.8233,19.8233,19.8233,642,0
LBTYB.US,D,20240215,000000,19.37,19.3701,19.37,19.3701,643,0
LBTYB.US,D,20240216,000000,18.66,18.66,18.66,18.66,232,0
LBTYB.US,D,20240220,000000,18.6,18.87,18.6,18.87,799,0
LBTYB.US,D,20240222,000000,17.63,17.66,17.63,17.65,928,0
LBTYB.US,D,20240227,000000,18.1001,18.1001,18.1001,18.1001,126,0
LBTYB.US,D,20240228,000000,17.7001,17.7001,17.7001,17.7001,297,0
LBTYB.US,D,20240304,000000,17.51,17.51,17.51,17.51,505,0
LBTYB.US,D,20240307,000000,17.0701,17.15,17.0701,17.15,514,0
LBTYB.US,D,20240308,000000,17.45,17.45,17.45,17.45,170,0
LBTYB.US,D,20240311,000000,17.66,17.75,17.66,17.74,1345,0
LBTYB.US,D,20240313,000000,17.39,17.5486,17.21,17.21,14270,0
LBTYB.US,D,20240314,000000,17.08,18,17.08,18,2388,0
LBTYB.US,D,20240319,000000,17.69,17.69,16.99,16.99,409,0
LBTYB.US,D,20240326,000000,16.76,16.76,16.76,16.76,109,0
LBTYB.US,D,20240327,000000,17.05,17.05,17.05,17.05,233,0
LBTYB.US,D,20240328,000000,16.97,16.97,16.87,16.95,3996,0
LBTYB.US,D,20240401,000000,17.5212,17.5212,17.5212,17.5212,338,0
LBTYB.US,D,20240402,000000,16.5,17.16,16.5,17.16,547,0
LBTYB.US,D,20240408,000000,17.13,17.13,17.13,17.13,177,0
LBTYB.US,D,20240409,000000,17.32,17.32,17.25,17.25,385,0
LBTYB.US,D,20240410,000000,17.13,17.13,17.13,17.13,146,0
LBTYB.US,D,20240416,000000,16.94,16.94,16.94,16.94,375,0
LBTYB.US,D,20240417,000000,16.4,16.5102,16.09,16.18,4705,0
LBTYB.US,D,20240418,000000,16.48,16.48,16.48,16.48,369,0
LBTYB.US,D,20240419,000000,16.33,16.33,16.33,16.33,357,0
LBTYB.US,D,20240429,000000,16.25,16.25,16.25,16.25,36502,0
LBTYB.US,D,20240430,000000,16.4,16.48,16.01,16.03,1951,0
LBTYB.US,D,20240501,000000,16.29,16.29,16.29,16.29,8695,0
LBTYB.US,D,20240506,000000,17.49,17.5,17.36,17.5,1257,0
LBTYB.US,D,20240507,000000,17.4,17.66,17.39,17.66,18383,0
LBTYB.US,D,20240508,000000,18.01,18.01,16.8775,16.8775,19845,0
LBTYB.US,D,20240509,000000,17.23,17.23,16.5,17.2,2521,0
LBTYB.US,D,20240510,000000,18.19,18.19,16.67,16.7,8512,0
LBTYB.US,D,20240516,000000,17.17,17.17,17.17,17.17,425,0
LBTYB.US,D,20240517,000000,17.32,17.8732,17.32,17.8732,735,0
LBTYB.US,D,20240523,000000,16.64,16.88,16.64,16.88,977,0
LBTYB.US,D,20240524,000000,16.85,16.9,16.85,16.9,481,0
LBTYB.US,D,20240528,000000,18.1226,18.1226,18.1226,18.1226,223,0
LBTYB.US,D,20240529,000000,16.34,16.8441,16.34,16.8441,1372,0
LBTYB.US,D,20240530,000000,16.85,16.85,16.12,16.1401,2799,0
LBTYB.US,D,20240603,000000,16.5,16.5,16.36,16.5,1385,0
LBTYB.US,D,20240604,000000,16.7,17.745,16.7,17.745,1810,0
LBTYB.US,D,20240605,000000,18.07,18.07,17.765,18,1094,0
LBTYB.US,D,20240606,000000,18.56,18.56,18.56,18.56,121,0
LBTYB.US,D,20240607,000000,18.6,18.6,18.6,18.6,122,0
LBTYB.US,D,20240611,000000,18.1,18.1,18.1,18.1,207,0
LBTYB.US,D,20240617,000000,17.5,17.5,17.5,17.5,286,0
LBTYB.US,D,20240618,000000,17.18,17.18,17.18,17.18,231,0
