<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGCL.US,D,20240305,000000,5,5,3.61,3.61,1431600,0
LGCL.US,D,20240306,000000,3.51,3.87,3.37,3.83,387883,0
LGCL.US,D,20240307,000000,3.81,3.81,3.21,3.23,150373,0
LGCL.US,D,20240308,000000,3.29,3.48,3.1,3.21,93906,0
LGCL.US,D,20240311,000000,3.13,3.13,2.72,2.99,128821,0
LGCL.US,D,20240312,000000,2.93,3.88,2.93,3.54,541636,0
LGCL.US,D,20240313,000000,3.57,3.7,3.22,3.42,90721,0
LGCL.US,D,20240314,000000,3.32,3.45,2.8542,2.91,50352,0
LGCL.US,D,20240315,000000,3.0165,3.36,3.0165,3.3,51775,0
LGCL.US,D,20240318,000000,3.4,3.4,2.93,3.1,68440,0
LGCL.US,D,20240319,000000,3.01,3.4,2.9101,3.37,29720,0
LGCL.US,D,20240320,000000,3.23,3.3876,3.1,3.26,32116,0
LGCL.US,D,20240321,000000,3.37,3.54,3.3,3.38,73419,0
LGCL.US,D,20240322,000000,3.367,3.4441,3.24,3.3698,22688,0
LGCL.US,D,20240325,000000,3.33,3.5346,3.26,3.28,19258,0
LGCL.US,D,20240326,000000,3.31,3.405,3.11,3.215,14592,0
LGCL.US,D,20240327,000000,3.24,3.39,3.06,3.06,37257,0
LGCL.US,D,20240328,000000,3.06,3.25,2.8,2.92,31805,0
LGCL.US,D,20240401,000000,2.95,3.09,2.85,2.88,17415,0
LGCL.US,D,20240402,000000,2.88,2.96,2.7,2.7338,31786,0
LGCL.US,D,20240403,000000,2.8,2.8,2.35,2.35,68128,0
LGCL.US,D,20240404,000000,2.46,2.55,2.1,2.3,222064,0
LGCL.US,D,20240405,000000,2.375,2.375,2.02,2.14,20569,0
LGCL.US,D,20240408,000000,2.15,2.6,2.15,2.32,18064,0
LGCL.US,D,20240409,000000,2.41,2.42,2.33,2.37,11426,0
LGCL.US,D,20240410,000000,2.385,2.56,2.38,2.51,16971,0
LGCL.US,D,20240411,000000,2.5,2.5885,2.46,2.54,10827,0
LGCL.US,D,20240412,000000,2.51,2.64,2.44,2.5439,29710,0
LGCL.US,D,20240415,000000,2.55,2.55,2.16,2.19,115298,0
LGCL.US,D,20240416,000000,2.19,2.45,2.19,2.42,101537,0
LGCL.US,D,20240417,000000,2.41,2.55,2.31,2.4406,151930,0
LGCL.US,D,20240418,000000,2.4588,2.61,2.3385,2.54,168817,0
LGCL.US,D,20240419,000000,2.51,2.6599,2.35,2.6,170341,0
LGCL.US,D,20240422,000000,2.513,2.63,2.43,2.53,151476,0
LGCL.US,D,20240423,000000,2.51,2.605,2.4,2.56,190032,0
LGCL.US,D,20240424,000000,2.59,2.62,2.45,2.5,202411,0
LGCL.US,D,20240425,000000,2.5,2.65,2.45,2.49,255984,0
LGCL.US,D,20240426,000000,2.56,2.59,2.44,2.52,412295,0
LGCL.US,D,20240429,000000,2.55,2.75,2.51,2.65,1018031,0
LGCL.US,D,20240430,000000,2.47,3,2.4406,2.8,1071244,0
LGCL.US,D,20240501,000000,2.66,3.12,2.62,2.94,553156,0
LGCL.US,D,20240502,000000,2.98,3.2,2.7,3.07,703450,0
LGCL.US,D,20240503,000000,3.12,3.202,3,3.14,654664,0
LGCL.US,D,20240506,000000,3.03,3.27,2.91,3.19,573269,0
LGCL.US,D,20240507,000000,3.266,3.45,3.21,3.43,458238,0
LGCL.US,D,20240508,000000,3.4,3.6,3.328,3.56,461873,0
LGCL.US,D,20240509,000000,3.4116,3.74,3.4116,3.72,383066,0
LGCL.US,D,20240510,000000,3.74,3.76,3.32,3.66,355146,0
LGCL.US,D,20240513,000000,3.652,3.71,3.55,3.56,318316,0
LGCL.US,D,20240514,000000,3.54,3.57,3.28,3.3,253496,0
LGCL.US,D,20240515,000000,3.07,3.26,2.9801,3.23,267724,0
LGCL.US,D,20240516,000000,3.2,3.43,3.1,3.39,399645,0
LGCL.US,D,20240517,000000,3.28,3.43,3,3.18,584692,0
LGCL.US,D,20240520,000000,2.997,3.27,2.997,3.24,706721,0
LGCL.US,D,20240521,000000,3.05,3.46,3.025,3.35,1005450,0
LGCL.US,D,20240522,000000,3.36,3.54,3.16,3.3,773683,0
LGCL.US,D,20240523,000000,3.33,3.4,3.11,3.17,563692,0
LGCL.US,D,20240524,000000,3.16,3.2,2.77,3.08,376466,0
LGCL.US,D,20240528,000000,2.95,3.15,2.81,2.85,296913,0
LGCL.US,D,20240529,000000,2.84,2.94,2.68,2.76,308905,0
LGCL.US,D,20240530,000000,2.82,2.82,2.565,2.68,302589,0
LGCL.US,D,20240531,000000,2.63,2.69,2.14,2.3,356145,0
LGCL.US,D,20240603,000000,2.39,2.41,2.15,2.32,268581,0
LGCL.US,D,20240604,000000,2.2969,2.361,2.02,2.26,249437,0
LGCL.US,D,20240605,000000,2.0998,2.53,2.022,2.53,427459,0
LGCL.US,D,20240606,000000,2.305,2.47,2.22,2.43,324535,0
LGCL.US,D,20240607,000000,2.49,2.67,2.3,2.5,327553,0
LGCL.US,D,20240610,000000,2.41,2.55,2.34,2.34,260197,0
LGCL.US,D,20240611,000000,2.41,2.495,2.11,2.21,243144,0
LGCL.US,D,20240612,000000,2.16,2.175,1.99,2.06,244465,0
LGCL.US,D,20240613,000000,2.09,2.17,1.93,2.14,221253,0
LGCL.US,D,20240614,000000,2.17,2.17,1.99,2.02,220864,0
LGCL.US,D,20240617,000000,1.96,2.28,1.92,2.28,228299,0
LGCL.US,D,20240618,000000,2.14,2.28,1.89,1.89,236210,0
LGCL.US,D,20240620,000000,1.88,2.16,1.88,2.1001,235697,0
LGCL.US,D,20240621,000000,2.23,2.24,2.05,2.22,260501,0
LGCL.US,D,20240624,000000,2.19,2.41,2.16,2.21,210170,0
LGCL.US,D,20240625,000000,2.16,2.3798,2.15,2.19,218573,0
LGCL.US,D,20240626,000000,2.15,2.24,1.98,2.01,306861,0
LGCL.US,D,20240627,000000,1.98,2.12,1.92,2.11,282451,0
LGCL.US,D,20240628,000000,2.19,2.19,1.98,2.1,314609,0
LGCL.US,D,20240701,000000,1.99,2.12,1.96,2.01,232815,0
LGCL.US,D,20240702,000000,2.03,2.13,1.93,1.98,221560,0
LGCL.US,D,20240703,000000,1.97,2.09,1.938,2.07,126626,0
LGCL.US,D,20240705,000000,1.97,2.3813,1.97,2.31,215379,0
LGCL.US,D,20240708,000000,2.2,2.39,2.02,2.1,264964,0
LGCL.US,D,20240709,000000,2.05,2.15,1.95,2.05,213569,0
LGCL.US,D,20240710,000000,1.99,2.08,1.93,2,277142,0
LGCL.US,D,20240711,000000,1.96,2.36,1.9506,2.33,409185,0
LGCL.US,D,20240712,000000,2.35,2.59,2.35,2.46,368612,0
LGCL.US,D,20240715,000000,2.4,2.56,2.09,2.51,434473,0
LGCL.US,D,20240716,000000,2.562,2.72,2.52,2.58,547478,0
LGCL.US,D,20240717,000000,2.47,2.64,2.4,2.53,521535,0
LGCL.US,D,20240718,000000,2.51,2.58,2.3,2.45,459102,0
LGCL.US,D,20240719,000000,2.4011,2.63,2.37,2.52,467664,0
LGCL.US,D,20240722,000000,2.6,2.855,2.45,2.59,480585,0
LGCL.US,D,20240723,000000,2.5501,2.56,2.39,2.56,514051,0
LGCL.US,D,20240724,000000,2.69,2.8,2.5,2.64,238507,0
LGCL.US,D,20240725,000000,2.55,2.705,2.54,2.64,222681,0
LGCL.US,D,20240726,000000,2.78,2.78,2.4,2.46,225924,0
LGCL.US,D,20240729,000000,2.36,2.47,2.31,2.43,218198,0
LGCL.US,D,20240730,000000,2.49,2.67,2.37,2.54,317553,0
LGCL.US,D,20240731,000000,2.59,2.6,2.4,2.5,297094,0
LGCL.US,D,20240801,000000,2.34,2.4153,2.15,2.21,271025,0
LGCL.US,D,20240802,000000,2.27,2.29,2.08,2.12,248508,0
LGCL.US,D,20240805,000000,1.95,2.09,1.91,2.05,233791,0
LGCL.US,D,20240806,000000,2.01,2.12,2,2.07,316533,0
LGCL.US,D,20240807,000000,2.05,2.08,1.75,1.76,539799,0
LGCL.US,D,20240808,000000,1.62,1.62,1.24,1.35,8549772,0
LGCL.US,D,20240809,000000,1.19,1.41,1.19,1.29,440772,0
LGCL.US,D,20240812,000000,1.24,1.31,1.1101,1.12,190724,0
LGCL.US,D,20240813,000000,1.16,1.32,1.14,1.26,168587,0
LGCL.US,D,20240814,000000,1.18,1.3,1.17,1.29,36743,0
LGCL.US,D,20240815,000000,1.26,2,1.25,1.78,2651273,0
LGCL.US,D,20240816,000000,1.57,3.31,1.5501,1.82,15153086,0
LGCL.US,D,20240819,000000,1.71,1.98,1.71,1.77,678951,0
LGCL.US,D,20240820,000000,1.77,1.79,1.61,1.69,366883,0
LGCL.US,D,20240821,000000,1.64,1.6699,1.26,1.39,834497,0
LGCL.US,D,20240822,000000,1.36,1.3899,1.28,1.3,201530,0
LGCL.US,D,20240823,000000,1.3203,1.65,1.309,1.53,798798,0
LGCL.US,D,20240826,000000,1.5,1.85,1.49,1.71,855286,0
LGCL.US,D,20240827,000000,1.8,2.0755,1.59,1.64,1798911,0
LGCL.US,D,20240828,000000,1.66,1.68,1.45,1.52,212581,0
LGCL.US,D,20240829,000000,1.49,1.785,1.49,1.66,1401657,0
LGCL.US,D,20240830,000000,1.72,1.76,1.65,1.67,122547,0
LGCL.US,D,20240903,000000,1.74,1.75,1.65,1.69,132689,0
LGCL.US,D,20240904,000000,1.68,2.125,1.63,1.8,2262241,0
LGCL.US,D,20240905,000000,1.81,2,1.26,1.35,3920895,0
LGCL.US,D,20240906,000000,1.33,1.37,1.18,1.22,336269,0
LGCL.US,D,20240909,000000,1.22,1.29,1.1225,1.175,184575,0
LGCL.US,D,20240910,000000,1.14,1.24,1.13,1.2,81819,0
LGCL.US,D,20240911,000000,1.25,1.25,1.09,1.17,136562,0
LGCL.US,D,20240912,000000,1.21,1.23,1.16,1.19,124512,0
LGCL.US,D,20240913,000000,1.15,1.2,1.13,1.16,48463,0
LGCL.US,D,20240916,000000,1.23,1.33,1.19,1.24,162166,0
LGCL.US,D,20240917,000000,1.23,1.23,1.15,1.17,21044,0
LGCL.US,D,20240918,000000,1.19,1.23,1.16,1.2,29895,0
LGCL.US,D,20240919,000000,1.1799,1.2,1.1401,1.2,74289,0
LGCL.US,D,20240920,000000,1.15,1.31,1.11,1.31,144889,0
LGCL.US,D,20240923,000000,1.31,1.31,1.17,1.18,45335,0
LGCL.US,D,20240924,000000,1.215,1.215,1.1211,1.19,37579,0
LGCL.US,D,20240925,000000,1.14,1.24,1.09,1.14,116769,0
