<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGRO.US,D,20230825,000000,25.03,25.26,25.0299,25.1594,3156,0
LGRO.US,D,20230828,000000,25.35,25.38,25.1601,25.3137,6695,0
LGRO.US,D,20230829,000000,25.49,25.78,25.45,25.6732,10475,0
LGRO.US,D,20230830,000000,25.74,25.91,25.71,25.8779,2805,0
LGRO.US,D,20230831,000000,26.04,26.05,26,26.0065,16803,0
LGRO.US,D,20230901,000000,25.96,26.0197,25.96,26.0197,454,0
LGRO.US,D,20230905,000000,26.06,26.06,25.83,25.9031,510,0
LGRO.US,D,20230906,000000,25.9899,25.9899,25.53,25.7285,6221,0
LGRO.US,D,20230907,000000,25.635,25.6408,25.57,25.6408,1084,0
LGRO.US,D,20230908,000000,25.55,25.7199,25.24,25.5585,11320,0
LGRO.US,D,20230911,000000,25.6,25.677,25.49,25.677,4354,0
LGRO.US,D,20230912,000000,25.635,25.649,25.41,25.5017,5644,0
LGRO.US,D,20230913,000000,25.23,25.54,25.23,25.5032,9476,0
LGRO.US,D,20230914,000000,25.88,25.88,25.61,25.6859,4042,0
LGRO.US,D,20230915,000000,25.425,25.44,25.3322,25.3322,3534,0
LGRO.US,D,20230918,000000,25.42,25.43,25.27,25.3029,11556,0
LGRO.US,D,20230919,000000,25.16,25.2428,25.16,25.2428,4666,0
LGRO.US,D,20230920,000000,25.32,25.32,24.9967,24.9967,12344,0
LGRO.US,D,20230921,000000,24.75,24.75,24.525,24.525,3935,0
LGRO.US,D,20230922,000000,24.64,24.64,24.4838,24.4838,3004,0
LGRO.US,D,20230925,000000,24.55,24.6,24.5,24.5791,26570,0
LGRO.US,D,20230926,000000,24.35,24.35,24.17,24.2209,3945,0
LGRO.US,D,20230927,000000,24.06,24.29,24.06,24.2216,910,0
LGRO.US,D,20230928,000000,24.33,24.41,24.33,24.3919,2808,0
LGRO.US,D,20230929,000000,24.61,24.61,24.33,24.3756,5520,0
LGRO.US,D,20231002,000000,24.34,24.4195,24.33,24.4195,1443,0
LGRO.US,D,20231003,000000,24.1,24.1,23.9378,23.9378,5630,0
LGRO.US,D,20231004,000000,24.08,24.21,23.99,24.163,3729,0
LGRO.US,D,20231005,000000,24,24.16,24,24.0995,2559,0
LGRO.US,D,20231006,000000,24.36,24.47,24.36,24.4354,520,0
LGRO.US,D,20231009,000000,24.26,24.5345,24.26,24.5345,1387,0
LGRO.US,D,20231010,000000,24.81,24.86,24.6678,24.6678,6716,0
LGRO.US,D,20231011,000000,24.72,24.84,24.6998,24.7997,5288,0
LGRO.US,D,20231012,000000,24.5,24.5778,24.5,24.5778,978,0
LGRO.US,D,20231013,000000,24.41,24.41,24.3461,24.3461,1592,0
LGRO.US,D,20231016,000000,24.7,24.7,24.65,24.6661,2323,0
LGRO.US,D,20231017,000000,24.65,24.6947,24.6,24.6947,2580,0
LGRO.US,D,20231018,000000,24.29,24.3004,24.2845,24.2845,600,0
LGRO.US,D,20231019,000000,24.31,24.31,24.0592,24.0592,8102,0
LGRO.US,D,20231020,000000,23.82,23.9,23.7533,23.7533,948,0
LGRO.US,D,20231023,000000,23.88,23.93,23.7,23.7172,18972,0
LGRO.US,D,20231024,000000,23.84,23.95,23.84,23.9372,661,0
LGRO.US,D,20231025,000000,23.62,23.697,23.4,23.4047,16498,0
LGRO.US,D,20231026,000000,23.35,23.35,23.1428,23.1428,8763,0
LGRO.US,D,20231027,000000,23.21,23.21,22.99,23.0667,4774,0
LGRO.US,D,20231030,000000,23.29,23.3806,23.29,23.3806,4064,0
LGRO.US,D,20231031,000000,23.43,23.58,23.4298,23.5496,4476,0
LGRO.US,D,20231101,000000,23.53,23.6737,23.48,23.6737,42752,0
LGRO.US,D,20231102,000000,24.1,24.27,24.07,24.2127,22400,0
LGRO.US,D,20231103,000000,24.57,24.6425,24.5366,24.5366,6920,0
LGRO.US,D,20231106,000000,24.5292,24.54,24.5292,24.5385,369,0
LGRO.US,D,20231107,000000,24.74,24.75,24.71,24.7202,1112,0
LGRO.US,D,20231108,000000,24.77,24.8,24.73,24.74,6438,0
LGRO.US,D,20231109,000000,24.89,24.9,24.6178,24.6178,1054,0
LGRO.US,D,20231110,000000,24.7,25.16,24.7,25.1122,9365,0
LGRO.US,D,20231113,000000,25.35,25.35,24.995,25.0528,30072,0
LGRO.US,D,20231114,000000,25.55,25.78,25.55,25.6922,2646,0
LGRO.US,D,20231115,000000,25.88,25.89,25.74,25.8276,4432,0
LGRO.US,D,20231116,000000,25.86,25.86,25.71,25.7827,7692,0
LGRO.US,D,20231117,000000,25.8199,25.88,25.815,25.8585,5918,0
LGRO.US,D,20231120,000000,26.12,26.19,26.0801,26.1092,4362,0
LGRO.US,D,20231121,000000,25.99,25.99,25.945,25.9469,10776,0
LGRO.US,D,20231122,000000,26.22,26.25,26.0903,26.1198,8054,0
LGRO.US,D,20231124,000000,26.15,26.15,26.1312,26.1312,902,0
LGRO.US,D,20231127,000000,26.155,26.27,26.14,26.1406,5038,0
LGRO.US,D,20231128,000000,26.1,26.29,26.1,26.205,8440,0
LGRO.US,D,20231129,000000,26.32,26.43,26.278,26.278,2243,0
LGRO.US,D,20231130,000000,26.29,26.3688,26.16,26.3688,5289,0
LGRO.US,D,20231201,000000,26.39,26.7,26.39,26.6757,2260,0
LGRO.US,D,20231204,000000,26.5032,26.55,26.46,26.5402,2015,0
LGRO.US,D,20231205,000000,26.59,26.59,26.487,26.487,947,0
LGRO.US,D,20231206,000000,26.4366,26.4366,26.4366,26.4366,96,0
LGRO.US,D,20231207,000000,26.6931,26.7083,26.63,26.7083,2730,0
LGRO.US,D,20231208,000000,26.77,26.81,26.67,26.7801,3457,0
LGRO.US,D,20231211,000000,26.85,27.0688,26.85,27.0503,1213,0
LGRO.US,D,20231212,000000,27.16,27.2511,27.1,27.2511,7073,0
LGRO.US,D,20231213,000000,27.31,27.73,27.24,27.7141,17669,0
LGRO.US,D,20231214,000000,28.09,28.09,27.83,28.0067,95704,0
LGRO.US,D,20231215,000000,28.02,28.11,27.97,28.06,6308,0
LGRO.US,D,20231218,000000,28.09,28.27,28.09,28.1897,11088,0
