<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIF.US,D,20240606,000000,26,27.26,26,27,1044100,0
LIF.US,D,20240607,000000,27.49,27.64,26.925,27.14,671787,0
LIF.US,D,20240610,000000,27.05,27.29,26,27.25,477890,0
LIF.US,D,20240611,000000,27.36,27.36,26.54,26.99,224613,0
LIF.US,D,20240612,000000,26.9,27.6,26.45,27.18,226511,0
LIF.US,D,20240613,000000,27.82,29.175,27.82,28.88,446075,0
LIF.US,D,20240614,000000,29.88,31.33,29.62,30.29,332802,0
LIF.US,D,20240617,000000,30.29,30.87,28.89,30.39,524170,0
LIF.US,D,20240618,000000,30.95,31.3099,30.55,31.25,331316,0
LIF.US,D,20240620,000000,31.31,31.5,30.01,30.5,307470,0
LIF.US,D,20240621,000000,30.85,31.92,30.6984,31.21,310841,0
LIF.US,D,20240624,000000,31.69,32.33,30.75,31.49,119358,0
LIF.US,D,20240625,000000,31.22,31.5,30.385,31.25,180007,0
LIF.US,D,20240626,000000,31.25,32.6752,31.19,32.15,184527,0
LIF.US,D,20240627,000000,31.18,32.32,31.18,31.89,148124,0
LIF.US,D,20240628,000000,32.07,32.93,32.07,32.39,244803,0
LIF.US,D,20240701,000000,32.02,32.329,31.7,31.73,275427,0
LIF.US,D,20240702,000000,31.7,32.06,30.39,31.27,425188,0
LIF.US,D,20240703,000000,31,32.83,30.86,32.64,77757,0
LIF.US,D,20240705,000000,32.6,32.91,31.68,32.2,143842,0
LIF.US,D,20240708,000000,32.01,33.16,31.94,32.9,214738,0
LIF.US,D,20240709,000000,32.58,32.805,31.48,32.44,259245,0
LIF.US,D,20240710,000000,32.31,34.1055,32.0869,33.75,111143,0
LIF.US,D,20240711,000000,33.9,34.5482,33.52,34.2,99956,0
LIF.US,D,20240712,000000,34.64,35.68,34.305,35.08,93828,0
LIF.US,D,20240715,000000,36.07,36.07,34.72,34.94,96017,0
LIF.US,D,20240716,000000,34.58,34.75,33.83,34.1,65304,0
LIF.US,D,20240717,000000,33.66,34.65,32.95,33.54,174669,0
LIF.US,D,20240718,000000,33.21,33.63,32.43,32.84,82992,0
LIF.US,D,20240719,000000,32.53,33.46,32.41,33.45,56675,0
LIF.US,D,20240722,000000,32.67,33.25,32.11,32.49,105731,0
LIF.US,D,20240723,000000,32.01,33.36,31.87,32.87,198602,0
LIF.US,D,20240724,000000,32.46,32.91,32.18,32.41,211617,0
LIF.US,D,20240725,000000,31.8,31.8,30.51,30.79,363194,0
LIF.US,D,20240726,000000,30.77,31.56,29.97,31.56,280127,0
LIF.US,D,20240729,000000,32.09,33.23,32.05,32.38,333429,0
LIF.US,D,20240730,000000,31.91,32.18,31.6,31.93,185156,0
LIF.US,D,20240731,000000,32.31,33.93,32.31,33.55,278389,0
LIF.US,D,20240801,000000,33.26,34.43,33.02,33.49,158338,0
LIF.US,D,20240802,000000,33.18,33.5,32.0401,32.86,131274,0
LIF.US,D,20240805,000000,30.12,30.2924,29.0092,29.82,191989,0
LIF.US,D,20240806,000000,29.83,31.18,29.71,30.56,151425,0
LIF.US,D,20240807,000000,30.34,30.35,28.94,29,217979,0
LIF.US,D,20240808,000000,29.12,32.21,29.12,32.1,236887,0
LIF.US,D,20240809,000000,32.9,36.875,32.1,35.03,230243,0
LIF.US,D,20240812,000000,35,35.02,33.9,33.99,105752,0
LIF.US,D,20240813,000000,34.04,36.68,34.04,35.73,280207,0
LIF.US,D,20240814,000000,36,37.42,35.81,36.57,232912,0
LIF.US,D,20240815,000000,36.12,36.68,35.41,36.4,268055,0
LIF.US,D,20240816,000000,36,36.87,35.69,36.65,219413,0
LIF.US,D,20240819,000000,36,37.9996,36,37.32,364325,0
LIF.US,D,20240820,000000,37,38,36.795,37.61,320007,0
LIF.US,D,20240821,000000,37.98,39.93,37.9686,39.46,369438,0
LIF.US,D,20240822,000000,39.01,39.94,38.97,39.12,611063,0
LIF.US,D,20240823,000000,39.58,41.17,39.5,40.24,412179,0
LIF.US,D,20240826,000000,40,40.2,38.54,38.87,357079,0
LIF.US,D,20240827,000000,39,40.2,38.7,39.42,275322,0
LIF.US,D,20240828,000000,39.13,39.79,37.77,38.27,189875,0
LIF.US,D,20240829,000000,38.76,40.47,38.67,39.39,324682,0
LIF.US,D,20240830,000000,39.77,39.87,39.09,39.43,225242,0
LIF.US,D,20240903,000000,38.85,38.85,36.82,37.25,230471,0
LIF.US,D,20240904,000000,37.43,38.07,36.93,37.25,194438,0
LIF.US,D,20240905,000000,37.25,38.27,37.17,37.6,449383,0
LIF.US,D,20240906,000000,37.51,38.08,36.46,37.5,362129,0
LIF.US,D,20240909,000000,37.89,38.64,32.06,33.74,621230,0
LIF.US,D,20240910,000000,34.15,34.32,32.595,33.15,468817,0
LIF.US,D,20240911,000000,33.15,33.59,31.95,32.8,499136,0
LIF.US,D,20240912,000000,33.4,34.2,32.99,34.1,376708,0
LIF.US,D,20240913,000000,34.04,34.77,33.39,34.15,243576,0
LIF.US,D,20240916,000000,33.81,34.28,33.27,34,165103,0
LIF.US,D,20240917,000000,33.87,34.5578,33.24,33.89,144033,0
LIF.US,D,20240918,000000,34.39,34.595,31.13,33.9,230218,0
LIF.US,D,20240919,000000,35,36.16,34.66,35.7,280232,0
LIF.US,D,20240920,000000,36.5,37.07,35.61,36.25,1342512,0
LIF.US,D,20240923,000000,37.5,38.74,37.39,38.56,262687,0
LIF.US,D,20240924,000000,38.85,39.78,38.29,39.63,178802,0
LIF.US,D,20240925,000000,39,39.29,38.6,39.05,184624,0
LIF.US,D,20240926,000000,39.47,39.6,38.71,39.47,192133,0
