<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIFW.US,D,20201022,000000,240,244.2,239.75,243,47.08,0
LIFW.US,D,20201023,000000,240.5,240.5,240.5,240.5,7.04,0
LIFW.US,D,20201026,000000,243.26,243.5,241.25,241.25,326.08,0
LIFW.US,D,20201027,000000,242.75,242.75,241.5,241.5,68.92,0
LIFW.US,D,20201029,000000,245.25,245.25,242.5,242.5,2012.72,0
LIFW.US,D,20201030,000000,240.75,242.5,240.5,242,13522.96,0
LIFW.US,D,20201102,000000,241.25,242.5,241.25,242.5,126,0
LIFW.US,D,20201103,000000,241.25,242.5,241.25,242,1573.56,0
LIFW.US,D,20201104,000000,242.25,243.25,242.25,242.75,8025.6,0
LIFW.US,D,20201105,000000,243.25,243.75,243,243.25,11095.44,0
LIFW.US,D,20201106,000000,243,243.005,243,243,166.72,0
LIFW.US,D,20201109,000000,243,243,242.75,242.75,23184.56,0
LIFW.US,D,20201110,000000,243.25,243.75,243,243,9568,0
LIFW.US,D,20201111,000000,242.75,243.125,242.75,243.125,80.44,0
LIFW.US,D,20201112,000000,242.25,243.75,242.25,243.75,33.48,0
LIFW.US,D,20201113,000000,243.25,243.75,243.25,243.75,11003.68,0
LIFW.US,D,20201116,000000,243.75,243.75,243.75,243.75,1600.64,0
LIFW.US,D,20201117,000000,243.75,243.75,243.452,243.75,37236.48,0
LIFW.US,D,20201118,000000,244,244.25,243.75,244.25,148.32,0
LIFW.US,D,20201119,000000,244.5,245.5,244.5,245.25,4284.28,0
LIFW.US,D,20201120,000000,245,246,245,246,60,0
LIFW.US,D,20201123,000000,246,246,245,245,106.24,0
LIFW.US,D,20201124,000000,247,249.75,245,245.5,415.36,0
LIFW.US,D,20201125,000000,245,245,245,245,39.88,0
LIFW.US,D,20201127,000000,247.5,247.5,247,247.5,326.96,0
LIFW.US,D,20201130,000000,249.5,249.5,245,248.75,111.92,0
LIFW.US,D,20201201,000000,248.25,248.25,244,247.25,174.96,0
LIFW.US,D,20201202,000000,247.25,249.75,245,247.25,442.76,0
LIFW.US,D,20201203,000000,245.5,247.25,245.25,246.457,131.16,0
LIFW.US,D,20201204,000000,245.5,249,245,249,257.24,0
LIFW.US,D,20201207,000000,249.5,249.5,245.958,248.248,562.64,0
LIFW.US,D,20201208,000000,248,248.5,246.25,246.25,752.12,0
LIFW.US,D,20201209,000000,246.25,248.543,246.25,248,8622,0
