<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPAAW.US,D,20240904,000000,0.0875,0.09,0.08,0.085,289842,0
LPAAW.US,D,20240905,000000,0.085,0.085,0.08,0.08,785601,0
LPAAW.US,D,20240906,000000,0.09,0.09,0.08,0.08,19801,0
LPAAW.US,D,20240909,000000,0.0801,0.0804,0.08,0.08,31200,0
LPAAW.US,D,20240910,000000,0.082,0.082,0.08,0.08,145952,0
LPAAW.US,D,20240912,000000,0.082,0.082,0.08,0.08,42446,0
LPAAW.US,D,20240913,000000,0.08,0.082,0.08,0.08,60446,0
LPAAW.US,D,20240916,000000,0.08,0.08,0.076,0.08,81417,0
LPAAW.US,D,20240917,000000,0.0801,0.0801,0.0801,0.0801,5000,0
LPAAW.US,D,20240918,000000,0.0801,0.082,0.0801,0.0801,2000,0
LPAAW.US,D,20240924,000000,0.08,0.088137,0.08,0.088137,1320,0
LPAAW.US,D,20240926,000000,0.083,0.083,0.083,0.083,524,0
LPAAW.US,D,20240927,000000,0.08,0.08,0.08,0.08,1450,0
LPAAW.US,D,20240930,000000,0.0819,0.0819,0.0819,0.0819,375,0
LPAAW.US,D,20241010,000000,0.082,0.09,0.08,0.09,138121,0
LPAAW.US,D,20241015,000000,0.075,0.085,0.075,0.085,201375,0
LPAAW.US,D,20241017,000000,0.1,0.1,0.1,0.1,100,0
LPAAW.US,D,20241018,000000,0.1005,0.1005,0.0801,0.086,2366,0
LPAAW.US,D,20241024,000000,0.08,0.08,0.08,0.08,600,0
