<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUCY.US,D,20220816,000000,5.44,5.8899,5.25,5.54,1319968,0
LUCY.US,D,20220817,000000,5.3,5.5221,5.01,5.36,338176,0
LUCY.US,D,20220818,000000,5.29,5.35,5.07,5.14,278951,0
LUCY.US,D,20220819,000000,4.9,5.1872,4.69,4.8,251393,0
LUCY.US,D,20220822,000000,4.85,4.85,4.33,4.37,92804,0
LUCY.US,D,20220823,000000,4.2,4.25,3.6,3.6901,209881,0
LUCY.US,D,20220824,000000,3.83,3.83,3.4,3.48,151432,0
LUCY.US,D,20220825,000000,3.58,3.58,3.22,3.295,94050,0
LUCY.US,D,20220826,000000,3.2851,3.45,2.88,2.98,204963,0
LUCY.US,D,20220829,000000,2.83,3.0899,2.83,2.89,90989,0
LUCY.US,D,20220830,000000,2.95,2.9999,2.8,2.8799,70078,0
LUCY.US,D,20220831,000000,2.8997,3.43,2.85,3.03,404648,0
LUCY.US,D,20220901,000000,2.95,3.0699,2.55,2.7935,150426,0
LUCY.US,D,20220902,000000,3.02,3.34,2.83,2.88,222921,0
LUCY.US,D,20220906,000000,2.79,2.86,2.38,2.5,132249,0
LUCY.US,D,20220907,000000,2.37,2.48,2.35,2.39,21864,0
LUCY.US,D,20220908,000000,2.43,2.43,2.19,2.33,71585,0
LUCY.US,D,20220909,000000,2.29,2.34,2.08,2.18,124694,0
LUCY.US,D,20220912,000000,2.2056,2.3,2.1,2.13,158766,0
LUCY.US,D,20220913,000000,2.0999,2.3912,1.93,2.15,242666,0
LUCY.US,D,20220914,000000,2.12,2.53,2.12,2.25,122275,0
LUCY.US,D,20220915,000000,2.25,2.2939,2.1,2.14,78521,0
LUCY.US,D,20220916,000000,2.03,2.135,2.03,2.06,27850,0
LUCY.US,D,20220919,000000,2.02,2.1299,1.95,1.99,44294,0
LUCY.US,D,20220920,000000,1.95,2.08,1.87,1.96,40410,0
LUCY.US,D,20220921,000000,1.95,1.97,1.81,1.81,32702,0
LUCY.US,D,20220922,000000,1.71,1.81,1.6,1.63,51136,0
LUCY.US,D,20220923,000000,1.61,1.8054,1.4501,1.51,57827,0
LUCY.US,D,20220926,000000,1.46,1.4711,1.32,1.38,51200,0
LUCY.US,D,20220927,000000,1.38,1.52,1.36,1.37,63173,0
LUCY.US,D,20220928,000000,1.33,1.5,1.31,1.35,53650,0
LUCY.US,D,20220929,000000,1.3,1.3999,1.26,1.33,18337,0
LUCY.US,D,20220930,000000,1.28,1.45,1.28,1.39,28720,0
LUCY.US,D,20221003,000000,1.61,1.88,1.48,1.58,482574,0
LUCY.US,D,20221004,000000,1.49,1.5984,1.49,1.59,51310,0
LUCY.US,D,20221005,000000,1.46,1.55,1.4,1.55,26054,0
LUCY.US,D,20221006,000000,1.59,1.69,1.45,1.62,22838,0
LUCY.US,D,20221007,000000,3.04,3.58,2.56,2.63,59980114,0
LUCY.US,D,20221010,000000,2.15,2.28,1.91,2.16,1175239,0
LUCY.US,D,20221011,000000,2.4,2.65,2.0701,2.6,543916,0
LUCY.US,D,20221012,000000,2.45,3.08,2.2201,2.23,1127353,0
LUCY.US,D,20221013,000000,2.23,2.43,2.02,2.14,401616,0
LUCY.US,D,20221014,000000,2.15,2.2553,1.94,1.95,220023,0
LUCY.US,D,20221017,000000,1.9,1.9991,1.89,1.89,54613,0
LUCY.US,D,20221018,000000,1.92,2.04,1.85,1.85,177918,0
LUCY.US,D,20221019,000000,1.85,2.32,1.85,2,548531,0
LUCY.US,D,20221020,000000,2.14,2.16,1.98,2,112277,0
LUCY.US,D,20221021,000000,1.94,2.1,1.8501,1.87,111789,0
LUCY.US,D,20221024,000000,1.94,1.99,1.8,1.82,171051,0
LUCY.US,D,20221025,000000,1.8,2.02,1.8,1.81,340344,0
LUCY.US,D,20221026,000000,1.81,1.8552,1.55,1.55,136010,0
LUCY.US,D,20221027,000000,1.6,1.68,1.56,1.65,50558,0
LUCY.US,D,20221028,000000,1.63,1.7,1.52,1.55,111583,0
LUCY.US,D,20221031,000000,1.62,1.62,1.45,1.45,16417,0
LUCY.US,D,20221101,000000,1.475,1.58,1.36,1.39,178154,0
LUCY.US,D,20221102,000000,1.38,1.4,1.2901,1.4,32602,0
LUCY.US,D,20221103,000000,1.34,1.49,1.32,1.4,17635,0
LUCY.US,D,20221104,000000,1.44,1.45,1.3,1.4,74133,0
