<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MACI.US,D,20240718,000000,9.98,9.98,9.96,9.96,610936,0
MACI.US,D,20240719,000000,9.95,9.95,9.95,9.95,1069,0
MACI.US,D,20240722,000000,9.95,9.95,9.95,9.95,936,0
MACI.US,D,20240723,000000,9.96,9.96,9.9501,9.9501,1775,0
MACI.US,D,20240725,000000,9.96,9.98,9.96,9.98,4278,0
MACI.US,D,20240729,000000,9.9823,9.9823,9.9823,9.9823,1164,0
MACI.US,D,20240730,000000,9.98,9.9821,9.97,9.98,19712,0
MACI.US,D,20240731,000000,9.97,9.98,9.96,9.98,291385,0
MACI.US,D,20240801,000000,9.99,9.99,9.99,9.99,710,0
MACI.US,D,20240807,000000,9.97,9.97,9.97,9.97,325050,0
MACI.US,D,20240808,000000,9.99,10.005,9.99,9.99,509703,0
MACI.US,D,20240809,000000,9.99,9.99,9.97,9.98,109961,0
MACI.US,D,20240812,000000,9.98,9.98,9.975,9.975,21098,0
MACI.US,D,20240813,000000,9.97,9.985,9.97,9.985,140710,0
MACI.US,D,20240814,000000,9.98,9.985,9.98,9.985,9459,0
MACI.US,D,20240815,000000,9.98,10,9.98,9.99,857001,0
MACI.US,D,20240821,000000,9.987,9.987,9.98,9.98,719,0
MACI.US,D,20240822,000000,9.99,9.99,9.99,9.99,3477,0
MACI.US,D,20240823,000000,9.99,9.99,9.99,9.99,332,0
MACI.US,D,20240827,000000,9.99,9.99,9.96,9.96,277907,0
MACI.US,D,20240828,000000,9.96,9.97,9.96,9.96,20042,0
MACI.US,D,20240829,000000,9.97,9.97,9.965,9.97,11575,0
MACI.US,D,20240830,000000,9.97,9.98,9.97,9.98,31794,0
MACI.US,D,20240903,000000,9.98,9.98,9.97,9.97,56921,0
MACI.US,D,20240904,000000,9.98,9.99,9.975,9.98,238675,0
MACI.US,D,20240905,000000,9.98,10,9.97,9.98,58529,0
MACI.US,D,20240906,000000,9.98,9.985,9.98,9.98,23550,0
MACI.US,D,20240909,000000,9.99,9.99,9.98,9.98,217173,0
MACI.US,D,20240910,000000,9.98,9.98,9.975,9.98,31409,0
MACI.US,D,20240911,000000,9.98,10,9.975,9.98,37104,0
MACI.US,D,20240912,000000,9.97,9.98,9.97,9.98,712975,0
MACI.US,D,20240913,000000,9.97,9.97,9.97,9.97,4193,0
MACI.US,D,20240917,000000,9.99,9.99,9.99,9.99,986,0
MACI.US,D,20240918,000000,9.9793,9.99,9.9793,9.99,6717,0
MACI.US,D,20240920,000000,9.98,9.98,9.98,9.98,553,0
MACI.US,D,20240923,000000,10,10,10,10,106,0
MACI.US,D,20240924,000000,9.9737,9.9737,9.9737,9.9737,1500,0
MACI.US,D,20240925,000000,9.9801,9.99,9.98,9.985,31939,0
MACI.US,D,20240926,000000,9.99,9.99,9.99,9.99,90004,0
MACI.US,D,20240930,000000,9.9913,9.995,9.99,9.995,62917,0
MACI.US,D,20241002,000000,10,10,10,10,11090,0
MACI.US,D,20241003,000000,10,10,10,10,25031,0
MACI.US,D,20241004,000000,10.02,10.03,10.02,10.03,13912,0
MACI.US,D,20241009,000000,10.03,10.03,10.02,10.03,50452,0
MACI.US,D,20241010,000000,9.98,10.01,9.96,9.96,3686,0
MACI.US,D,20241011,000000,9.95,9.95,9.95,9.95,3967,0
MACI.US,D,20241014,000000,9.98,9.98,9.98,9.98,2820,0
MACI.US,D,20241015,000000,9.982,9.982,9.98,9.98,1381,0
MACI.US,D,20241021,000000,9.9876,9.99,9.9876,9.99,53774,0
MACI.US,D,20241024,000000,9.9901,9.9901,9.9901,9.9901,1186,0
MACI.US,D,20241025,000000,10.04,10.04,10.04,10.04,300,0
MACI.US,D,20241028,000000,9.99,9.99,9.99,9.99,342,0
MACI.US,D,20241029,000000,10,10.01,9.9806,10.01,55606,0
