<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAGQ.US,D,20240304,000000,24.5798,24.5798,24.5798,24.5798,338,0
MAGQ.US,D,20240305,000000,24.9613,24.9613,24.9613,24.9613,103,0
MAGQ.US,D,20240306,000000,24.79,24.8607,24.73,24.8607,1118,0
MAGQ.US,D,20240307,000000,24.37,24.37,24.306,24.306,352,0
MAGQ.US,D,20240308,000000,24.22,24.6431,24.2107,24.6431,534,0
MAGQ.US,D,20240311,000000,24.71,24.9568,24.71,24.9568,903,0
MAGQ.US,D,20240312,000000,24.2536,24.2536,24.2536,24.2536,112,0
MAGQ.US,D,20240313,000000,24.29,24.4332,24.29,24.4332,350,0
MAGQ.US,D,20240314,000000,24.59,24.59,24.5272,24.5272,266,0
MAGQ.US,D,20240315,000000,24.7821,24.7821,24.7821,24.7821,60,0
MAGQ.US,D,20240318,000000,24.37,24.44,24.36,24.3713,1673,0
MAGQ.US,D,20240319,000000,24.34,24.34,24.2548,24.2548,577,0
MAGQ.US,D,20240320,000000,24.32,24.32,23.9296,23.9296,763,0
MAGQ.US,D,20240321,000000,23.87,23.9559,23.8699,23.9559,429,0
MAGQ.US,D,20240322,000000,23.6401,23.6943,23.6401,23.6943,115,0
MAGQ.US,D,20240325,000000,23.92,23.95,23.66,23.7837,2312,0
MAGQ.US,D,20240326,000000,23.672,23.9725,23.672,23.9725,1955,0
MAGQ.US,D,20240327,000000,24.09,24.19,23.91,24.0281,39795,0
MAGQ.US,D,20240328,000000,24.1341,24.1341,24.1341,24.1341,113,0
MAGQ.US,D,20240401,000000,24.0476,24.0476,24.0476,24.0476,26,0
MAGQ.US,D,20240402,000000,24.57,24.57,24.2743,24.2743,909,0
MAGQ.US,D,20240403,000000,24.4199,24.4199,24.1145,24.1672,1105,0
MAGQ.US,D,20240404,000000,24.13,24.3725,24.13,24.3725,612,0
MAGQ.US,D,20240405,000000,24.17,24.19,24.04,24.0932,4897,0
MAGQ.US,D,20240408,000000,24.015,24.04,24.015,24.04,627,0
MAGQ.US,D,20240409,000000,24.03,24.03,23.9707,23.9707,101,0
MAGQ.US,D,20240410,000000,24.26,24.26,24.0897,24.0897,290,0
MAGQ.US,D,20240411,000000,23.5053,23.5053,23.5053,23.5053,7,0
MAGQ.US,D,20240412,000000,23.865,23.99,23.83,23.8571,4072,0
MAGQ.US,D,20240415,000000,23.98,24.4102,23.98,24.4102,1335,0
MAGQ.US,D,20240416,000000,24.65,24.65,24.55,24.5829,1445,0
MAGQ.US,D,20240417,000000,24.4,24.8331,24.4,24.8331,1015,0
MAGQ.US,D,20240418,000000,25.07,25.07,24.7001,25.0239,621,0
MAGQ.US,D,20240419,000000,25.4797,25.97,25.33,25.97,4545,0
MAGQ.US,D,20240422,000000,25.74,26.07,25.65,25.72,3382,0
MAGQ.US,D,20240423,000000,25.16,25.1962,25.16,25.1962,512,0
MAGQ.US,D,20240424,000000,24.62,24.8988,24.62,24.8988,2745,0
MAGQ.US,D,20240425,000000,25.2058,25.2058,25.2058,25.2058,172,0
MAGQ.US,D,20240426,000000,24.52,24.52,24.32,24.4458,771,0
MAGQ.US,D,20240429,000000,24.05,24.08,23.98,24.01,2707,0
MAGQ.US,D,20240430,000000,24.09,24.6225,24.09,24.6225,532,0
MAGQ.US,D,20240501,000000,24.625,24.6734,24.55,24.6734,370,0
MAGQ.US,D,20240502,000000,24.3279,24.3279,24.3279,24.3279,85,0
MAGQ.US,D,20240503,000000,23.81,23.9202,23.7661,23.7661,734,0
MAGQ.US,D,20240506,000000,23.61,23.61,23.456,23.456,419,0
MAGQ.US,D,20240507,000000,23.42,23.5584,23.42,23.5584,666,0
MAGQ.US,D,20240508,000000,23.6451,23.6451,23.6451,23.6451,351,0
MAGQ.US,D,20240509,000000,23.7,23.7,23.58,23.58,903,0
MAGQ.US,D,20240510,000000,23.57,23.95,23.57,23.8269,21959,0
MAGQ.US,D,20240513,000000,23.69,23.86,23.66,23.7169,5274,0
MAGQ.US,D,20240514,000000,23.51,23.53,23.4498,23.4498,2460,0
MAGQ.US,D,20240515,000000,23.3,23.515,23.2656,23.2656,2787,0
MAGQ.US,D,20240516,000000,23.27,23.32,23.27,23.303,787,0
MAGQ.US,D,20240517,000000,23.36,23.36,23.21,23.3002,5812,0
MAGQ.US,D,20240520,000000,23.37,23.37,23.15,23.2489,2067,0
MAGQ.US,D,20240521,000000,23.07,23.0701,22.9585,22.9585,1380,0
MAGQ.US,D,20240522,000000,22.98,23.2983,22.98,23.1445,2518,0
MAGQ.US,D,20240523,000000,22.96,23.23,22.96,23.1498,1323,0
MAGQ.US,D,20240524,000000,22.75,22.7922,22.7308,22.7922,1436,0
MAGQ.US,D,20240528,000000,22.575,22.575,22.5185,22.5185,650,0
MAGQ.US,D,20240529,000000,22.4977,22.4977,22.4977,22.4977,229,0
MAGQ.US,D,20240530,000000,22.62,22.9151,22.62,22.9151,1146,0
MAGQ.US,D,20240531,000000,23.02,23.16,23.0186,23.0186,865,0
MAGQ.US,D,20240603,000000,22.7241,22.7241,22.7241,22.7241,48,0
MAGQ.US,D,20240604,000000,22.64,22.64,22.6303,22.6303,134,0
MAGQ.US,D,20240605,000000,22.3544,22.3544,22.13,22.13,1662,0
MAGQ.US,D,20240606,000000,22.07,22.1409,22.07,22.1409,1060,0
MAGQ.US,D,20240607,000000,22.135,22.27,22.135,22.27,663,0
MAGQ.US,D,20240610,000000,22.16,22.1738,22.11,22.1738,683,0
MAGQ.US,D,20240611,000000,21.91,21.9272,21.89,21.9272,929,0
MAGQ.US,D,20240612,000000,21.57,21.57,21.57,21.57,43,0
MAGQ.US,D,20240613,000000,21.45,21.46,21.3,21.46,426,0
MAGQ.US,D,20240614,000000,21.4459,21.47,21.4459,21.47,417,0
MAGQ.US,D,20240617,000000,21.24,21.24,21.24,21.24,215,0
MAGQ.US,D,20240618,000000,21.35,21.3747,21.18,21.3,1812,0
MAGQ.US,D,20240620,000000,21.5,21.5,21.5,21.5,111,0
MAGQ.US,D,20240621,000000,21.4104,21.66,21.4104,21.66,171,0
MAGQ.US,D,20240624,000000,21.76,21.91,21.76,21.91,441,0
MAGQ.US,D,20240625,000000,21.34,21.57,21.2473,21.2473,464,0
MAGQ.US,D,20240626,000000,21.1649,21.1649,20.85,20.85,310,0
MAGQ.US,D,20240627,000000,20.8462,20.8462,20.8462,20.8462,55,0
MAGQ.US,D,20240628,000000,20.91,20.91,20.91,20.91,118,0
MAGQ.US,D,20240701,000000,21.3,21.3,20.85,20.85,486,0
MAGQ.US,D,20240702,000000,20.49,20.49,20.49,20.49,269,0
MAGQ.US,D,20240703,000000,20.4,20.4,19.9142,19.9142,326,0
MAGQ.US,D,20240705,000000,19.5262,19.5262,19.5262,19.5262,15,0
MAGQ.US,D,20240708,000000,19.469,19.469,19.469,19.469,57,0
MAGQ.US,D,20240709,000000,19.17,19.17,19.17,19.17,49,0
MAGQ.US,D,20240710,000000,19.55,19.55,19.08,19.16,1106,0
MAGQ.US,D,20240711,000000,19.89,19.89,19.89,19.89,170,0
MAGQ.US,D,20240712,000000,20.37,20.37,19.71,19.98,5093,0
MAGQ.US,D,20240715,000000,19.49,20.08,19.49,20.08,1605,0
MAGQ.US,D,20240716,000000,20.17,20.17,20.15,20.15,304,0
MAGQ.US,D,20240717,000000,20.55,20.89,20.55,20.7161,14575,0
MAGQ.US,D,20240718,000000,20.59,20.98,20.51,20.7241,4307,0
MAGQ.US,D,20240719,000000,20.675,21.12,20.45,20.8869,11836,0
