<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAMO.US,D,20240402,000000,3.6,3.8,2.9,3.01,965725,0
MAMO.US,D,20240403,000000,3.15,3.615,3.15,3.42,236346,0
MAMO.US,D,20240404,000000,3.59,4.0799,3.59,4.02,203952,0
MAMO.US,D,20240405,000000,3.77,4.04,3.75,3.91,103252,0
MAMO.US,D,20240408,000000,3.99,4.04,3.578,3.81,97869,0
MAMO.US,D,20240409,000000,4.01,4.66,4,4.5,550787,0
MAMO.US,D,20240410,000000,4.5,4.5999,4.2,4.25,222336,0
MAMO.US,D,20240411,000000,4.34,4.39,3.89,4.02,131695,0
MAMO.US,D,20240412,000000,4,4.05,3.6867,3.7,79570,0
MAMO.US,D,20240415,000000,3.65,3.92,3.33,3.4,146575,0
MAMO.US,D,20240416,000000,3.46,3.8799,3.395,3.77,191258,0
MAMO.US,D,20240417,000000,4.04,4.58,4.0257,4.36,352183,0
MAMO.US,D,20240418,000000,4.41,4.41,3.93,4.06,74855,0
MAMO.US,D,20240419,000000,4.07,4.5,4.0495,4.254,92222,0
MAMO.US,D,20240422,000000,4.41,4.525,4.1601,4.33,136955,0
MAMO.US,D,20240423,000000,4.22,4.49,4.18,4.36,44229,0
MAMO.US,D,20240424,000000,4.28,4.45,4.21,4.44,30859,0
MAMO.US,D,20240425,000000,4.34,4.55,4.33,4.5,129624,0
MAMO.US,D,20240426,000000,4.35,4.5,4.35,4.35,25131,0
MAMO.US,D,20240429,000000,4.31,4.48,4.29,4.38,23653,0
MAMO.US,D,20240430,000000,4.42,4.47,4.2,4.22,32922,0
MAMO.US,D,20240501,000000,4.1701,4.325,4.1701,4.27,6721,0
MAMO.US,D,20240502,000000,4.35,4.35,3.83,3.9651,63866,0
MAMO.US,D,20240503,000000,3.99,4.13,3.91,4.08,38284,0
MAMO.US,D,20240506,000000,4.14,4.26,3.88,4.02,25948,0
MAMO.US,D,20240507,000000,3.92,4.03,3.9,3.95,4970,0
MAMO.US,D,20240508,000000,4,4.17,3.9502,4.09,14437,0
MAMO.US,D,20240509,000000,4.12,4.17,3.9705,4.02,17983,0
MAMO.US,D,20240510,000000,4.035,4.43,3.9791,4.23,34570,0
MAMO.US,D,20240513,000000,4.01,4.26,3.92,4.2,71726,0
MAMO.US,D,20240514,000000,4.3,4.3,3.982,4.11,27900,0
MAMO.US,D,20240515,000000,4.24,4.24,3.98,4.02,32833,0
MAMO.US,D,20240516,000000,4.02,4.14,3.89,3.92,47025,0
MAMO.US,D,20240517,000000,4.02,4.09,3.8,3.8,39534,0
MAMO.US,D,20240520,000000,3.8925,4,3.75,3.78,22169,0
MAMO.US,D,20240521,000000,3.7634,4.05,3.7634,4.05,47592,0
