<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBAV.US,D,20240924,000000,9.99,9.995,9.98,9.99,302544,0
MBAV.US,D,20240925,000000,9.99,9.99,9.99,9.99,500022,0
MBAV.US,D,20240926,000000,9.99,10.14,9.99,9.99,99505,0
MBAV.US,D,20240927,000000,10,10,10,10,599,0
MBAV.US,D,20240930,000000,10,10,10,10,5004,0
MBAV.US,D,20241001,000000,10.01,10.01,10.01,10.01,100000,0
MBAV.US,D,20241002,000000,10.01,10.01,10.01,10.01,300015,0
MBAV.US,D,20241003,000000,10.15,10.15,10,10,1806,0
MBAV.US,D,20241007,000000,10.01,10.01,10.01,10.01,25056,0
MBAV.US,D,20241008,000000,10.01,10.04,10.01,10.04,100757,0
MBAV.US,D,20241009,000000,10.01,10.02,10.01,10.02,19128,0
MBAV.US,D,20241014,000000,10.0199,10.02,10.0199,10.02,856440,0
MBAV.US,D,20241015,000000,10.01,10.02,10.01,10.02,78000,0
MBAV.US,D,20241016,000000,10.05,10.05,10.05,10.05,1538,0
MBAV.US,D,20241017,000000,10.025,10.03,10.01,10.02,790850,0
MBAV.US,D,20241018,000000,10.0165,10.0165,10.0165,10.0165,86008,0
MBAV.US,D,20241022,000000,10.02,10.02,10.02,10.02,271,0
MBAV.US,D,20241024,000000,10.02,10.02,10.02,10.02,50000,0
MBAV.US,D,20241025,000000,10.02,10.02,10.02,10.02,2000,0
MBAV.US,D,20241028,000000,10.02,10.02,10.02,10.02,200075,0
