<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCAAW.US,D,20220103,000000,0.5106,0.5106,0.5,0.505,10290,0
MCAAW.US,D,20220105,000000,0.5,0.6,0.5,0.55055,200000,0
MCAAW.US,D,20220106,000000,0.5,0.53,0.45,0.53,411001,0
MCAAW.US,D,20220107,000000,0.48,0.48,0.48,0.48,112250,0
MCAAW.US,D,20220111,000000,0.464,0.464,0.46,0.46,215499,0
MCAAW.US,D,20220112,000000,0.46,0.46,0.46,0.46,11200,0
MCAAW.US,D,20220113,000000,0.46,0.46,0.4596,0.4596,3500,0
MCAAW.US,D,20220114,000000,0.4598,0.46,0.4598,0.46,50000,0
MCAAW.US,D,20220121,000000,0.46,0.46,0.4596,0.4596,92369,0
MCAAW.US,D,20220124,000000,0.4595,0.46,0.4495,0.45,181300,0
MCAAW.US,D,20220125,000000,0.4498,0.45,0.4399,0.4399,166385,0
MCAAW.US,D,20220126,000000,0.4399,0.4399,0.43,0.4328,136600,0
MCAAW.US,D,20220127,000000,0.4328,0.44,0.4328,0.44,20900,0
MCAAW.US,D,20220128,000000,0.4327,0.4328,0.4327,0.4328,202,0
MCAAW.US,D,20220201,000000,0.49625,0.49625,0.43,0.43,175025,0
MCAAW.US,D,20220207,000000,0.425,0.43,0.42,0.42,64132,0
MCAAW.US,D,20220209,000000,0.42,0.42,0.42,0.42,60341,0
MCAAW.US,D,20220211,000000,0.4599,0.4599,0.4599,0.4599,500,0
MCAAW.US,D,20220216,000000,0.404101,0.47,0.404101,0.47,716,0
MCAAW.US,D,20220218,000000,0.43,0.43,0.43,0.43,300,0
MCAAW.US,D,20220222,000000,0.39,0.39,0.372999,0.372999,700,0
MCAAW.US,D,20220223,000000,0.38,0.38,0.38,0.38,200,0
MCAAW.US,D,20220224,000000,0.38,0.38,0.36,0.36,1700,0
MCAAW.US,D,20220225,000000,0.38,0.38,0.38,0.38,200,0
MCAAW.US,D,20220228,000000,0.35,0.38,0.35,0.38,600,0
MCAAW.US,D,20220301,000000,0.33,0.35565,0.33,0.35565,1658,0
MCAAW.US,D,20220303,000000,0.35,0.36,0.35,0.36,600,0
MCAAW.US,D,20220304,000000,0.33,0.38,0.3242,0.38,550,0
MCAAW.US,D,20220307,000000,0.34,0.37,0.32,0.37,25400,0
MCAAW.US,D,20220308,000000,0.37,0.37,0.37,0.37,400,0
