<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCDS.US,D,20240812,000000,50.9055,50.9055,50.9055,50.9055,55,0
MCDS.US,D,20240813,000000,51.51,51.565,51.51,51.565,177,0
MCDS.US,D,20240814,000000,51.57,51.6738,51.57,51.6738,137,0
MCDS.US,D,20240815,000000,52.4164,52.4164,52.4164,52.4164,19,0
MCDS.US,D,20240816,000000,52.61,52.6159,52.61,52.6159,101,0
MCDS.US,D,20240819,000000,53.03,53.0329,53.03,53.0329,173,0
MCDS.US,D,20240820,000000,52.91,52.91,52.7585,52.7585,210,0
MCDS.US,D,20240821,000000,53.19,53.3209,53.19,53.3209,216,0
MCDS.US,D,20240822,000000,53.102,53.102,53.102,53.102,71,0
MCDS.US,D,20240823,000000,54.0101,54.0101,54.0101,54.0101,9,0
MCDS.US,D,20240826,000000,53.8556,53.8556,53.8556,53.8556,52,0
MCDS.US,D,20240827,000000,53.8732,53.8732,53.8732,53.8732,100,0
MCDS.US,D,20240828,000000,53.6538,53.6538,53.6538,53.6538,53,0
MCDS.US,D,20240829,000000,53.9729,53.9729,53.9729,53.9729,39,0
MCDS.US,D,20240830,000000,54.3574,54.3574,54.3574,54.3574,6,0
MCDS.US,D,20240903,000000,53.4613,53.4613,53.4613,53.4613,55,0
MCDS.US,D,20240904,000000,53.4272,53.4272,53.4272,53.4272,22,0
MCDS.US,D,20240905,000000,53.0841,53.0841,53.0841,53.0841,3,0
MCDS.US,D,20240906,000000,52.4179,52.4179,52.4179,52.4179,73,0
MCDS.US,D,20240909,000000,52.8138,52.8138,52.8138,52.8138,10,0
MCDS.US,D,20240910,000000,52.8047,52.8047,52.8047,52.8047,83,0
MCDS.US,D,20240911,000000,52.9806,52.9806,52.9806,52.9806,107,0
MCDS.US,D,20240912,000000,53.3053,53.3053,53.3053,53.3053,7,0
MCDS.US,D,20240913,000000,53.8412,53.8412,53.8412,53.8412,130,0
MCDS.US,D,20240916,000000,54.2381,54.2381,54.2381,54.2381,15,0
MCDS.US,D,20240917,000000,54.435,54.435,54.3647,54.3647,143,0
MCDS.US,D,20240918,000000,54.3235,54.3235,54.3235,54.3235,4,0
MCDS.US,D,20240919,000000,55.19,55.19,55.1567,55.1567,110,0
MCDS.US,D,20240920,000000,54.8804,54.8804,54.8804,54.8804,3,0
MCDS.US,D,20240923,000000,55.1256,55.1256,55.1256,55.1256,28,0
MCDS.US,D,20240924,000000,55.04,55.1344,55.04,55.1344,201,0
MCDS.US,D,20240925,000000,54.7666,54.7666,54.7666,54.7666,3,0
MCDS.US,D,20240926,000000,55.1315,55.1315,55.1315,55.1315,13,0
MCDS.US,D,20240927,000000,55.2868,55.2868,55.2868,55.2868,10,0
MCDS.US,D,20241001,000000,54.9642,54.9642,54.9642,54.9642,13,0
MCDS.US,D,20241002,000000,54.9511,54.9511,54.9511,54.9511,22,0
MCDS.US,D,20241003,000000,54.6696,54.6696,54.6696,54.6696,13,0
MCDS.US,D,20241004,000000,55.1924,55.1924,55.1924,55.1924,8,0
MCDS.US,D,20241007,000000,54.7209,54.7209,54.7209,54.7209,63,0
MCDS.US,D,20241008,000000,54.9688,54.9688,54.9688,54.9688,21,0
MCDS.US,D,20241009,000000,55.3096,55.3096,55.3096,55.3096,4,0
MCDS.US,D,20241010,000000,55.1575,55.1575,55.1575,55.1575,31,0
MCDS.US,D,20241011,000000,55.8179,55.8179,55.8179,55.8179,8,0
MCDS.US,D,20241014,000000,56.189,56.189,56.189,56.189,62,0
MCDS.US,D,20241015,000000,56.024,56.024,56.024,56.024,49,0
MCDS.US,D,20241016,000000,56.4459,56.4459,56.4459,56.4459,2,0
MCDS.US,D,20241017,000000,56.4725,56.4725,56.4725,56.4725,22,0
MCDS.US,D,20241018,000000,56.59,56.59,56.59,56.59,97,0
MCDS.US,D,20241021,000000,55.9989,55.9989,55.9989,55.9989,22,0
MCDS.US,D,20241022,000000,55.7203,55.7203,55.7203,55.7203,33,0
MCDS.US,D,20241023,000000,55.33,55.5962,55.33,55.5962,462,0
MCDS.US,D,20241024,000000,55.8219,55.8219,55.8219,55.8219,18,0
MCDS.US,D,20241025,000000,55.5547,55.5547,55.5547,55.5547,11,0
MCDS.US,D,20241028,000000,55.99,56.0083,55.99,56.0083,208,0
