<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEMS.US,D,20240112,000000,25.54,25.57,25.54,25.5456,978,0
MEMS.US,D,20240116,000000,25.3,25.3,25.1848,25.1848,1352,0
MEMS.US,D,20240117,000000,24.9362,24.9362,24.9362,24.9362,138,0
MEMS.US,D,20240118,000000,24.98,24.9931,24.9523,24.9523,2811,0
MEMS.US,D,20240119,000000,24.865,25.17,24.865,25.15,1522,0
MEMS.US,D,20240122,000000,24.99,24.9931,24.99,24.9931,252,0
MEMS.US,D,20240123,000000,24.96,25.105,24.96,25.105,464,0
MEMS.US,D,20240124,000000,25.34,25.399,25.2731,25.2731,115910,0
MEMS.US,D,20240125,000000,25.1,25.1,25.0695,25.0695,6410,0
MEMS.US,D,20240126,000000,25.085,25.18,25.0753,25.0753,3530,0
MEMS.US,D,20240129,000000,25.18,25.26,25.1576,25.1576,3782,0
MEMS.US,D,20240130,000000,25.19,25.22,25.0643,25.1297,6662,0
MEMS.US,D,20240131,000000,25.21,25.37,25.1083,25.1083,11057,0
MEMS.US,D,20240201,000000,25.03,25.1803,25.03,25.1803,119,0
MEMS.US,D,20240202,000000,25.08,25.17,25.08,25.108,2652,0
MEMS.US,D,20240205,000000,24.8,24.9,24.8,24.8514,3316,0
MEMS.US,D,20240206,000000,25.4404,25.455,25.42,25.455,403,0
MEMS.US,D,20240207,000000,25.51,25.54,25.51,25.54,298,0
MEMS.US,D,20240208,000000,25.36,25.36,25.29,25.3214,2445,0
MEMS.US,D,20240209,000000,25.345,25.46,25.345,25.3986,3132,0
MEMS.US,D,20240212,000000,25.3262,25.3262,25.3262,25.3262,74,0
MEMS.US,D,20240213,000000,24.7697,24.8254,24.7697,24.8254,1133,0
MEMS.US,D,20240214,000000,25.3806,25.3806,25.3806,25.3806,1,0
MEMS.US,D,20240215,000000,25.6868,25.6868,25.6822,25.6822,310,0
MEMS.US,D,20240216,000000,25.89,25.89,25.87,25.8723,671,0
MEMS.US,D,20240220,000000,25.68,25.7248,25.67,25.7248,401,0
MEMS.US,D,20240221,000000,25.6608,25.69,25.57,25.6672,2096,0
MEMS.US,D,20240222,000000,25.9097,25.9097,25.9097,25.9097,20,0
MEMS.US,D,20240223,000000,26.07,26.07,26.0298,26.05,2429,0
MEMS.US,D,20240226,000000,26.16,26.16,26.07,26.0988,2099,0
