<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
METC.US,D,20170203,000000,11.1627,11.3391,10.3569,10.3956,5009458.6467843,0
METC.US,D,20170206,000000,10.3956,10.4644,9.97342,9.97342,1258052.4484775,0
METC.US,D,20170207,000000,9.97342,10.0422,9.58985,9.82028,834974.21126418,0
METC.US,D,20170208,000000,9.68174,9.82028,9.29817,9.32141,385256.63713234,0
METC.US,D,20170209,000000,9.28274,9.52095,9.06848,9.12187,711609.84964628,0
METC.US,D,20170210,000000,8.87673,9.2062,8.75063,9.12187,957120.52340257,0
METC.US,D,20170213,000000,9.12958,9.97342,9.03753,9.32141,338197.51530853,0
METC.US,D,20170214,000000,9.2603,9.53638,8.45442,8.55419,565696.05610317,0
METC.US,D,20170215,000000,8.59287,8.8991,8.43899,8.66948,778076.30123471,0
METC.US,D,20170216,000000,8.59287,9.084,8.41194,8.51553,205175.39194687,0
METC.US,D,20170217,000000,8.43899,8.67719,8.23945,8.39332,312966.30565451,0
METC.US,D,20170221,000000,8.35465,8.66948,8.35465,8.59287,192372.94195023,0
METC.US,D,20170222,000000,8.44671,8.66948,8.36245,8.43127,224794.78128117,0
METC.US,D,20170223,000000,8.29364,8.56192,8.29364,8.45442,133955.70268673,0
METC.US,D,20170224,000000,8.43899,8.4931,8.30907,8.37789,87793.954895616,0
METC.US,D,20170227,000000,8.33922,8.52324,8.24717,8.36245,160172.21351209,0
METC.US,D,20170228,000000,8.36245,8.51864,8.29364,8.36245,262066.83674558,0
METC.US,D,20170301,000000,8.41576,9.16826,8.41576,9.13731,497816.30506557,0
METC.US,D,20170302,000000,9.2062,10.0498,9.16826,9.58204,468001.24678638,0
METC.US,D,20170303,000000,9.65938,10.3956,9.65159,9.97342,402251.14276871,0
METC.US,D,20170306,000000,9.9811,10.1729,9.66018,9.84344,186126.23596763,0
METC.US,D,20170307,000000,9.83565,10.0808,9.33764,9.45984,192979.38059769,0
METC.US,D,20170308,000000,9.23707,9.45984,7.73369,8.1474,480854.12558312,0
METC.US,D,20170309,000000,7.98662,8.37017,7.84038,8.2093,375251.04597246,0
METC.US,D,20170310,000000,8.05543,8.40112,7.94018,8.04763,408883.17650599,0
METC.US,D,20170313,000000,8.21702,8.30907,7.76383,8.13196,233856.44874673,0
METC.US,D,20170314,000000,8.07087,8.30135,7.83343,8.11724,149697.24659734,0
METC.US,D,20170315,000000,8.0941,8.21702,7.83343,8.12425,197031.78725252,0
METC.US,D,20170316,000000,8.12425,8.17063,7.63391,7.8636,181603.16051179,0
METC.US,D,20170317,000000,7.94018,8.04763,7.32673,7.50321,333998.994438,0
METC.US,D,20170320,000000,7.59525,7.59525,6.76666,6.92774,397368.60048133,0
METC.US,D,20170321,000000,6.97385,7.21166,6.57031,7.10423,247754.10883802,0
METC.US,D,20170322,000000,7.12728,7.12728,6.70533,6.759,258593.7147689,0
METC.US,D,20170323,000000,6.7897,6.90478,6.59791,6.79736,206465.85201117,0
METC.US,D,20170324,000000,6.759,6.84338,6.57031,6.71299,119955.89194908,0
METC.US,D,20170327,000000,6.65923,7.05056,6.54416,6.78205,359751.30169312,0
METC.US,D,20170328,000000,6.82806,7.71048,6.82806,7.67181,595571.88755175,0
METC.US,D,20170329,000000,7.37251,8.4931,7.24236,7.87904,530772.1724592,0
METC.US,D,20170330,000000,7.87904,8.33922,7.73369,8.04763,316713.55341638,0
METC.US,D,20170331,000000,8.00203,8.00203,7.24236,7.41891,966302.44416069,0
METC.US,D,20170403,000000,7.48002,7.80718,7.29604,7.30368,326392.00389865,0
METC.US,D,20170404,000000,7.33438,7.70275,6.97385,7.08892,274977.90261936,0
METC.US,D,20170405,000000,7.00446,7.51868,7.00446,7.19626,340581.89242132,0
METC.US,D,20170406,000000,7.25001,7.35009,7.17329,7.22697,159785.59271125,0
METC.US,D,20170407,000000,7.27684,7.39573,7.1426,7.24236,265935.63084617,0
METC.US,D,20170410,000000,7.28071,7.29604,6.8204,6.83572,174363.39508092,0
METC.US,D,20170411,000000,6.79736,6.93548,6.77432,6.90478,153480.69965159,0
METC.US,D,20170412,000000,6.93548,6.93548,6.55955,6.60556,256969.64879619,0
METC.US,D,20170413,000000,6.65159,6.78205,6.29103,6.4061,186929.21763088,0
METC.US,D,20170417,000000,6.52118,6.52118,5.83073,5.93041,249016.12188685,0
METC.US,D,20170418,000000,5.92275,6.05315,5.69261,5.76932,176939.1430249,0
METC.US,D,20170419,000000,5.81534,5.823,5.38573,5.48542,166592.18767967,0
METC.US,D,20170420,000000,5.5315,5.70792,5.41643,5.55448,138376.62749619,0
METC.US,D,20170421,000000,5.50081,5.58518,5.44706,5.54683,56760.847136882,0
METC.US,D,20170424,000000,5.60049,5.89206,5.56987,5.823,619674.26791103,0
METC.US,D,20170425,000000,5.89206,6.06854,5.80187,5.89206,132088.54403658,0
METC.US,D,20170426,000000,5.85369,6.07618,5.85369,5.99182,129071.86735319,0
METC.US,D,20170427,000000,5.94581,6.14525,5.93807,6.02253,159483.01991061,0
METC.US,D,20170428,000000,6.02253,6.24494,5.94581,5.95346,207546.83859809,0
METC.US,D,20170501,000000,5.99182,5.99182,5.63886,5.67721,298590.21848529,0
METC.US,D,20170502,000000,5.63886,5.74628,5.30901,5.70026,283437.01057594,0
METC.US,D,20170503,000000,5.69261,5.73862,5.4087,5.48542,171585.93193651,0
METC.US,D,20170504,000000,5.48542,5.59284,4.92922,4.94839,254635.70048352,0
METC.US,D,20170505,000000,4.99441,5.10176,4.64275,4.69527,235678.3507814,0
