<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
METCB.US,D,20230616,000000,13.74,13.74,10,10,500,0
METCB.US,D,20230620,000000,10.01,10.01,9.02,10,1441,0
METCB.US,D,20230621,000000,9.23,9.23,8.5,8.705,6704,0
METCB.US,D,20230622,000000,8.84,19.8,8.84,11,498900,0
METCB.US,D,20230623,000000,10.32,11.5,9.35,11.5,490200,0
METCB.US,D,20230626,000000,12.25,13,10.12,10.59,82138,0
METCB.US,D,20230627,000000,9.84,11.1,9.8,10.07,267253,0
METCB.US,D,20230628,000000,9.8,11,9.8,10.94,92039,0
METCB.US,D,20230629,000000,10.65,10.92,10.01,10.67,87620,0
METCB.US,D,20230630,000000,10.67,10.9105,10.38,10.61,68055,0
METCB.US,D,20230703,000000,10.8,10.9,10.4,10.65,58802,0
METCB.US,D,20230705,000000,10.85,11.24,10.63,10.63,67642,0
METCB.US,D,20230706,000000,10.75,11,10.44,10.86,87677,0
METCB.US,D,20230707,000000,10.99,12.07,10.99,11.74,148990,0
METCB.US,D,20230710,000000,12.3,12.3499,11.96,11.96,77790,0
METCB.US,D,20230711,000000,12.35,12.35,11.55,11.69,87426,0
METCB.US,D,20230712,000000,11.95,12.21,11.69,12.05,83199,0
METCB.US,D,20230713,000000,12.15,12.36,11.97,12.18,64826,0
METCB.US,D,20230714,000000,12.22,12.22,11.81,12,60756,0
METCB.US,D,20230717,000000,12.22,12.4,12,12.18,127936,0
METCB.US,D,20230718,000000,12.59,13.75,12.2,13.34,147517,0
METCB.US,D,20230719,000000,13.34,14.85,13.34,14.51,122483,0
METCB.US,D,20230720,000000,14.71,14.78,13.3,13.65,106416,0
METCB.US,D,20230721,000000,13.65,13.88,12.33,12.36,74299,0
METCB.US,D,20230724,000000,12.36,13.06,12.28,12.44,46734,0
METCB.US,D,20230725,000000,12.38,12.83,12.31,12.78,45451,0
METCB.US,D,20230726,000000,12.44,13.67,12.34,13.5,52282,0
METCB.US,D,20230727,000000,13.5,13.65,13.065,13.59,31925,0
METCB.US,D,20230728,000000,13.51,14.01,13.1935,13.96,46205,0
METCB.US,D,20230731,000000,13.7,14.54,13.36,14.23,63511,0
METCB.US,D,20230801,000000,13.755,13.99,12.7901,13.03,36200,0
METCB.US,D,20230802,000000,13.12,13.53,12.62,12.71,42941,0
METCB.US,D,20230803,000000,12.51,12.77,12.333,12.58,27899,0
METCB.US,D,20230804,000000,12.37,12.6164,12.3,12.3,18835,0
METCB.US,D,20230807,000000,12.45,13.55,12.45,13.44,61494,0
METCB.US,D,20230808,000000,13.36,14.84,13.25,14.5,41714,0
METCB.US,D,20230809,000000,14.23,14.5,13.2301,13.86,49637,0
METCB.US,D,20230810,000000,14.2022,14.245,12.8,12.88,59891,0
METCB.US,D,20230811,000000,13,13.3,12.91,13.11,14850,0
METCB.US,D,20230814,000000,13.19,13.19,12.56,12.65,22476,0
METCB.US,D,20230815,000000,12.55,12.7,12.03,12.19,23613,0
METCB.US,D,20230816,000000,12.04,12.545,11.365,11.49,41927,0
METCB.US,D,20230817,000000,11.54,12,11.12,11.15,50021,0
METCB.US,D,20230818,000000,11.05,11.56,11.0201,11.45,50010,0
METCB.US,D,20230821,000000,11.54,11.6394,10.965,11.01,38410,0
METCB.US,D,20230822,000000,11.01,11.48,10.95,11.36,29405,0
METCB.US,D,20230823,000000,11.4,12.81,11.3674,12.03,24115,0
METCB.US,D,20230824,000000,12.12,12.5,11.68,12.23,19125,0
METCB.US,D,20230825,000000,12.22,12.22,11.5714,11.87,27662,0
METCB.US,D,20230828,000000,11.97,12.15,11.615,11.875,22798,0
METCB.US,D,20230829,000000,11.97,12,11.5,11.53,29664,0
METCB.US,D,20230830,000000,11.67,11.86,11.35,11.75,25454,0
METCB.US,D,20230831,000000,11.87,11.89,10.76,10.84,22940,0
METCB.US,D,20230901,000000,11.13,11.57,10.87,11.33,42840,0
METCB.US,D,20230905,000000,11.33,11.899,10.97,11.15,14797,0
METCB.US,D,20230906,000000,11.105,11.16,10.51,10.67,22486,0
METCB.US,D,20230907,000000,10.56,10.9899,9.68,9.95,71609,0
METCB.US,D,20230908,000000,10.05,10.55,9.72,9.94,114177,0
METCB.US,D,20230911,000000,10.13,10.25,9.99,10.08,43806,0
METCB.US,D,20230912,000000,10.055,10.84,10.01,10.59,49230,0
METCB.US,D,20230913,000000,10.48,10.75,9.81,10.02,33306,0
METCB.US,D,20230914,000000,10,11.15,9.935,10.85,65970,0
METCB.US,D,20230915,000000,10.85,11.88,10.77,11.71,271215,0
METCB.US,D,20230918,000000,11.6,11.945,10.77,11.79,31575,0
METCB.US,D,20230919,000000,12.22,12.35,11.58,12.06,53673,0
METCB.US,D,20230920,000000,11.9,12.32,11.81,11.97,13759,0
METCB.US,D,20230921,000000,11.74,12.35,11.5,12.16,18524,0
METCB.US,D,20230922,000000,11.95,12.8,11.95,12.42,20352,0
METCB.US,D,20230925,000000,12.04,12.7,11.732,12.5,24841,0
METCB.US,D,20230926,000000,12.68,12.7851,11.955,12.3,29819,0
METCB.US,D,20230927,000000,12.78,12.852,12.18,12.43,167233,0
METCB.US,D,20230928,000000,12.42,12.43,12.1,12.28,39667,0
METCB.US,D,20230929,000000,12.4,12.4,11.9,11.93,72880,0
METCB.US,D,20231002,000000,11.7,12.14,11.48,11.58,72122,0
METCB.US,D,20231003,000000,11.26,11.5,10.71,11.08,86569,0
METCB.US,D,20231004,000000,11,11.01,10.252,10.45,69503,0
METCB.US,D,20231005,000000,10.495,11.33,10.2888,11.17,50039,0
METCB.US,D,20231006,000000,10.93,11.45,10.93,11.38,7282,0
METCB.US,D,20231009,000000,11.3,11.545,11.3,11.35,11989,0
METCB.US,D,20231010,000000,11.43,12.3501,11.43,12.07,32058,0
METCB.US,D,20231011,000000,12.07,12.29,12.07,12.15,18745,0
METCB.US,D,20231012,000000,12.19,12.19,11.77,11.81,14309,0
METCB.US,D,20231013,000000,11.81,12.16,11.5,11.99,8885,0
METCB.US,D,20231016,000000,11.845,12.34,11.74,11.93,36964,0
METCB.US,D,20231017,000000,12.25,13.615,12.25,12.58,76407,0
METCB.US,D,20231018,000000,12.59,12.9,12.114,12.35,21145,0
METCB.US,D,20231019,000000,12.44,12.97,12.39,12.69,11060,0
METCB.US,D,20231020,000000,12.72,12.81,12.2701,12.55,12952,0
METCB.US,D,20231023,000000,12.2,12.49,11.96,12.11,24353,0
METCB.US,D,20231024,000000,12.23,12.62,12.14,12.52,5693,0
METCB.US,D,20231025,000000,12.555,12.64,11.9978,12.16,26277,0
METCB.US,D,20231026,000000,12.2885,12.4661,12.05,12.32,14756,0
METCB.US,D,20231027,000000,12.11,13.08,12.11,12.19,15681,0
METCB.US,D,20231030,000000,12.28,12.6468,12.22,12.59,11247,0
METCB.US,D,20231031,000000,12.41,12.57,11.98,12.51,20354,0
METCB.US,D,20231101,000000,12.3,12.4,12.2,12.4,10763,0
METCB.US,D,20231102,000000,12.33,12.9958,12.33,12.95,20128,0
METCB.US,D,20231103,000000,12.7,13.25,12.7,12.8,15601,0
METCB.US,D,20231106,000000,12.68,12.68,12.32,12.56,6022,0
METCB.US,D,20231107,000000,13.24,13.24,11.1682,12.08,14117,0
METCB.US,D,20231108,000000,12.87,12.87,11.75,12.175,5379,0
METCB.US,D,20231109,000000,13.3,14.45,12.7,14.2,222511,0
METCB.US,D,20231110,000000,15,16,14,14.7,242933,0
METCB.US,D,20231113,000000,15.5,16.3999,15.05,16.25,293189,0
METCB.US,D,20231114,000000,17,17.9,14.69,15,161178,0
METCB.US,D,20231115,000000,15,15.23,13.76,14.02,111594,0
METCB.US,D,20231116,000000,15.51,15.79,13.21,13.47,223567,0
METCB.US,D,20231117,000000,13.61,14.32,13.51,14.08,80036,0
METCB.US,D,20231120,000000,14.27,14.65,13.68,13.92,64463,0
METCB.US,D,20231121,000000,14,14.09,13.71,13.84,24734,0
METCB.US,D,20231122,000000,13.84,15.8299,13.84,15.47,81627,0
METCB.US,D,20231124,000000,15.43,16.47,15.2697,15.75,40543,0
METCB.US,D,20231127,000000,15.76,16.1,14.87,15.72,49123,0
METCB.US,D,20231128,000000,15.86,15.99,15.42,15.66,33013,0
METCB.US,D,20231129,000000,15.67,15.9999,15.08,15.16,48211,0
METCB.US,D,20231130,000000,15.12,15.3,14.74,14.96,34553,0
METCB.US,D,20231201,000000,14.95,16.34,14.53,16.28,81268,0
METCB.US,D,20231204,000000,15.57,16.1,15.57,15.8,28690,0
METCB.US,D,20231205,000000,15.74,16.5,15.5107,16.19,63145,0
METCB.US,D,20231206,000000,16.03,16.39,15.32,15.48,46677,0
METCB.US,D,20231207,000000,16.77,16.77,14.76,15,61788,0
METCB.US,D,20231208,000000,15.27,15.49,15.01,15.17,38383,0
METCB.US,D,20231211,000000,15.17,15.17,13.5,13.7,176712,0
METCB.US,D,20231212,000000,13.6,13.63,12.59,12.77,92253,0
METCB.US,D,20231213,000000,12.77,13.03,11.81,12.33,123451,0
METCB.US,D,20231214,000000,12.4,12.77,11.57,11.68,116240,0
