<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
METU.US,D,20240607,000000,26.75,27.2399,26.62,26.6385,6305,0
METU.US,D,20240610,000000,27.04,27.65,26.9125,27.62,30997,0
METU.US,D,20240611,000000,27.42,28.15,27.32,28.1466,54905,0
METU.US,D,20240612,000000,28.672,28.69,27.9299,28.3749,81792,0
METU.US,D,20240613,000000,27.94,28.22,27.5,27.8665,20183,0
METU.US,D,20240614,000000,27.59,28.099,27.5,27.81,21399,0
METU.US,D,20240617,000000,27.6,28.5137,26.96,28.1,57468,0
METU.US,D,20240618,000000,27.92,27.9351,26.95,27.2767,49117,0
METU.US,D,20240620,000000,27.56,27.7,27,27.5317,37732,0
METU.US,D,20240621,000000,27.3214,27.3214,26.54,26.67,14988,0
METU.US,D,20240624,000000,27.19,28.1,26.701,27.14,52080,0
METU.US,D,20240625,000000,26.87,28.4,26.87,28.3317,42913,0
METU.US,D,20240626,000000,27.93,28.7001,27.81,28.6675,535656,0
METU.US,D,20240627,000000,28.75,29.7296,28.75,29.33,599492,0
METU.US,D,20240628,000000,29.08,29.46,27.58,27.58,31276,0
METU.US,D,20240701,000000,27.71,27.71,26.4021,27.667,189128,0
METU.US,D,20240702,000000,27.14,28.239,27.14,28.14,80827,0
METU.US,D,20240703,000000,27.76,28.3299,27.76,28.15,35069,0
METU.US,D,20240705,000000,28.38,31.6008,28.38,31.47,188187,0
METU.US,D,20240708,000000,31.73,31.802,29.9,30.17,228625,0
METU.US,D,20240709,000000,30.73,31.1,30.07,30.261,122631,0
METU.US,D,20240710,000000,30.39,31.25,30.1,30.76,112519,0
METU.US,D,20240711,000000,30.38,30.84,27.76,28.2963,151515,0
METU.US,D,20240712,000000,26.63,27.669,26.33,26.67,247961,0
METU.US,D,20240715,000000,26.72,27.55,26.1107,26.4,219095,0
METU.US,D,20240716,000000,27,27.269,25.33,25.75,146456,0
METU.US,D,20240717,000000,24.61,24.61,22.51,22.83,403144,0
METU.US,D,20240718,000000,24.1,24.505,23.08,24.19,263713,0
