<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLGO.US,D,20210414,000000,97.3,98,97.24,97.9,13840.5,0
MLGO.US,D,20210415,000000,98,106.5,97.996,98.5,27803.7,0
MLGO.US,D,20210416,000000,98.5,99.4,98.5,98.9,18310.100000000002,0
MLGO.US,D,20210419,000000,98.9,99.4,98.9,98.9,5899,0
MLGO.US,D,20210420,000000,99,99.3,98.9,99.2,1728.9,0
MLGO.US,D,20210421,000000,99,99,99,99,100.30000000000001,0
MLGO.US,D,20210422,000000,99,99.127,98.9,99,2230.7000000000003,0
MLGO.US,D,20210423,000000,99,99.15,99,99,627,0
MLGO.US,D,20210427,000000,99.3,99.4,99,99,1255.7,0
MLGO.US,D,20210428,000000,99.1,99.1,99.1,99.1,101.10000000000001,0
MLGO.US,D,20210429,000000,99.4,99.4,99,99.2,861.4000000000001,0
MLGO.US,D,20210430,000000,99.2,99.4,99.2,99.4,131.20000000000002,0
MLGO.US,D,20210503,000000,99.4,99.5,99.4,99.5,237.20000000000002,0
MLGO.US,D,20210504,000000,99.4,99.5,99.4,99.5,247,0
MLGO.US,D,20210505,000000,99.5,99.6,99.5,99.6,830.2,0
MLGO.US,D,20210506,000000,99.5,99.6,99.3,99.5,276.6,0
MLGO.US,D,20210507,000000,99.5,99.6,99.5,99.6,367.8,0
MLGO.US,D,20210511,000000,99.5,99.6,99.5,99.6,485.1,0
MLGO.US,D,20210513,000000,99.1,99.1,99.1,99.1,153.9,0
MLGO.US,D,20210518,000000,98.7,98.7,98.7,98.7,140.3,0
MLGO.US,D,20210519,000000,98.5,98.6,96.7,98.4,3947.3,0
MLGO.US,D,20210520,000000,98.4,98.4,98.4,98.4,40.5,0
MLGO.US,D,20210524,000000,98.5,98.5,98.4,98.4,40.2,0
MLGO.US,D,20210525,000000,98.4,98.7,98.4,98.7,30,0
MLGO.US,D,20210526,000000,99,99.1,98.7,99.1,610.3000000000001,0
MLGO.US,D,20210527,000000,99,99.1,99,99.1,932.9000000000001,0
MLGO.US,D,20210528,000000,99.1,99.1,99.1,99.1,102.30000000000001,0
MLGO.US,D,20210601,000000,99.1,99.1,99.1,99.1,220.10000000000002,0
MLGO.US,D,20210602,000000,99.1,99.3,99.1,99.1,234.4,0
MLGO.US,D,20210603,000000,99.3,99.3,99.3,99.3,50,0
MLGO.US,D,20210604,000000,99.2,99.3,99.2,99.3,5890.400000000001,0
MLGO.US,D,20210608,000000,99.3,99.3,99.3,99.3,66.7,0
MLGO.US,D,20210609,000000,99.3,99.4,99.2,99.4,643,0
MLGO.US,D,20210610,000000,99.4,100,98.9,99.5,36550.700000000004,0
MLGO.US,D,20210611,000000,99.5,100.63,99.5,100.3,6519.8,0
MLGO.US,D,20210614,000000,100.2,100.5,99.5,99.6,6156.3,0
MLGO.US,D,20210615,000000,99.601,99.8,99.3,99.5,20960.9,0
MLGO.US,D,20210616,000000,99.448,100,99.4,99.5,4684.3,0
MLGO.US,D,20210617,000000,99.516,99.8,99.5,99.8,4213.8,0
MLGO.US,D,20210618,000000,99.6,99.8,99.4,99.5,4340.3,0
MLGO.US,D,20210621,000000,99.401,99.7,99.4,99.4,2761,0
MLGO.US,D,20210622,000000,99.7,99.7,99.4,99.7,4242.1,0
MLGO.US,D,20210623,000000,99.401,99.8,99.4,99.4,1996.3000000000002,0
MLGO.US,D,20210624,000000,99.5,99.8,99.4,99.8,2413.5,0
MLGO.US,D,20210625,000000,99.6,99.8,99.4,99.4,3927.8,0
MLGO.US,D,20210628,000000,99.699,99.8,99.4,99.5,2418.6,0
MLGO.US,D,20210629,000000,99.662,99.699,99.3,99.5,4432.2,0
MLGO.US,D,20210630,000000,99.9,100,99.3,99.5,12210.7,0
MLGO.US,D,20210701,000000,99.8,99.8,99.3,99.5,9291.300000000001,0
MLGO.US,D,20210702,000000,99.8,99.8,99.5,99.5,8830.9,0
MLGO.US,D,20210706,000000,99.3,99.9,99.3,99.7,3987,0
MLGO.US,D,20210707,000000,99.7,100,99.5,99.5,6645.700000000001,0
MLGO.US,D,20210708,000000,99.8,100,99.462,99.75,2092.7000000000003,0
MLGO.US,D,20210709,000000,99.9,100.1,99.4,100.1,2215,0
MLGO.US,D,20210712,000000,99.7,100.4,99.4,99.5,2447.1,0
MLGO.US,D,20210713,000000,99.6,100.399,99.5,99.6,1452.6000000000001,0
MLGO.US,D,20210714,000000,99.953,99.953,99.4,99.5,1340.6000000000001,0
MLGO.US,D,20210715,000000,99.699,100.3,99.3,99.5,1715,0
MLGO.US,D,20210716,000000,99.5,99.8,99.4,99.781,637.4000000000001,0
MLGO.US,D,20210719,000000,99.7,99.8,99.3,99.5,844,0
MLGO.US,D,20210720,000000,99.552,99.944,99.552,99.6,1070,0
MLGO.US,D,20210721,000000,99.564,99.9,99.5,99.801,994.2,0
MLGO.US,D,20210722,000000,99.7,100,99.5,99.999,732,0
MLGO.US,D,20210723,000000,99.8,99.8,99.5,99.5,912.6,0
MLGO.US,D,20210726,000000,99.7,99.7,99.4,99.5,1840,0
MLGO.US,D,20210727,000000,99.552,100,99.4,99.8,1839.7,0
MLGO.US,D,20210728,000000,99.6,99.8,99.5,99.794,2510.8,0
MLGO.US,D,20210729,000000,99.5,100,99.5,99.6,2231,0
MLGO.US,D,20210730,000000,99.7,99.8,99.4,99.5,1428.6000000000001,0
MLGO.US,D,20210802,000000,99.636,99.8,99.55,99.744,1099.7,0
MLGO.US,D,20210803,000000,99.8,100,99.5,99.5,2620.3,0
MLGO.US,D,20210804,000000,99.7,99.8,99.4,99.8,790.2,0
MLGO.US,D,20210805,000000,99.8,99.8,99.5,99.5,1027,0
MLGO.US,D,20210806,000000,99.7,99.7,99.45,99.5,792.4000000000001,0
MLGO.US,D,20210809,000000,99.5,99.6,99.4,99.4,930,0
MLGO.US,D,20210810,000000,99.6,99.6,99.4,99.4,1354.1000000000001,0
MLGO.US,D,20210811,000000,99.4,99.696,99.4,99.6,805.8000000000001,0
MLGO.US,D,20210812,000000,99.6,99.6,99.4,99.4,10451,0
MLGO.US,D,20210813,000000,99.5,99.8,99.5,99.8,396.40000000000003,0
MLGO.US,D,20210816,000000,99.6,100,99.4,100,677.7,0
MLGO.US,D,20210817,000000,100.3,100.3,99.4,99.5,417.6,0
MLGO.US,D,20210818,000000,99.6,100.4,99.6,99.7,341.40000000000003,0
MLGO.US,D,20210819,000000,99.7,99.7,99.6,99.7,540,0
MLGO.US,D,20210820,000000,99.6,99.6,99.4,99.592,848.1,0
MLGO.US,D,20210823,000000,99.8,99.9,99.8,99.8,212.70000000000002,0
MLGO.US,D,20210824,000000,100.198,100.198,99.59,99.8,582.9,0
MLGO.US,D,20210825,000000,99.5,100,99.5,99.518,535.1,0
MLGO.US,D,20210826,000000,99.7,99.7,99.6,99.6,487.5,0
MLGO.US,D,20210827,000000,99.6,100.293,99.6,99.948,325.90000000000003,0
MLGO.US,D,20210830,000000,99.7,99.8,99.6,99.8,1306,0
MLGO.US,D,20210831,000000,99.7,99.7,99.564,99.6,153,0
MLGO.US,D,20210901,000000,99.6,100.2,99.582,99.808,546.3000000000001,0
MLGO.US,D,20210902,000000,99.7,99.7,99.55,99.6,918.1,0
