<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MQQQ.US,D,20240905,000000,23.67,23.67,23.27,23.3148,1612,0
MQQQ.US,D,20240906,000000,23.29,23.33,22.08,22.0891,3740,0
MQQQ.US,D,20240909,000000,22.6168,22.6804,22.48,22.6804,1079,0
MQQQ.US,D,20240910,000000,22.76,23.0975,22.76,23.0975,666,0
MQQQ.US,D,20240911,000000,23.23,24.1906,23.23,24.1906,451,0
MQQQ.US,D,20240912,000000,24.28,24.5947,24.27,24.5947,559,0
MQQQ.US,D,20240913,000000,24.93,24.93,24.811,24.8566,1962,0
MQQQ.US,D,20240916,000000,24.58,24.64,24.45,24.6144,2813,0
MQQQ.US,D,20240917,000000,24.89,24.89,24.576,24.576,490,0
MQQQ.US,D,20240918,000000,24.66,24.66,24.3844,24.3844,275,0
MQQQ.US,D,20240919,000000,25.4,25.82,25.4,25.6338,501,0
MQQQ.US,D,20240920,000000,25.47,25.56,25.47,25.5154,3051,0
MQQQ.US,D,20240923,000000,25.7,25.7,25.62,25.68,7409,0
MQQQ.US,D,20240924,000000,25.83,25.93,25.49,25.82,5181,0
MQQQ.US,D,20240925,000000,25.93,26.06,25.93,25.97,3311,0
MQQQ.US,D,20240926,000000,26.63,26.64,25.97,26.32,6216,0
MQQQ.US,D,20240927,000000,26.2599,26.2599,26.04,26.04,1555,0
MQQQ.US,D,20240930,000000,25.95,26.17,25.85,26.17,1416,0
MQQQ.US,D,20241001,000000,25.43,25.51,25.25,25.4,4589,0
MQQQ.US,D,20241002,000000,25.44,25.65,25.44,25.49,1612,0
MQQQ.US,D,20241003,000000,25.33,25.45,25.33,25.45,974,0
MQQQ.US,D,20241004,000000,26.02,26.06,25.7,26.06,3361,0
MQQQ.US,D,20241007,000000,26.06,26.06,25.4726,25.49,3769,0
MQQQ.US,D,20241008,000000,25.71,26.25,25.71,26.21,2432,0
MQQQ.US,D,20241009,000000,26.42,26.62,26.42,26.62,1572,0
MQQQ.US,D,20241010,000000,26.62,26.62,26.59,26.59,954,0
MQQQ.US,D,20241011,000000,26.58,26.62,26.5799,26.62,876,0
MQQQ.US,D,20241014,000000,27.11,27.11,27.06,27.06,49189,0
MQQQ.US,D,20241015,000000,27.11,27.11,26.3,26.39,3326,0
MQQQ.US,D,20241016,000000,26.17,26.38,26.17,26.38,1319,0
MQQQ.US,D,20241017,000000,26.65,26.65,26.41,26.41,1816,0
MQQQ.US,D,20241018,000000,26.72,26.73,26.72,26.73,402,0
MQQQ.US,D,20241021,000000,26.73,26.85,26.73,26.85,1390,0
MQQQ.US,D,20241022,000000,26.74,26.89,26.74,26.89,770,0
MQQQ.US,D,20241023,000000,25.76,26.06,25.76,26.06,1584,0
MQQQ.US,D,20241024,000000,26.1829,26.51,26.1829,26.41,105976,0
MQQQ.US,D,20241025,000000,26.95,26.95,26.76,26.79,745,0
MQQQ.US,D,20241028,000000,27.13,27.13,26.7101,26.8,2222,0
MQQQ.US,D,20241029,000000,26.69,27.26,26.69,27.26,1906,0
