<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRNO.US,D,20240322,000000,22,28.16,14.08,21.25,3173035,0
MRNO.US,D,20240325,000000,19.81,20.3531,15.4335,18.01,174433,0
MRNO.US,D,20240326,000000,16.5,16.51,14.5,14.5,55131,0
MRNO.US,D,20240327,000000,15.02,15.85,13.63,15,32881,0
MRNO.US,D,20240328,000000,13.99,14.02,12.2722,12.67,23134,0
MRNO.US,D,20240401,000000,11.28,12.35,11,12,27943,0
MRNO.US,D,20240402,000000,12.84,13,10.73,12.6,13797,0
MRNO.US,D,20240403,000000,11.54,11.9059,10.39,11.33,23619,0
MRNO.US,D,20240404,000000,12.25,12.25,11.4,11.4,16948,0
MRNO.US,D,20240405,000000,11.4,12,10.92,11.41,10674,0
MRNO.US,D,20240408,000000,10.8,11.2,9.43,10.05,42418,0
MRNO.US,D,20240409,000000,9.88,11.3999,9.45,10.6106,63344,0
MRNO.US,D,20240410,000000,10.48,11.74,10.25,10.87,28943,0
MRNO.US,D,20240411,000000,11.29,11.33,10.2073,10.93,18037,0
MRNO.US,D,20240412,000000,10.35,11.5,10.35,10.86,25505,0
MRNO.US,D,20240415,000000,10.25,11.5,10.25,10.97,12818,0
MRNO.US,D,20240416,000000,10.78,11.72,10.57,10.57,60490,0
MRNO.US,D,20240417,000000,10.67,11,9.75,10.5,31396,0
MRNO.US,D,20240418,000000,10.35,11.05,7.22,7.22,123905,0
MRNO.US,D,20240419,000000,7.07,8.6,7.07,7.73,53795,0
MRNO.US,D,20240422,000000,7.95,8.998,7.75,8.24,28576,0
MRNO.US,D,20240423,000000,8.31,10.2,8.04,8.04,35477,0
MRNO.US,D,20240424,000000,8.89,9.1,7.51,7.53,33900,0
MRNO.US,D,20240425,000000,7.5,8.25,7.5,7.86,8616,0
MRNO.US,D,20240426,000000,7.86,8.49,7.86,7.97,10287,0
MRNO.US,D,20240429,000000,7.89,7.97,7.77,7.97,1623,0
MRNO.US,D,20240430,000000,8.87,10.5,8.87,10.5,3736,0
MRNO.US,D,20240501,000000,9.49,10.9,8.89,10.01,79593,0
MRNO.US,D,20240502,000000,9.5,10.7,8.605,9.56,53003,0
MRNO.US,D,20240503,000000,9.49,10.6,7.5,7.79,54074,0
MRNO.US,D,20240506,000000,8.36,8.96,8.31,8.72,16622,0
MRNO.US,D,20240507,000000,8.99,10.29,8.99,10.17,15494,0
MRNO.US,D,20240508,000000,10,12.33,9.75,11.22,42129,0
MRNO.US,D,20240509,000000,11.65,11.748,10.5,11.4,46795,0
MRNO.US,D,20240510,000000,11.2,12.4,10.79,11.45,24625,0
MRNO.US,D,20240513,000000,11,11.95,10.5,11.46,14709,0
MRNO.US,D,20240514,000000,11.05,12.17,11,11.795,7942,0
MRNO.US,D,20240515,000000,11.75,12.6,11.23,12.24,32641,0
MRNO.US,D,20240516,000000,12.24,12.27,11.3,11.94,12967,0
MRNO.US,D,20240517,000000,11.78,11.78,11.1158,11.5,7841,0
MRNO.US,D,20240520,000000,11.93,11.93,11,11.37,3983,0
MRNO.US,D,20240521,000000,10.38,12.095,10.38,10.87,17129,0
MRNO.US,D,20240522,000000,10.89,12.25,10.4,11.7,26270,0
MRNO.US,D,20240523,000000,11.375,12,10.76,11.95,25863,0
MRNO.US,D,20240524,000000,11.58,11.85,9.66,9.845,33007,0
MRNO.US,D,20240528,000000,9.89,10.89,9.625,9.69,27642,0
MRNO.US,D,20240529,000000,10.32,10.624,9.8,10.58,9657,0
MRNO.US,D,20240530,000000,10.5,11.95,10,11.8,284322,0
MRNO.US,D,20240531,000000,11.89,12.731,10.2,10.75,235526,0
MRNO.US,D,20240603,000000,9.76,11.32,9.75,11,55147,0
MRNO.US,D,20240604,000000,10.08,11.75,10.01,10.52,42717,0
MRNO.US,D,20240605,000000,10.1105,10.97,10,10,26143,0
MRNO.US,D,20240606,000000,10.04,10.4999,9.6,9.6,17010,0
MRNO.US,D,20240607,000000,8.47,9.2999,8.47,8.52,9009,0
MRNO.US,D,20240610,000000,9.44,10.5,9.19,9.44,34987,0
MRNO.US,D,20240611,000000,9.16,10.5291,9.01,10.2,11149,0
MRNO.US,D,20240612,000000,9.95,9.97,9.27,9.27,4668,0
MRNO.US,D,20240613,000000,10.01,10.02,9.47,9.47,10322,0
MRNO.US,D,20240614,000000,9.36,9.66,9.36,9.66,1103,0
MRNO.US,D,20240617,000000,9.4,9.64,9.22,9.56,4860,0
MRNO.US,D,20240618,000000,9.55,9.9,9.5,9.5,5642,0
MRNO.US,D,20240620,000000,9.5,9.99,9.1801,9.99,4377,0
MRNO.US,D,20240621,000000,9.9817,9.9817,9.5,9.5,5814,0
MRNO.US,D,20240624,000000,9.76,9.76,9.5,9.52,22494,0
MRNO.US,D,20240625,000000,9.5,10.09,9.5,9.79,8167,0
MRNO.US,D,20240626,000000,9.9133,10.22,9.9133,9.98,27003,0
MRNO.US,D,20240627,000000,10.03,10.25,9.5,9.5,12795,0
MRNO.US,D,20240628,000000,9.69,9.99,9.5,9.94,10492,0
MRNO.US,D,20240701,000000,9.93,9.99,9.53,9.99,4869,0
MRNO.US,D,20240702,000000,9.58,9.85,9.45,9.6,2418,0
MRNO.US,D,20240703,000000,9.8,10.4,9.66,10.22,3234,0
MRNO.US,D,20240705,000000,10,10.5,9.6001,9.66,2927,0
MRNO.US,D,20240708,000000,10.22,10.2311,9.7,9.7,16646,0
MRNO.US,D,20240709,000000,10.12,10.25,10.12,10.18,10618,0
MRNO.US,D,20240710,000000,10.41,10.41,9.9,10.4,10993,0
MRNO.US,D,20240711,000000,10.15,10.19,9.675,9.675,14125,0
MRNO.US,D,20240712,000000,9.87,10.4824,9.87,9.9,3370,0
MRNO.US,D,20240715,000000,9.74,10.2878,9.74,9.745,2273,0
MRNO.US,D,20240716,000000,9.8936,9.92,9.88,9.89,1837,0
MRNO.US,D,20240717,000000,9.11,9.575,9.11,9.575,2665,0
MRNO.US,D,20240718,000000,9.33,9.73,9.33,9.69,5369,0
MRNO.US,D,20240719,000000,9.42,9.65,9.42,9.455,3160,0
MRNO.US,D,20240722,000000,9.52,9.73,9.34,9.38,6967,0
MRNO.US,D,20240723,000000,9.57,9.645,9.31,9.645,2587,0
MRNO.US,D,20240724,000000,9.065,9.52,8.5206,8.8401,3438,0
MRNO.US,D,20240725,000000,9.0837,9.0837,8.39,8.39,4556,0
MRNO.US,D,20240726,000000,8.8,8.8,8.64,8.64,989,0
MRNO.US,D,20240730,000000,8.01,8.335,8.01,8.335,2128,0
MRNO.US,D,20240731,000000,8.35,8.4,8.01,8.06,3859,0
MRNO.US,D,20240801,000000,8.1259,8.14,7.634,7.634,1766,0
MRNO.US,D,20240802,000000,7.65,7.65,7,7,2850,0
MRNO.US,D,20240805,000000,7.28,7.28,7,7,8291,0
MRNO.US,D,20240808,000000,7.55,7.72,7.03,7.03,749,0
MRNO.US,D,20240809,000000,6.67,7,6.4901,6.5,9507,0
MRNO.US,D,20240812,000000,6.52,6.52,6.51,6.51,1301,0
MRNO.US,D,20240813,000000,6.97,7.09,6.52,6.52,4577,0
MRNO.US,D,20240814,000000,5.98,6.6137,5.98,6.06,13091,0
MRNO.US,D,20240815,000000,6.06,6.06,6.06,6.06,389,0
MRNO.US,D,20240816,000000,5.89,5.98,5.7035,5.955,2260,0
MRNO.US,D,20240819,000000,5.8,6.2699,5.8,6.2699,1849,0
MRNO.US,D,20240820,000000,6.33,6.3699,6.015,6.1599,2046,0
MRNO.US,D,20240821,000000,5.98,6.09,5.74,6.09,2260,0
MRNO.US,D,20240822,000000,6.25,6.25,6.21,6.21,389,0
MRNO.US,D,20240827,000000,6.2023,6.2023,6.2023,6.2023,195,0
MRNO.US,D,20240828,000000,5.93,7.58,5.93,6.89,14581,0
MRNO.US,D,20240829,000000,6.99,6.99,6.6201,6.6201,998,0
MRNO.US,D,20240830,000000,6.9999,6.9999,6.64,6.64,1299,0
MRNO.US,D,20240903,000000,6.72,7.2,6.64,7.05,8449,0
MRNO.US,D,20240904,000000,7.2999,7.2999,6.99,6.99,889,0
MRNO.US,D,20240905,000000,6.79,7.09,6.79,7,1055,0
MRNO.US,D,20240906,000000,7,7.3,6.9999,7.3,1462,0
MRNO.US,D,20240909,000000,7.3,7.3,7.3,7.3,307,0
MRNO.US,D,20240910,000000,7,7,7,7,215,0
MRNO.US,D,20240911,000000,7.28,7.28,7.01,7.01,3447,0
MRNO.US,D,20240912,000000,7.005,7.29,6.94,7.29,7615,0
MRNO.US,D,20240913,000000,7.78,11.4,7.78,9.5,90838,0
MRNO.US,D,20240916,000000,9.9,10.06,8.5,8.93,8284,0
MRNO.US,D,20240917,000000,8.349,8.349,8.09,8.26,4907,0
MRNO.US,D,20240918,000000,8.55,9,7.7502,8.3,10863,0
MRNO.US,D,20240919,000000,8.7539,8.775,7.51,7.85,3919,0
MRNO.US,D,20240920,000000,7.98,8.41,7.98,8.405,2461,0
MRNO.US,D,20240923,000000,7.47,9.8,7.21,8.51,19609,0
MRNO.US,D,20240924,000000,8.38,8.99,8.08,8.99,6615,0
MRNO.US,D,20240925,000000,8.33,8.43,8.29,8.29,2640,0
MRNO.US,D,20240926,000000,8.93,8.93,8.1,8.3,1908,0
MRNO.US,D,20240927,000000,9.02,9.5,8.27,8.81,1409,0
