<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSTX.US,D,20240816,000000,20.78,21.59,19.24,20.67,2334777,0
MSTX.US,D,20240819,000000,20.86,21.578,20.17,21.31,2077624,0
MSTX.US,D,20240820,000000,22.59,22.94,20.01,20.86,3169740,0
MSTX.US,D,20240821,000000,21,23.3,20.6408,22.98,2718630,0
MSTX.US,D,20240822,000000,23.04,23.2,20.77,20.82,2655039,0
MSTX.US,D,20240823,000000,21.78,25.69,21.28,25.14,4727426,0
MSTX.US,D,20240826,000000,24.64,25.89,24.1,24.36,3659035,0
MSTX.US,D,20240827,000000,23.5,23.6999,21.7,22.2,4817075,0
MSTX.US,D,20240828,000000,21.6,21.66,19.6,19.97,4433626,0
MSTX.US,D,20240829,000000,21.24,21.88,19.651,20.06,3939488,0
MSTX.US,D,20240830,000000,20.52,20.71,18.9,19.98,2204130,0
MSTX.US,D,20240903,000000,19.87,19.87,17.32,17.41,2780585,0
MSTX.US,D,20240904,000000,16.8,18.2099,16.29,17.9,1997051,0
MSTX.US,D,20240905,000000,17.33,18.34,16.5401,16.59,3296770,0
MSTX.US,D,20240906,000000,17.4,17.8,15.18,15.36,2900792,0
MSTX.US,D,20240909,000000,16.45,17.82,16.0101,17.72,4026042,0
MSTX.US,D,20240910,000000,17.26,18.9081,16.88,18.89,3512493,0
MSTX.US,D,20240911,000000,17.57,19.22,16.759522,18.8,2837207,0
MSTX.US,D,20240912,000000,18.74,19.9913,18.3,19.18,2220052,0
MSTX.US,D,20240913,000000,19.19,22.29,18.94,21.84,4331418,0
MSTX.US,D,20240916,000000,20.72,20.9,19.55,20.08,3473448,0
MSTX.US,D,20240917,000000,21,21.4,18.52,19.11,4843268,0
MSTX.US,D,20240918,000000,18.94,21.21,18.45,19.46,3911954,0
MSTX.US,D,20240919,000000,21.42,23.6,21.25,22.59,5683426,0
MSTX.US,D,20240920,000000,22.47,23.45,21.7,22.54,2483033,0
MSTX.US,D,20240923,000000,23.15,24.35,22.63,23.91,3959245,0
MSTX.US,D,20240924,000000,24.02,25.12,22.99,25.02,4338457,0
MSTX.US,D,20240925,000000,24.42,26.14,24.3,24.44,3039339,0
MSTX.US,D,20240926,000000,25.96,28.8,25.68,28.3,6473106,0
MSTX.US,D,20240927,000000,29.58,32.45,29.08,31.45,6641294,0
MSTX.US,D,20240930,000000,29.1,31.17,28.65,29.01,5116152,0
MSTX.US,D,20241001,000000,29.17,29.24,25.5204,27.17,5333077,0
MSTX.US,D,20241002,000000,26.5,30.47,26.26,27.75,4198356,0
MSTX.US,D,20241003,000000,27.34,28.15,25.7952,27.44,2972917,0
MSTX.US,D,20241004,000000,28.4,31.16,27.6,31.16,4899363,0
MSTX.US,D,20241007,000000,32.22,35.92,32,34.1,6239386,0
MSTX.US,D,20241008,000000,34.23,38.1,33.71,36.01,5370474,0
MSTX.US,D,20241009,000000,35.24,38.06,33.74,35,4746865,0
MSTX.US,D,20241010,000000,36,36,31.45,33.22,4549181,0
MSTX.US,D,20241011,000000,34.87,42.409,34.52,42.33,6787786,0
MSTX.US,D,20241014,000000,46.6,47.4,38.475,38.54,6918803,0
MSTX.US,D,20241015,000000,40.1,41.7098,34.58,36.08,4803420,0
MSTX.US,D,20241016,000000,38,38,35.2501,36.02,2847797,0
MSTX.US,D,20241017,000000,35.47,37.5125,33.25,35.8,3075313,0
MSTX.US,D,20241018,000000,37.02,43.825,36.88,42.86,4114935,0
MSTX.US,D,20241021,000000,42.21,45.42,40.3239,43.98,3041071,0
MSTX.US,D,20241022,000000,43.14,44.815,41.53,44.2,2537680,0
MSTX.US,D,20241023,000000,42.46,45.27,39.12,42.21,3671314,0
MSTX.US,D,20241024,000000,44.11,49.8,43.75,49.67,4122427,0
MSTX.US,D,20241025,000000,49.75,53.27,46.7045,49.14,4741080,0
MSTX.US,D,20241028,000000,53.05,58.3,52.2001,56.75,4302512,0
MSTX.US,D,20241029,000000,60.16,61.59,55.21,57.93,5471331,0
