<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTEN.US,D,20240418,000000,4,4,3,3.5,468085,0
MTEN.US,D,20240419,000000,3.28,4,3.27,3.7,402914,0
MTEN.US,D,20240422,000000,3.5333,3.7,3.4201,3.55,47255,0
MTEN.US,D,20240423,000000,3.5,4.14,3.47,3.75,308615,0
MTEN.US,D,20240424,000000,3.67,4.07,3.67,4,241282,0
MTEN.US,D,20240425,000000,3.93,4.25,3.8,3.99,465962,0
MTEN.US,D,20240426,000000,3.97,4.1,3.9,3.9504,194734,0
MTEN.US,D,20240429,000000,3.9501,4.12,3.85,4.03,104114,0
MTEN.US,D,20240430,000000,4.05,4.355,4.0365,4.1499,279711,0
MTEN.US,D,20240501,000000,4.23,4.23,4.06,4.12,109247,0
MTEN.US,D,20240502,000000,4.05,4.77,4.05,4.5015,170753,0
MTEN.US,D,20240503,000000,4.5,4.79,4.3869,4.61,84907,0
MTEN.US,D,20240506,000000,4.47,5.41,4.41,5.41,151318,0
MTEN.US,D,20240507,000000,5.38,6.9784,5.1,6.5,369354,0
MTEN.US,D,20240508,000000,6.55,7.1299,6.33,7,316077,0
MTEN.US,D,20240509,000000,6.33,6.39,5.25,6.01,105804,0
MTEN.US,D,20240510,000000,5.93,6.21,5.34,5.99,59195,0
MTEN.US,D,20240513,000000,5.77,6.7699,5.77,6.61,132284,0
MTEN.US,D,20240514,000000,6.5542,6.95,6.5,6.82,92864,0
MTEN.US,D,20240515,000000,6.78,6.9514,6.51,6.75,139280,0
MTEN.US,D,20240516,000000,6.72,6.9995,6.665,6.85,79156,0
MTEN.US,D,20240517,000000,6.97,7.1,5.65,5.71,128361,0
MTEN.US,D,20240520,000000,5.53,5.99,5.53,5.77,74094,0
MTEN.US,D,20240521,000000,5.67,5.966,5.67,5.92,17250,0
MTEN.US,D,20240522,000000,6,6.4563,5.9,6.0874,64027,0
MTEN.US,D,20240523,000000,6.09,6.7,6.09,6.37,140012,0
MTEN.US,D,20240524,000000,6.4,6.6708,6.23,6.29,88396,0
MTEN.US,D,20240528,000000,6.43,6.5,6.1,6.3675,40449,0
MTEN.US,D,20240529,000000,6.48,6.48,5.42,5.68,87232,0
MTEN.US,D,20240530,000000,5.7,5.7,4.73,5.15,87788,0
MTEN.US,D,20240531,000000,5.5,5.5,4.41,5.25,46122,0
MTEN.US,D,20240603,000000,5.2,5.96,5.05,5.65,53415,0
MTEN.US,D,20240604,000000,5.31,5.79,5.21,5.56,123986,0
MTEN.US,D,20240605,000000,5.62,5.802,5.3,5.515,55349,0
MTEN.US,D,20240606,000000,5.5,6.01,5.4,5.8,60960,0
MTEN.US,D,20240607,000000,5.85,6.24,5.6,6.1244,108857,0
MTEN.US,D,20240610,000000,6.2,6.29,5.715,5.95,96366,0
MTEN.US,D,20240611,000000,6.09,6.26,5.1,5.3498,194417,0
