<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCG.US,D,20241004,000000,24.89,24.89,24.89,24.89,1,0
MYCG.US,D,20241007,000000,24.86,24.86,24.86,24.86,4,0
MYCG.US,D,20241008,000000,24.89,25.2,24.89,24.89,61921,0
MYCG.US,D,20241009,000000,24.875,24.875,24.875,24.875,592,0
MYCG.US,D,20241010,000000,24.9,24.9,24.88,24.9,960,0
MYCG.US,D,20241011,000000,24.95,24.96,24.935,24.935,827,0
MYCG.US,D,20241014,000000,24.9,24.9,24.9,24.9,3,0
MYCG.US,D,20241015,000000,24.939,24.939,24.925,24.925,273,0
MYCG.US,D,20241016,000000,24.941,24.945,24.92,24.945,221,0
MYCG.US,D,20241017,000000,24.94,24.94,24.915,24.915,1290,0
MYCG.US,D,20241018,000000,24.95,24.95,24.94,24.94,778,0
MYCG.US,D,20241021,000000,24.88,24.9,24.87,24.87,792,0
MYCG.US,D,20241022,000000,24.87,24.87,24.87,24.87,20,0
MYCG.US,D,20241023,000000,24.8384,24.8384,24.8384,24.8384,3,0
MYCG.US,D,20241024,000000,24.855,24.855,24.855,24.855,3,0
MYCG.US,D,20241025,000000,24.875,24.875,24.875,24.875,1,0
MYCG.US,D,20241028,000000,24.83,24.83,24.83,24.83,1,0
MYCG.US,D,20241029,000000,24.8395,24.8395,24.8395,24.8395,44331,0
