<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCH.US,D,20241010,000000,24.84,24.9,24.84,24.855,1812,0
MYCH.US,D,20241011,000000,24.84,24.87,24.84,24.855,19534,0
MYCH.US,D,20241014,000000,24.81,24.835,24.81,24.835,2980,0
MYCH.US,D,20241015,000000,24.87,24.88,24.865,24.865,639,0
MYCH.US,D,20241016,000000,24.89,24.9,24.88,24.895,1266,0
MYCH.US,D,20241017,000000,24.8551,24.8551,24.8551,24.8551,20,0
MYCH.US,D,20241018,000000,24.87,24.879,24.865,24.865,1391,0
MYCH.US,D,20241021,000000,24.79,24.79,24.775,24.775,328,0
MYCH.US,D,20241022,000000,24.76,24.775,24.76,24.775,197,0
MYCH.US,D,20241023,000000,24.73,24.73,24.73,24.73,367,0
MYCH.US,D,20241024,000000,24.76,24.76,24.76,24.76,20,0
MYCH.US,D,20241025,000000,24.74,24.74,24.74,24.74,20,0
MYCH.US,D,20241028,000000,24.725,24.725,24.725,24.725,20,0
