<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCK.US,D,20240930,000000,24.98,24.98,24.9639,24.9639,101,0
MYCK.US,D,20241001,000000,25.0226,25.0226,25.0226,25.0226,25,0
MYCK.US,D,20241002,000000,25.01,25.01,24.9988,24.9988,100,0
MYCK.US,D,20241004,000000,24.8064,24.8064,24.8064,24.8064,25,0
MYCK.US,D,20241007,000000,24.7188,24.7188,24.7188,24.7188,25,0
MYCK.US,D,20241008,000000,24.76,24.76,24.75,24.7551,404,0
MYCK.US,D,20241009,000000,24.7135,24.7135,24.7135,24.7135,1,0
MYCK.US,D,20241010,000000,24.73,24.74,24.715,24.715,3648,0
MYCK.US,D,20241011,000000,24.7596,24.7596,24.7344,24.7344,304,0
MYCK.US,D,20241014,000000,24.725,24.725,24.725,24.725,25,0
MYCK.US,D,20241015,000000,24.8,24.82,24.8,24.8007,821,0
MYCK.US,D,20241016,000000,24.8436,24.87,24.8436,24.85,1072,0
MYCK.US,D,20241017,000000,24.84,24.84,24.7366,24.7366,7240,0
MYCK.US,D,20241018,000000,24.79,24.79,24.7475,24.7475,5375,0
MYCK.US,D,20241021,000000,24.61,24.61,24.58,24.58,482,0
MYCK.US,D,20241022,000000,24.59,24.59,24.575,24.575,1522,0
MYCK.US,D,20241023,000000,24.51,24.53,24.49,24.5128,1700,0
MYCK.US,D,20241024,000000,24.5571,24.5571,24.5571,24.5571,25,0
MYCK.US,D,20241025,000000,24.52,24.52,24.52,24.52,2,0
MYCK.US,D,20241028,000000,24.495,24.495,24.495,24.495,2,0
