<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCM.US,D,20241011,000000,24.72,24.72,24.6988,24.6988,679,0
MYCM.US,D,20241015,000000,24.75,24.79,24.75,24.785,2439,0
MYCM.US,D,20241016,000000,24.84,24.86,24.8363,24.8378,4034,0
MYCM.US,D,20241017,000000,24.74,24.74,24.7063,24.7063,13900,0
MYCM.US,D,20241018,000000,24.76,24.76,24.7096,24.7096,8252,0
MYCM.US,D,20241021,000000,24.61,24.62,24.5,24.5,5792,0
MYCM.US,D,20241022,000000,24.52,24.52,24.5,24.5,12754,0
MYCM.US,D,20241023,000000,24.43,24.45,24.41,24.4337,14578,0
MYCM.US,D,20241024,000000,24.46,24.5,24.46,24.4866,9200,0
MYCM.US,D,20241025,000000,24.54,24.54,24.445,24.445,345,0
MYCM.US,D,20241028,000000,24.4,24.4168,24.4,24.4168,630,0
MYCM.US,D,20241029,000000,24.39,24.41,24.39,24.41,1200,0
