<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYMG.US,D,20241003,000000,25.065,25.065,25.065,25.065,1,0
MYMG.US,D,20241004,000000,25.05,25.05,25.02,25.02,830,0
MYMG.US,D,20241007,000000,25.005,25.005,25.005,25.005,10,0
MYMG.US,D,20241008,000000,25.01,25.03,24.9843,25.0056,5698,0
MYMG.US,D,20241009,000000,24.975,24.975,24.975,24.975,26,0
MYMG.US,D,20241010,000000,24.995,24.995,24.995,24.995,26,0
MYMG.US,D,20241011,000000,25.01,25.01,24.995,24.995,645,0
MYMG.US,D,20241014,000000,24.93,24.94,24.93,24.935,744,0
MYMG.US,D,20241015,000000,24.99,24.99,24.99,24.99,4,0
MYMG.US,D,20241016,000000,25.02,25.025,25.02,25.025,100,0
MYMG.US,D,20241017,000000,25.02,25.02,24.9762,25,1380,0
MYMG.US,D,20241018,000000,25.01,25.01,25.01,25.01,80,0
MYMG.US,D,20241021,000000,24.98,24.98,24.965,24.965,400,0
MYMG.US,D,20241022,000000,24.94,24.94,24.93,24.93,125,0
MYMG.US,D,20241023,000000,24.825,24.825,24.825,24.825,4,0
MYMG.US,D,20241024,000000,24.86,24.87,24.86,24.87,4780,0
MYMG.US,D,20241025,000000,24.875,24.875,24.875,24.875,1,0
MYMG.US,D,20241028,000000,24.89,24.9,24.89,24.89,3811,0
MYMG.US,D,20241029,000000,24.89,24.89,24.87,24.87,788,0
