<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NA.US,D,20220712,000000,7.61,13.4,7.51,12.05,1486813,0
NA.US,D,20220713,000000,9.77,12,8.8,8.8,264442,0
NA.US,D,20220714,000000,8.01,8.2599,6.3208,7.35,134129,0
NA.US,D,20220715,000000,7.64,7.82,6.8,6.8,46992,0
NA.US,D,20220718,000000,6.45,8.49,6.3,6.7,69408,0
NA.US,D,20220719,000000,6.72,7.5145,6.71,7.42,39218,0
NA.US,D,20220720,000000,6.54,8.3,6.33,7.73,190910,0
NA.US,D,20220721,000000,7.7,8,7.08,8,28176,0
NA.US,D,20220722,000000,7.91,7.91,6.6877,6.79,37733,0
NA.US,D,20220725,000000,7.1,13,7.01,10.56,4532543,0
NA.US,D,20220726,000000,9.6,11.3524,8.87,9.25,328723,0
NA.US,D,20220727,000000,9.59,10.5,8.8,8.9,176985,0
NA.US,D,20220728,000000,8.97,9.205,7.007,7.8,185673,0
NA.US,D,20220729,000000,7.81,12.4899,7.3501,9.62,858151,0
NA.US,D,20220801,000000,9.42,11.193,9.13,10.87,434914,0
NA.US,D,20220802,000000,11.53,13.95,8.07,9.2,978108,0
NA.US,D,20220803,000000,9.22,9.9,6.8,7.15,291867,0
NA.US,D,20220804,000000,7.83,7.83,7,7.12,91143,0
NA.US,D,20220805,000000,6.8,7.8999,6.8,7.09,406829,0
NA.US,D,20220808,000000,7.2,7.25,6.1331,6.335,178444,0
NA.US,D,20220809,000000,6.19,6.65,6.125,6.14,79902,0
NA.US,D,20220810,000000,6.1,6.6799,6.1,6.4,75234,0
NA.US,D,20220811,000000,6.4,6.87,6.1515,6.47,74767,0
NA.US,D,20220812,000000,6.53,6.6899,6.2593,6.37,32323,0
NA.US,D,20220815,000000,6.11,6.5698,6.11,6.54,36250,0
NA.US,D,20220816,000000,6.54,6.8497,6.24,6.47,70401,0
NA.US,D,20220817,000000,6.47,6.72,6.3208,6.69,34451,0
NA.US,D,20220818,000000,6.56,6.654,6.23,6.55,31696,0
NA.US,D,20220819,000000,6.32,6.3201,6,6.05,35267,0
NA.US,D,20220822,000000,6.1,6.15,5.68,5.835,64160,0
NA.US,D,20220823,000000,5.72,5.83,5.4,5.45,53853,0
NA.US,D,20220824,000000,5.44,5.5,5.2312,5.28,14590,0
NA.US,D,20220825,000000,5.29,5.5577,5.28,5.39,16505,0
NA.US,D,20220826,000000,5.2,5.79,5.2,5.3,55141,0
NA.US,D,20220829,000000,5.39,5.7799,5.06,5.27,24757,0
NA.US,D,20220830,000000,5.1818,5.6461,5.03,5.11,52601,0
NA.US,D,20220831,000000,5.132,5.43,4.8,4.8501,43130,0
NA.US,D,20220901,000000,4.86,5,4.14,4.49,49676,0
NA.US,D,20220902,000000,4.7,6.95,4.43,4.47,3932664,0
NA.US,D,20220906,000000,4.47,4.5848,3.8,4.04,201986,0
NA.US,D,20220907,000000,3.81,4.21,3.66,3.93,85070,0
NA.US,D,20220908,000000,3.8403,4.16,3.81,4.06,52195,0
NA.US,D,20220909,000000,3.97,4.19,3.57,4.04,133694,0
NA.US,D,20220912,000000,4.2,4.4767,3.91,4.3001,140964,0
NA.US,D,20220913,000000,4.48,4.77,4.07,4.42,79335,0
NA.US,D,20220914,000000,4.42,4.86,4.3515,4.85,132117,0
NA.US,D,20220915,000000,5.03,5.03,4.42,4.6447,103858,0
NA.US,D,20220916,000000,4.24,5.74,4.24,5.56,244496,0
NA.US,D,20220919,000000,5.46,5.55,4.8,5.29,62639,0
NA.US,D,20220920,000000,5.11,5.3607,4.844,5.0972,58033,0
NA.US,D,20220921,000000,5,5.1,4.7,4.86,50081,0
NA.US,D,20220922,000000,4.76,4.762,3.74,3.8954,226981,0
NA.US,D,20220923,000000,3.86,4.325,3.7,3.9664,140159,0
NA.US,D,20220926,000000,3.86,4.0717,3.65,3.778,150410,0
NA.US,D,20220927,000000,3.96,4.15,3.08,3.18,263794,0
NA.US,D,20220928,000000,2.23,2.25,1.91,2.1,1588140,0
NA.US,D,20220929,000000,2,2.03,1.65,1.73,381978,0
NA.US,D,20220930,000000,1.71,1.7212,1.55,1.61,235695,0
NA.US,D,20221003,000000,1.58,1.75,1.57,1.75,248688,0
NA.US,D,20221004,000000,1.69,1.79,1.65,1.77,128331,0
NA.US,D,20221005,000000,1.66,1.73,1.63,1.66,86863,0
NA.US,D,20221006,000000,1.63,1.68,1.61,1.64,89089,0
