<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEWTH.US,D,20240918,000000,25.2,25.25,25.14,25.17,125900,0
NEWTH.US,D,20240919,000000,25.25,25.5,25.18,25.2,52476,0
NEWTH.US,D,20240920,000000,25.22,25.33,25.14,25.16,48940,0
NEWTH.US,D,20240923,000000,25.2,25.2,25.14,25.17,32220,0
NEWTH.US,D,20240924,000000,25.15,25.2,25.07,25.15,71045,0
NEWTH.US,D,20240925,000000,25.275,25.38,25.09,25.13,43044,0
NEWTH.US,D,20240926,000000,25.15,25.17,25.1,25.1,28852,0
NEWTH.US,D,20240927,000000,25.125,25.14,25.07,25.12,13073,0
NEWTH.US,D,20240930,000000,25.135,25.1467,25.04,25.1,49617,0
NEWTH.US,D,20241001,000000,25.09,25.15,25.05,25.1,26187,0
NEWTH.US,D,20241002,000000,25.14,25.15,25.09,25.105,16310,0
NEWTH.US,D,20241003,000000,25.12,25.2,25.1,25.14,29526,0
NEWTH.US,D,20241004,000000,25.14,25.14,25.06,25.11,13469,0
NEWTH.US,D,20241007,000000,25.12,25.13,25.05,25.07,27925,0
NEWTH.US,D,20241008,000000,25.06,25.14,25.0553,25.12,27617,0
NEWTH.US,D,20241009,000000,25.12,25.145,25.0944,25.13,10462,0
NEWTH.US,D,20241010,000000,25.15,25.18,25.12,25.12,15937,0
NEWTH.US,D,20241011,000000,25.17,25.2499,25.17,25.24,8395,0
NEWTH.US,D,20241014,000000,25.22,25.24,25.1,25.23,26477,0
NEWTH.US,D,20241015,000000,25.23,25.24,25.19,25.19,6343,0
NEWTH.US,D,20241016,000000,25.1791,25.26,25.1791,25.23,15723,0
NEWTH.US,D,20241017,000000,25.25,25.3,25.24,25.24,2548,0
NEWTH.US,D,20241018,000000,25.25,25.33,25.24,25.32,17637,0
NEWTH.US,D,20241021,000000,25.35,25.38,25.245,25.3,39999,0
NEWTH.US,D,20241022,000000,25.3,25.3,25.21,25.23,14146,0
NEWTH.US,D,20241023,000000,25.2,25.2102,25.1,25.18,15677,0
NEWTH.US,D,20241024,000000,25.18,25.2,25.155,25.18,13128,0
NEWTH.US,D,20241025,000000,25.24,25.25,25.225,25.24,6867,0
NEWTH.US,D,20241028,000000,25.23,25.2399,25.1,25.13,20266,0
NEWTH.US,D,20241029,000000,25.2,25.2,25.16,25.2,15050,0
