<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEWZ.US,D,20240416,000000,24.5,24.61,24.4634,24.5509,8305,0
NEWZ.US,D,20240417,000000,24.4851,24.4851,24.35,24.4097,4291,0
NEWZ.US,D,20240418,000000,24.56,24.56,24.4961,24.4961,242,0
NEWZ.US,D,20240419,000000,24.5578,24.5578,24.5578,24.5578,47,0
NEWZ.US,D,20240422,000000,24.75,24.7861,24.72,24.7861,1515,0
NEWZ.US,D,20240423,000000,25.09,25.09,25.0888,25.0888,143,0
NEWZ.US,D,20240424,000000,25.1112,25.1112,24.91,25.0482,1260,0
NEWZ.US,D,20240425,000000,24.86,24.9751,24.85,24.9751,1476,0
NEWZ.US,D,20240426,000000,25.02,25.03,24.86,24.89,105904,0
NEWZ.US,D,20240429,000000,25,25.04,24.92,24.9776,5080,0
NEWZ.US,D,20240430,000000,25,25,24.685,24.685,2129,0
NEWZ.US,D,20240501,000000,24.71,24.94,24.6682,24.6682,1484,0
NEWZ.US,D,20240502,000000,24.88,24.9753,24.825,24.9753,1605,0
NEWZ.US,D,20240503,000000,25.33,25.43,25.32,25.375,55921,0
NEWZ.US,D,20240506,000000,25.5361,25.63,25.5361,25.615,998,0
NEWZ.US,D,20240507,000000,25.8002,25.8002,25.8002,25.8002,11,0
NEWZ.US,D,20240508,000000,25.64,25.705,25.6399,25.705,525,0
NEWZ.US,D,20240509,000000,25.95,26.03,25.94,25.9829,79183,0
NEWZ.US,D,20240510,000000,26.175,26.175,25.96,26.0148,8558,0
NEWZ.US,D,20240513,000000,26.1699,26.1699,26.0406,26.0406,1337,0
NEWZ.US,D,20240514,000000,26.09,26.2342,26.08,26.2342,5064,0
NEWZ.US,D,20240515,000000,26.3859,26.4653,26.3859,26.4653,309,0
NEWZ.US,D,20240516,000000,26.61,26.6799,26.61,26.6706,3123,0
NEWZ.US,D,20240517,000000,26.68,26.7024,26.635,26.7024,499,0
NEWZ.US,D,20240520,000000,26.7223,26.7223,26.6628,26.6628,2540,0
NEWZ.US,D,20240521,000000,26.7284,26.7284,26.7284,26.7284,156,0
NEWZ.US,D,20240522,000000,26.71,26.71,26.58,26.6054,11809,0
NEWZ.US,D,20240523,000000,26.68,26.68,26.4101,26.4101,48821,0
NEWZ.US,D,20240524,000000,26.42,26.53,26.42,26.5109,4178,0
NEWZ.US,D,20240528,000000,26.34,26.34,26.06,26.1602,24924,0
NEWZ.US,D,20240529,000000,26.02,26.1,25.9841,25.9841,1656,0
NEWZ.US,D,20240530,000000,25.9,25.9,25.74,25.8372,414,0
NEWZ.US,D,20240531,000000,25.66,25.9151,25.66,25.9151,32706,0
NEWZ.US,D,20240603,000000,25.94,25.94,25.635,25.7575,1950,0
NEWZ.US,D,20240604,000000,25.75,25.75,25.7187,25.7187,137,0
NEWZ.US,D,20240605,000000,25.8972,25.98,25.885,25.9616,5129,0
NEWZ.US,D,20240606,000000,25.96,25.98,25.9,25.9571,1851,0
NEWZ.US,D,20240607,000000,25.9684,25.9684,25.9684,25.9684,74,0
NEWZ.US,D,20240610,000000,25.795,25.9272,25.795,25.9181,604,0
NEWZ.US,D,20240611,000000,25.76,25.9501,25.76,25.9501,3246,0
NEWZ.US,D,20240612,000000,26.19,26.19,26.131,26.131,1416,0
NEWZ.US,D,20240613,000000,25.9599,26.03,25.9599,26.0266,4033,0
NEWZ.US,D,20240614,000000,25.8614,25.9007,25.8614,25.9007,351,0
NEWZ.US,D,20240617,000000,25.93,26.1794,25.93,26.1794,1827,0
NEWZ.US,D,20240618,000000,26.09,26.2569,26.09,26.2569,603,0
NEWZ.US,D,20240620,000000,26.1879,26.1879,26.1879,26.1879,92,0
NEWZ.US,D,20240621,000000,26.3205,26.3205,26.3205,26.3205,18,0
NEWZ.US,D,20240624,000000,26.435,26.435,26.36,26.3755,4126,0
NEWZ.US,D,20240625,000000,26.38,26.38,26.16,26.2578,3452,0
NEWZ.US,D,20240626,000000,26.02,26.0541,25.99,26.0541,72028,0
NEWZ.US,D,20240627,000000,25.67,26.1303,25.67,26.1303,945,0
NEWZ.US,D,20240628,000000,26.25,26.25,26,26.0778,5730,0
NEWZ.US,D,20240701,000000,26.09,26.09,25.95,25.9786,9543,0
NEWZ.US,D,20240702,000000,26.0002,26.0002,26.0002,26.0002,2,0
NEWZ.US,D,20240703,000000,26.0209,26.0209,26.0209,26.0209,59,0
NEWZ.US,D,20240705,000000,25.87,25.9947,25.87,25.9947,1460,0
NEWZ.US,D,20240708,000000,25.975,26.0045,25.975,26.0045,354,0
NEWZ.US,D,20240709,000000,25.8842,25.91,25.8763,25.8763,200,0
NEWZ.US,D,20240710,000000,26.05,26.05,26.05,26.05,105,0
NEWZ.US,D,20240711,000000,26.34,26.34,26.2584,26.2584,456,0
NEWZ.US,D,20240712,000000,26.535,26.535,26.535,26.535,173,0
NEWZ.US,D,20240715,000000,26.6,26.6,26.52,26.5394,412,0
NEWZ.US,D,20240716,000000,26.76,26.9268,26.76,26.9268,1152,0
NEWZ.US,D,20240717,000000,26.92,26.92,26.52,26.5428,2055,0
NEWZ.US,D,20240718,000000,26.58,26.58,26.2416,26.2416,324,0
NEWZ.US,D,20240719,000000,26.16,26.16,26.1069,26.1069,230,0
NEWZ.US,D,20240722,000000,26.51,26.51,26.51,26.51,27,0
NEWZ.US,D,20240723,000000,26.4406,26.4406,26.4406,26.4406,2,0
NEWZ.US,D,20240724,000000,26.106,26.106,26.106,26.106,161,0
NEWZ.US,D,20240725,000000,26.4499,26.4499,26.1677,26.1677,102,0
NEWZ.US,D,20240726,000000,26.5429,26.5429,26.5429,26.5429,166,0
NEWZ.US,D,20240729,000000,26.6,26.66,26.6,26.66,155,0
NEWZ.US,D,20240730,000000,26.56,26.6,26.52,26.5566,518,0
NEWZ.US,D,20240731,000000,26.89,26.92,26.89,26.9,597,0
NEWZ.US,D,20240801,000000,26.58,26.7,26.58,26.7,3974,0
NEWZ.US,D,20240802,000000,26.2069,26.2069,26.2069,26.2069,84,0
NEWZ.US,D,20240805,000000,25.68,25.68,25.6114,25.6114,286,0
NEWZ.US,D,20240806,000000,25.98,25.98,25.98,25.98,44,0
NEWZ.US,D,20240807,000000,26.15,26.16,25.6895,25.6895,38981,0
NEWZ.US,D,20240808,000000,26.01,26.36,26.01,26.36,6113,0
NEWZ.US,D,20240809,000000,26.2951,26.2951,26.2951,26.2951,5,0
NEWZ.US,D,20240812,000000,26.2855,26.2855,26.2855,26.2855,63,0
NEWZ.US,D,20240813,000000,26.5964,26.5964,26.5964,26.5964,1,0
NEWZ.US,D,20240814,000000,26.57,26.65,26.57,26.65,30793,0
NEWZ.US,D,20240815,000000,26.9202,26.9627,26.9202,26.9627,121,0
NEWZ.US,D,20240816,000000,26.92,26.92,26.89,26.89,255,0
NEWZ.US,D,20240819,000000,26.96,27.24,26.96,27.24,2094,0
NEWZ.US,D,20240820,000000,27.2098,27.21,27.1002,27.1002,1852,0
NEWZ.US,D,20240821,000000,27.34,27.3857,27.34,27.3857,188,0
NEWZ.US,D,20240822,000000,27.41,27.45,27.2612,27.2612,8339,0
NEWZ.US,D,20240823,000000,27.59,27.59,27.59,27.59,42,0
NEWZ.US,D,20240826,000000,27.53,27.53,27.53,27.53,183,0
NEWZ.US,D,20240827,000000,27.44,27.661,27.44,27.661,641,0
NEWZ.US,D,20240828,000000,27.36,27.3951,27.3336,27.3951,609,0
NEWZ.US,D,20240829,000000,27.56,27.56,27.4006,27.4006,212,0
NEWZ.US,D,20240830,000000,27.69,27.69,27.69,27.69,48,0
NEWZ.US,D,20240903,000000,27.43,27.6214,27.19,27.6214,441,0
NEWZ.US,D,20240904,000000,27.37,27.37,27.09,27.1,3496,0
NEWZ.US,D,20240905,000000,26.985,26.985,26.9783,26.9783,286,0
NEWZ.US,D,20240906,000000,26.6819,26.6819,26.6819,26.6819,39,0
NEWZ.US,D,20240909,000000,26.9,26.94,26.9,26.94,243,0
NEWZ.US,D,20240910,000000,26.9941,26.9941,26.9941,26.9941,22,0
NEWZ.US,D,20240911,000000,27.2178,27.2178,27.2178,27.2178,76,0
NEWZ.US,D,20240912,000000,27.22,27.3127,27.22,27.3127,1843,0
NEWZ.US,D,20240913,000000,27.41,27.52,27.41,27.5084,1147,0
NEWZ.US,D,20240916,000000,27.62,27.62,27.62,27.62,2,0
NEWZ.US,D,20240917,000000,27.6287,27.6287,27.6287,27.6287,22,0
NEWZ.US,D,20240918,000000,27.69,27.69,27.46,27.46,1584,0
NEWZ.US,D,20240919,000000,27.73,27.73,27.73,27.73,247,0
NEWZ.US,D,20240920,000000,27.76,27.76,27.76,27.76,48,0
NEWZ.US,D,20240923,000000,28,28.05,28,28.04,3719,0
NEWZ.US,D,20240924,000000,28.05,28.0906,28.04,28.0906,512,0
